study_id,pmid,pmcid,title,primary_reviewer,second_reviewer,fulltext_access_status,country,setting_final,design_final,cluster_randomized,sample_size_randomized_total,sample_size_analyzed_total,mean_age,female_percent,frailty_definition,baseline_frailty_severity,intervention_name,intervention_components_final,exercise_type,nutrition_component,digital_or_home_support,personnel_required,dose_frequency,session_duration_minutes,intervention_duration_weeks,comparator_final,follow_up_timepoint_primary,primary_outcome_for_synthesis,effect_measure_preferred,notes_for_effect_size_conversion,final_include_for_meta,final_include_for_nma
FRAIL-051,33513714,PMC7912527,Limited Benefit of Marine Protein Hydrolysate on Physical Function and Strength in Older Adults: A Randomized Controlled Trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-052,32114877,PMC7874375,"The Otago Exercise Program With or Without Motivational Interviewing for Community-Dwelling Older Adults: A 12-Month Follow-Up of a Randomized, Controlled Trial.",Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-053,33032532,PMC7545899,A physical activity program versus usual care in the management of quality of life for pre-frail older adults with chronic pain: randomized controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-054,32762725,PMC7409695,Nutrition assessment and geriatric associated conditions among community dwelling Iranian elderly people.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-055,32702879,PMC7373606,Effects of concurrent aerobic and resistance exercise in frail and pre-frail older adults: A randomized trial of supervised versus home-based programs.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-056,32545408,PMC7353446,Nutrition and Sarcopenia-What Do We Know?,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-057,32466446,PMC7312630,Multicomponent Exercise Program Reduces Frailty and Inflammatory Biomarkers and Improves Physical Performance in Community-Dwelling Older Adults: A Randomized Controlled Trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-058,32375700,PMC7203790,Sensor-based characterization of daily walking: a new paradigm in pre-frailty/frailty assessment.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-059,32375239,PMC7345634,"A Novel Exercise for Enhancing Visuospatial Ability in Older Adults with Frailty: Development, Feasibility, and Effectiveness.",Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-060,32259186,PMC12275761,"Multi-Component Exercise with High-Intensity, Free-Weight, Functional Resistance Training in Pre-Frail Females: A Quasi-Experimental, Pilot Study.",Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-061,32134208,PMC7296266,"Efficacy of multidomain interventions to improve physical frailty, depression and cognition: data from cluster-randomized controlled trials.",Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-062,31997543,PMC7015250,Comprehensive geriatric intervention in community-dwelling older adults: a cluster-randomized controlled trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-063,31791364,PMC6889427,Individualized home-based exercise and nutrition interventions improve frailty in older adults: a randomized controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-064,31466229,PMC6747215,Effectiveness of a Combined Intervention on Psychological and Physical Capacities of Frail Older Adults: A Cluster Randomized Controlled Trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-065,31367733,PMC12280510,"Positive Effects of ""Textured Lunches"" Gatherings and Oral Exercises Combined with Physical Exercises on Oral and Physical Function in Older Individuals: A Cluster Randomized Controlled Trial.",Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-066,31360662,PMC6581490,"An Interregional, Transdisciplinary and Good Practice-Based Approach for Frailty: the Mind&Gait Project.",Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-067,31249332,PMC6597702,Effects of Kinect-based exergaming on frailty status and physical performance in prefrail and frail elderly: A randomized controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-068,31133863,PMC6524700,Exercise and Dietary-Protein as a Countermeasure to Skeletal Muscle Weakness: Liverpool Hope University - Sarcopenia Aging Trial (LHU-SAT).,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-069,31016897,PMC6711410,Effectiveness of a multimodal intervention in functionally impaired older people with type 2 diabetes mellitus.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-070,32300691,PMC7155349,Breaking sedentary behaviour has the potential to increase/ maintain function in frail older adults.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-071,30498835,PMC6444357,Quality of Life and Mental Health in Older Adults with Obesity and Frailty: Associations with a Weight Loss Intervention.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-072,30138718,PMC6251709,Rationale and design of the Study To Understand Fall Reduction and Vitamin D in You (STURDY): A randomized clinical trial of Vitamin D supplement doses for the prevention of falls in older adults.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-073,29988285,PMC6008824,"Effects of Strength Training on Muscle Properties, Physical Function, and Physical Activity among Frail Older People: A Pilot Study.",Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-074,29783928,PMC5963011,Physical activity intervention for elderly patients with reduced physical performance after acute coronary syndrome (HULK study): rationale and design of a randomized clinical trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-075,29346524,PMC6248206,"Effects of a Primary Care-Based Multifactorial Intervention on Physical and Cognitive Function in Frail, Elderly Individuals: A Randomized Controlled Trial.",Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-076,29310138,PMC5898617,Effect of Physical Activity on Frailty: Secondary Analysis of a Randomized Controlled Trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-077,28972245,PMC12877681,Multi-Domains Lifestyle Interventions Reduces Depressive Symptoms among Frail and Pre-Frail Older Persons: Randomized Controlled Trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-078,28951766,PMC5603129,"Effect of Weight Loss, Exercise, or Both on Undercarboxylated Osteocalcin and Insulin Secretion in Frail, Obese Older Adults.",Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-079,28514618,PMC5552187,"Aerobic or Resistance Exercise, or Both, in Dieting Obese Older Adults.",Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-080,28085913,PMC5234793,Impact of a Home-Based Physical and Nutritional Intervention Program Conducted by Lay-Volunteers on Handgrip Strength in Prefrail and Frail Older Adults: A Randomized Control Trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-081,27897406,PMC5326822,Integrated care for geriatric frailty and sarcopenia: a randomized control trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-082,27695646,PMC5042153,The Impact of Strong for Life on the Physical Functioning and Health of Older Adults Receiving Home and Community-Based Services.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-083,27178766,PMC5351552,Identifying effective and feasible interventions to accelerate functional recovery from hospitalization in older adults: A randomized controlled pilot trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-084,27175793,PMC4866031,The effects of a life goal-setting technique in a preventive care program for frail community-dwelling older people: a cluster nonrandomized controlled trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-085,26786203,PMC5018561,"Improved Function With Enhanced Protein Intake per Meal: A Pilot Study of Weight Reduction in Frail, Obese Older Adults.",Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-086,26201510,PMC4511529,Effectiveness of two year balance training programme on prevention of fall induced injuries in at risk women aged 75-85 living in community: Ossébo randomised controlled trial.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-087,25887235,PMC4334409,MultiComponent Exercise and theRApeutic lifeStyle (CERgAS) intervention to improve physical performance and maintain independent living among urban poor older people--a cluster randomised controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-088,25659147,PMC4319727,"Effects of exercise and milk fat globule membrane (MFGM) supplementation on body composition, physical function, and hematological parameters in community-dwelling frail Japanese women: a randomized double blind, placebo-controlled, follow-up trial.",Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-089,25387728,PMC4311184,A physical activity intervention to treat the frailty syndrome in older persons-results from the LIFE-P study.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-090,24951180,PMC4080753,An individually-tailored multifactorial intervention program for older fallers in a middle-income developing country: Malaysian Falls Assessment and Intervention Trial (MyFAIT).,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-091,24742587,PMC4146519,The Home-based Older People's Exercise (HOPE) trial: a pilot randomised controlled trial of a home-based exercise intervention for older people with frailty.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-092,23009149,PMC3490887,A pilot randomized controlled trial to improve geriatric frailty.,Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-093,22499461,PMC12878082,Efficacy of a home-based intervention programme on the physical activity level and functional ability of older people using domestic services: a randomised study.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-094,21449785,PMC3114602,"Weight loss, exercise, or both and physical function in obese older adults.",Dr Chandrakala D,Dr Siddalingaiah H S,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-095,18364384,PMC2435639,Effect of weight loss and exercise therapy on bone metabolism and mass in obese older adults: a one-year randomized controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,pmc_fulltext_available,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-096,42066553,,"Effects of pickleball on pre-frailty, physical fitness, 24-hour movement behaviors, and quality of life in older adults: A randomized controlled trial.",Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-097,41805014,,Fermented Whey Protein Supplement Slows the Progression of Frailty and Sarcopenia Among Older Korean Adults: A Randomized Blinded Trial.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-098,41397660,,Strength but not power training increases soluble alpha klotho levels in pre-frail older adults.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-099,41386386,,The effect of exercise and soy protein intake on physical frailty score improvement in community-dwelling elderly: a randomized controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-100,41190491,,Impacts of (Pre-)Social Frailty on the Effectiveness of a Theory-Driven Exercise Intervention Among Community-Dwelling (Pre-)Physically Frail Older Adults.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
