study_id,pmid,outcome,timepoint,arm_1_name,arm_1_n,arm_1_mean_or_events,arm_1_sd_or_total,arm_2_name,arm_2_n,arm_2_mean_or_events,arm_2_sd_or_total,reported_effect,reported_ci_or_p,converted_effect_size,converted_effect_se,direction_higher_is_better,extraction_note,verified_by_second_author
FRAIL-006,41354090,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-006,41354090,falls,,,,,,,,,,,,,,,,
FRAIL-006,41354090,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-006,41354090,adherence,,,,,,,,,,,,,,,,
FRAIL-006,41354090,dropout,,,,,,,,,,,,,,,,
FRAIL-006,41354090,adverse_events,,,,,,,,,,,,,,,,
FRAIL-007,41120990,frailty_status,,,,,,,,,,,,,,,,
FRAIL-007,41120990,frailty_score,,,,,,,,,,,,,,,,
FRAIL-007,41120990,gait_speed,,,,,,,,,,,,,,,,
FRAIL-007,41120990,sppb,,,,,,,,,,,,,,,,
FRAIL-007,41120990,grip_strength,,,,,,,,,,,,,,,,
FRAIL-007,41120990,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-007,41120990,falls,,,,,,,,,,,,,,,,
FRAIL-007,41120990,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-007,41120990,adherence,,,,,,,,,,,,,,,,
FRAIL-007,41120990,dropout,,,,,,,,,,,,,,,,
FRAIL-007,41120990,adverse_events,,,,,,,,,,,,,,,,
FRAIL-008,41095572,frailty_status,,,,,,,,,,,,,,,,
FRAIL-008,41095572,frailty_score,,,,,,,,,,,,,,,,
FRAIL-008,41095572,gait_speed,,,,,,,,,,,,,,,,
FRAIL-008,41095572,sppb,,,,,,,,,,,,,,,,
FRAIL-008,41095572,grip_strength,,,,,,,,,,,,,,,,
FRAIL-008,41095572,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-008,41095572,falls,,,,,,,,,,,,,,,,
FRAIL-008,41095572,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-008,41095572,adherence,,,,,,,,,,,,,,,,
FRAIL-008,41095572,dropout,,,,,,,,,,,,,,,,
FRAIL-008,41095572,adverse_events,,,,,,,,,,,,,,,,
FRAIL-009,41035820,frailty_status,,,,,,,,,,,,,,,,
FRAIL-009,41035820,frailty_score,,,,,,,,,,,,,,,,
FRAIL-009,41035820,gait_speed,,,,,,,,,,,,,,,,
FRAIL-009,41035820,sppb,,,,,,,,,,,,,,,,
FRAIL-009,41035820,grip_strength,,,,,,,,,,,,,,,,
FRAIL-009,41035820,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-009,41035820,falls,,,,,,,,,,,,,,,,
FRAIL-009,41035820,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-009,41035820,adherence,,,,,,,,,,,,,,,,
FRAIL-009,41035820,dropout,,,,,,,,,,,,,,,,
FRAIL-009,41035820,adverse_events,,,,,,,,,,,,,,,,
FRAIL-010,40969786,frailty_status,,,,,,,,,,,,,,,,
FRAIL-010,40969786,frailty_score,,,,,,,,,,,,,,,,
FRAIL-010,40969786,gait_speed,,,,,,,,,,,,,,,,
FRAIL-010,40969786,sppb,,,,,,,,,,,,,,,,
FRAIL-010,40969786,grip_strength,,,,,,,,,,,,,,,,
FRAIL-010,40969786,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-010,40969786,falls,,,,,,,,,,,,,,,,
FRAIL-010,40969786,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-010,40969786,adherence,,,,,,,,,,,,,,,,
FRAIL-010,40969786,dropout,,,,,,,,,,,,,,,,
FRAIL-010,40969786,adverse_events,,,,,,,,,,,,,,,,
FRAIL-011,40938877,frailty_status,,,,,,,,,,,,,,,,
FRAIL-011,40938877,frailty_score,,,,,,,,,,,,,,,,
FRAIL-011,40938877,gait_speed,,,,,,,,,,,,,,,,
FRAIL-011,40938877,sppb,,,,,,,,,,,,,,,,
FRAIL-011,40938877,grip_strength,,,,,,,,,,,,,,,,
FRAIL-011,40938877,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-011,40938877,falls,,,,,,,,,,,,,,,,
FRAIL-011,40938877,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-011,40938877,adherence,,,,,,,,,,,,,,,,
FRAIL-011,40938877,dropout,,,,,,,,,,,,,,,,
FRAIL-011,40938877,adverse_events,,,,,,,,,,,,,,,,
FRAIL-012,40749218,frailty_status,,,,,,,,,,,,,,,,
FRAIL-012,40749218,frailty_score,,,,,,,,,,,,,,,,
FRAIL-012,40749218,gait_speed,,,,,,,,,,,,,,,,
FRAIL-012,40749218,sppb,,,,,,,,,,,,,,,,
FRAIL-012,40749218,grip_strength,,,,,,,,,,,,,,,,
FRAIL-012,40749218,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-012,40749218,falls,,,,,,,,,,,,,,,,
FRAIL-012,40749218,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-012,40749218,adherence,,,,,,,,,,,,,,,,
FRAIL-012,40749218,dropout,,,,,,,,,,,,,,,,
FRAIL-012,40749218,adverse_events,,,,,,,,,,,,,,,,
FRAIL-013,40695991,frailty_status,,,,,,,,,,,,,,,,
FRAIL-013,40695991,frailty_score,,,,,,,,,,,,,,,,
FRAIL-013,40695991,gait_speed,,,,,,,,,,,,,,,,
FRAIL-013,40695991,sppb,,,,,,,,,,,,,,,,
FRAIL-013,40695991,grip_strength,,,,,,,,,,,,,,,,
FRAIL-013,40695991,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-013,40695991,falls,,,,,,,,,,,,,,,,
FRAIL-013,40695991,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-013,40695991,adherence,,,,,,,,,,,,,,,,
FRAIL-013,40695991,dropout,,,,,,,,,,,,,,,,
FRAIL-013,40695991,adverse_events,,,,,,,,,,,,,,,,
FRAIL-014,40514302,frailty_status,,,,,,,,,,,,,,,,
FRAIL-014,40514302,frailty_score,,,,,,,,,,,,,,,,
FRAIL-014,40514302,gait_speed,,,,,,,,,,,,,,,,
FRAIL-014,40514302,sppb,,,,,,,,,,,,,,,,
FRAIL-014,40514302,grip_strength,,,,,,,,,,,,,,,,
FRAIL-014,40514302,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-014,40514302,falls,,,,,,,,,,,,,,,,
FRAIL-014,40514302,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-014,40514302,adherence,,,,,,,,,,,,,,,,
FRAIL-014,40514302,dropout,,,,,,,,,,,,,,,,
FRAIL-014,40514302,adverse_events,,,,,,,,,,,,,,,,
FRAIL-015,40471669,frailty_status,,,,,,,,,,,,,,,,
FRAIL-015,40471669,frailty_score,,,,,,,,,,,,,,,,
FRAIL-015,40471669,gait_speed,,,,,,,,,,,,,,,,
FRAIL-015,40471669,sppb,,,,,,,,,,,,,,,,
FRAIL-015,40471669,grip_strength,,,,,,,,,,,,,,,,
FRAIL-015,40471669,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-015,40471669,falls,,,,,,,,,,,,,,,,
FRAIL-015,40471669,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-015,40471669,adherence,,,,,,,,,,,,,,,,
FRAIL-015,40471669,dropout,,,,,,,,,,,,,,,,
FRAIL-015,40471669,adverse_events,,,,,,,,,,,,,,,,
FRAIL-016,40367490,frailty_status,,,,,,,,,,,,,,,,
FRAIL-016,40367490,frailty_score,,,,,,,,,,,,,,,,
FRAIL-016,40367490,gait_speed,,,,,,,,,,,,,,,,
FRAIL-016,40367490,sppb,,,,,,,,,,,,,,,,
FRAIL-016,40367490,grip_strength,,,,,,,,,,,,,,,,
FRAIL-016,40367490,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-016,40367490,falls,,,,,,,,,,,,,,,,
FRAIL-016,40367490,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-016,40367490,adherence,,,,,,,,,,,,,,,,
FRAIL-016,40367490,dropout,,,,,,,,,,,,,,,,
FRAIL-016,40367490,adverse_events,,,,,,,,,,,,,,,,
FRAIL-017,40121486,frailty_status,,,,,,,,,,,,,,,,
FRAIL-017,40121486,frailty_score,,,,,,,,,,,,,,,,
FRAIL-017,40121486,gait_speed,,,,,,,,,,,,,,,,
FRAIL-017,40121486,sppb,,,,,,,,,,,,,,,,
FRAIL-017,40121486,grip_strength,,,,,,,,,,,,,,,,
FRAIL-017,40121486,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-017,40121486,falls,,,,,,,,,,,,,,,,
FRAIL-017,40121486,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-017,40121486,adherence,,,,,,,,,,,,,,,,
FRAIL-017,40121486,dropout,,,,,,,,,,,,,,,,
FRAIL-017,40121486,adverse_events,,,,,,,,,,,,,,,,
FRAIL-018,40005003,frailty_status,,,,,,,,,,,,,,,,
FRAIL-018,40005003,frailty_score,,,,,,,,,,,,,,,,
FRAIL-018,40005003,gait_speed,,,,,,,,,,,,,,,,
FRAIL-018,40005003,sppb,,,,,,,,,,,,,,,,
FRAIL-018,40005003,grip_strength,,,,,,,,,,,,,,,,
FRAIL-018,40005003,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-018,40005003,falls,,,,,,,,,,,,,,,,
FRAIL-018,40005003,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-018,40005003,adherence,,,,,,,,,,,,,,,,
FRAIL-018,40005003,dropout,,,,,,,,,,,,,,,,
FRAIL-018,40005003,adverse_events,,,,,,,,,,,,,,,,
FRAIL-019,39997521,frailty_status,,,,,,,,,,,,,,,,
FRAIL-019,39997521,frailty_score,,,,,,,,,,,,,,,,
FRAIL-019,39997521,gait_speed,,,,,,,,,,,,,,,,
FRAIL-019,39997521,sppb,,,,,,,,,,,,,,,,
FRAIL-019,39997521,grip_strength,,,,,,,,,,,,,,,,
FRAIL-019,39997521,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-019,39997521,falls,,,,,,,,,,,,,,,,
FRAIL-019,39997521,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-019,39997521,adherence,,,,,,,,,,,,,,,,
FRAIL-019,39997521,dropout,,,,,,,,,,,,,,,,
FRAIL-019,39997521,adverse_events,,,,,,,,,,,,,,,,
FRAIL-020,39954533,frailty_status,,,,,,,,,,,,,,,,
FRAIL-020,39954533,frailty_score,,,,,,,,,,,,,,,,
FRAIL-020,39954533,gait_speed,,,,,,,,,,,,,,,,
FRAIL-020,39954533,sppb,,,,,,,,,,,,,,,,
FRAIL-020,39954533,grip_strength,,,,,,,,,,,,,,,,
FRAIL-020,39954533,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-020,39954533,falls,,,,,,,,,,,,,,,,
FRAIL-020,39954533,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-020,39954533,adherence,,,,,,,,,,,,,,,,
FRAIL-020,39954533,dropout,,,,,,,,,,,,,,,,
FRAIL-020,39954533,adverse_events,,,,,,,,,,,,,,,,
FRAIL-021,39871464,frailty_status,,,,,,,,,,,,,,,,
FRAIL-021,39871464,frailty_score,,,,,,,,,,,,,,,,
FRAIL-021,39871464,gait_speed,,,,,,,,,,,,,,,,
FRAIL-021,39871464,sppb,,,,,,,,,,,,,,,,
FRAIL-021,39871464,grip_strength,,,,,,,,,,,,,,,,
FRAIL-021,39871464,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-021,39871464,falls,,,,,,,,,,,,,,,,
FRAIL-021,39871464,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-021,39871464,adherence,,,,,,,,,,,,,,,,
FRAIL-021,39871464,dropout,,,,,,,,,,,,,,,,
FRAIL-021,39871464,adverse_events,,,,,,,,,,,,,,,,
FRAIL-022,39652737,frailty_status,,,,,,,,,,,,,,,,
FRAIL-022,39652737,frailty_score,,,,,,,,,,,,,,,,
FRAIL-022,39652737,gait_speed,,,,,,,,,,,,,,,,
FRAIL-022,39652737,sppb,,,,,,,,,,,,,,,,
FRAIL-022,39652737,grip_strength,,,,,,,,,,,,,,,,
FRAIL-022,39652737,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-022,39652737,falls,,,,,,,,,,,,,,,,
FRAIL-022,39652737,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-022,39652737,adherence,,,,,,,,,,,,,,,,
FRAIL-022,39652737,dropout,,,,,,,,,,,,,,,,
FRAIL-022,39652737,adverse_events,,,,,,,,,,,,,,,,
FRAIL-023,39580545,frailty_status,,,,,,,,,,,,,,,,
FRAIL-023,39580545,frailty_score,,,,,,,,,,,,,,,,
FRAIL-023,39580545,gait_speed,,,,,,,,,,,,,,,,
FRAIL-023,39580545,sppb,,,,,,,,,,,,,,,,
FRAIL-023,39580545,grip_strength,,,,,,,,,,,,,,,,
FRAIL-023,39580545,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-023,39580545,falls,,,,,,,,,,,,,,,,
FRAIL-023,39580545,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-023,39580545,adherence,,,,,,,,,,,,,,,,
FRAIL-023,39580545,dropout,,,,,,,,,,,,,,,,
FRAIL-023,39580545,adverse_events,,,,,,,,,,,,,,,,
FRAIL-024,39478450,frailty_status,,,,,,,,,,,,,,,,
FRAIL-024,39478450,frailty_score,,,,,,,,,,,,,,,,
FRAIL-024,39478450,gait_speed,,,,,,,,,,,,,,,,
FRAIL-024,39478450,sppb,,,,,,,,,,,,,,,,
FRAIL-024,39478450,grip_strength,,,,,,,,,,,,,,,,
FRAIL-024,39478450,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-024,39478450,falls,,,,,,,,,,,,,,,,
FRAIL-024,39478450,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-024,39478450,adherence,,,,,,,,,,,,,,,,
FRAIL-024,39478450,dropout,,,,,,,,,,,,,,,,
FRAIL-024,39478450,adverse_events,,,,,,,,,,,,,,,,
FRAIL-025,39390362,frailty_status,,,,,,,,,,,,,,,,
FRAIL-025,39390362,frailty_score,,,,,,,,,,,,,,,,
FRAIL-025,39390362,gait_speed,,,,,,,,,,,,,,,,
FRAIL-025,39390362,sppb,,,,,,,,,,,,,,,,
FRAIL-025,39390362,grip_strength,,,,,,,,,,,,,,,,
FRAIL-025,39390362,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-025,39390362,falls,,,,,,,,,,,,,,,,
FRAIL-025,39390362,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-025,39390362,adherence,,,,,,,,,,,,,,,,
FRAIL-025,39390362,dropout,,,,,,,,,,,,,,,,
FRAIL-025,39390362,adverse_events,,,,,,,,,,,,,,,,
FRAIL-026,39354527,frailty_status,,,,,,,,,,,,,,,,
FRAIL-026,39354527,frailty_score,,,,,,,,,,,,,,,,
FRAIL-026,39354527,gait_speed,,,,,,,,,,,,,,,,
FRAIL-026,39354527,sppb,,,,,,,,,,,,,,,,
FRAIL-026,39354527,grip_strength,,,,,,,,,,,,,,,,
FRAIL-026,39354527,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-026,39354527,falls,,,,,,,,,,,,,,,,
FRAIL-026,39354527,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-026,39354527,adherence,,,,,,,,,,,,,,,,
FRAIL-026,39354527,dropout,,,,,,,,,,,,,,,,
FRAIL-026,39354527,adverse_events,,,,,,,,,,,,,,,,
FRAIL-027,39211745,frailty_status,,,,,,,,,,,,,,,,
FRAIL-027,39211745,frailty_score,,,,,,,,,,,,,,,,
FRAIL-027,39211745,gait_speed,,,,,,,,,,,,,,,,
FRAIL-027,39211745,sppb,,,,,,,,,,,,,,,,
FRAIL-027,39211745,grip_strength,,,,,,,,,,,,,,,,
FRAIL-027,39211745,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-027,39211745,falls,,,,,,,,,,,,,,,,
FRAIL-027,39211745,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-027,39211745,adherence,,,,,,,,,,,,,,,,
FRAIL-027,39211745,dropout,,,,,,,,,,,,,,,,
FRAIL-027,39211745,adverse_events,,,,,,,,,,,,,,,,
FRAIL-028,38111605,frailty_status,,,,,,,,,,,,,,,,
FRAIL-028,38111605,frailty_score,,,,,,,,,,,,,,,,
FRAIL-028,38111605,gait_speed,,,,,,,,,,,,,,,,
FRAIL-028,38111605,sppb,,,,,,,,,,,,,,,,
FRAIL-028,38111605,grip_strength,,,,,,,,,,,,,,,,
FRAIL-028,38111605,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-028,38111605,falls,,,,,,,,,,,,,,,,
FRAIL-028,38111605,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-028,38111605,adherence,,,,,,,,,,,,,,,,
FRAIL-028,38111605,dropout,,,,,,,,,,,,,,,,
FRAIL-028,38111605,adverse_events,,,,,,,,,,,,,,,,
FRAIL-029,37960913,frailty_status,,,,,,,,,,,,,,,,
FRAIL-029,37960913,frailty_score,,,,,,,,,,,,,,,,
FRAIL-029,37960913,gait_speed,,,,,,,,,,,,,,,,
FRAIL-029,37960913,sppb,,,,,,,,,,,,,,,,
FRAIL-029,37960913,grip_strength,,,,,,,,,,,,,,,,
FRAIL-029,37960913,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-029,37960913,falls,,,,,,,,,,,,,,,,
FRAIL-029,37960913,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-029,37960913,adherence,,,,,,,,,,,,,,,,
FRAIL-029,37960913,dropout,,,,,,,,,,,,,,,,
FRAIL-029,37960913,adverse_events,,,,,,,,,,,,,,,,
FRAIL-030,37875291,frailty_status,,,,,,,,,,,,,,,,
FRAIL-030,37875291,frailty_score,,,,,,,,,,,,,,,,
FRAIL-030,37875291,gait_speed,,,,,,,,,,,,,,,,
FRAIL-030,37875291,sppb,,,,,,,,,,,,,,,,
FRAIL-030,37875291,grip_strength,,,,,,,,,,,,,,,,
FRAIL-030,37875291,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-030,37875291,falls,,,,,,,,,,,,,,,,
FRAIL-030,37875291,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-030,37875291,adherence,,,,,,,,,,,,,,,,
FRAIL-030,37875291,dropout,,,,,,,,,,,,,,,,
FRAIL-030,37875291,adverse_events,,,,,,,,,,,,,,,,
FRAIL-031,37357328,frailty_status,,,,,,,,,,,,,,,,
FRAIL-031,37357328,frailty_score,,,,,,,,,,,,,,,,
FRAIL-031,37357328,gait_speed,,,,,,,,,,,,,,,,
FRAIL-031,37357328,sppb,,,,,,,,,,,,,,,,
FRAIL-031,37357328,grip_strength,,,,,,,,,,,,,,,,
FRAIL-031,37357328,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-031,37357328,falls,,,,,,,,,,,,,,,,
FRAIL-031,37357328,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-031,37357328,adherence,,,,,,,,,,,,,,,,
FRAIL-031,37357328,dropout,,,,,,,,,,,,,,,,
FRAIL-031,37357328,adverse_events,,,,,,,,,,,,,,,,
FRAIL-032,37328797,frailty_status,,,,,,,,,,,,,,,,
FRAIL-032,37328797,frailty_score,,,,,,,,,,,,,,,,
FRAIL-032,37328797,gait_speed,,,,,,,,,,,,,,,,
FRAIL-032,37328797,sppb,,,,,,,,,,,,,,,,
FRAIL-032,37328797,grip_strength,,,,,,,,,,,,,,,,
FRAIL-032,37328797,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-032,37328797,falls,,,,,,,,,,,,,,,,
FRAIL-032,37328797,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-032,37328797,adherence,,,,,,,,,,,,,,,,
FRAIL-032,37328797,dropout,,,,,,,,,,,,,,,,
FRAIL-032,37328797,adverse_events,,,,,,,,,,,,,,,,
FRAIL-033,37049448,frailty_status,,,,,,,,,,,,,,,,
FRAIL-033,37049448,frailty_score,,,,,,,,,,,,,,,,
FRAIL-033,37049448,gait_speed,,,,,,,,,,,,,,,,
FRAIL-033,37049448,sppb,,,,,,,,,,,,,,,,
FRAIL-033,37049448,grip_strength,,,,,,,,,,,,,,,,
FRAIL-033,37049448,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-033,37049448,falls,,,,,,,,,,,,,,,,
FRAIL-033,37049448,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-033,37049448,adherence,,,,,,,,,,,,,,,,
FRAIL-033,37049448,dropout,,,,,,,,,,,,,,,,
FRAIL-033,37049448,adverse_events,,,,,,,,,,,,,,,,
FRAIL-034,36673644,frailty_status,,,,,,,,,,,,,,,,
FRAIL-034,36673644,frailty_score,,,,,,,,,,,,,,,,
FRAIL-034,36673644,gait_speed,,,,,,,,,,,,,,,,
FRAIL-034,36673644,sppb,,,,,,,,,,,,,,,,
FRAIL-034,36673644,grip_strength,,,,,,,,,,,,,,,,
FRAIL-034,36673644,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-034,36673644,falls,,,,,,,,,,,,,,,,
FRAIL-034,36673644,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-034,36673644,adherence,,,,,,,,,,,,,,,,
FRAIL-034,36673644,dropout,,,,,,,,,,,,,,,,
FRAIL-034,36673644,adverse_events,,,,,,,,,,,,,,,,
FRAIL-035,36636457,frailty_status,,,,,,,,,,,,,,,,
FRAIL-035,36636457,frailty_score,,,,,,,,,,,,,,,,
FRAIL-035,36636457,gait_speed,,,,,,,,,,,,,,,,
FRAIL-035,36636457,sppb,,,,,,,,,,,,,,,,
FRAIL-035,36636457,grip_strength,,,,,,,,,,,,,,,,
FRAIL-035,36636457,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-035,36636457,falls,,,,,,,,,,,,,,,,
FRAIL-035,36636457,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-035,36636457,adherence,,,,,,,,,,,,,,,,
FRAIL-035,36636457,dropout,,,,,,,,,,,,,,,,
FRAIL-035,36636457,adverse_events,,,,,,,,,,,,,,,,
FRAIL-036,36528997,frailty_status,,,,,,,,,,,,,,,,
FRAIL-036,36528997,frailty_score,,,,,,,,,,,,,,,,
FRAIL-036,36528997,gait_speed,,,,,,,,,,,,,,,,
FRAIL-036,36528997,sppb,,,,,,,,,,,,,,,,
FRAIL-036,36528997,grip_strength,,,,,,,,,,,,,,,,
FRAIL-036,36528997,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-036,36528997,falls,,,,,,,,,,,,,,,,
FRAIL-036,36528997,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-036,36528997,adherence,,,,,,,,,,,,,,,,
FRAIL-036,36528997,dropout,,,,,,,,,,,,,,,,
FRAIL-036,36528997,adverse_events,,,,,,,,,,,,,,,,
FRAIL-037,36426763,frailty_status,,,,,,,,,,,,,,,,
FRAIL-037,36426763,frailty_score,,,,,,,,,,,,,,,,
FRAIL-037,36426763,gait_speed,,,,,,,,,,,,,,,,
FRAIL-037,36426763,sppb,,,,,,,,,,,,,,,,
FRAIL-037,36426763,grip_strength,,,,,,,,,,,,,,,,
FRAIL-037,36426763,adl_iadl,,,,,,,,,,,,,,,,
FRAIL-037,36426763,falls,,,,,,,,,,,,,,,,
FRAIL-037,36426763,quality_of_life,,,,,,,,,,,,,,,,
FRAIL-037,36426763,adherence,,,,,,,,,,,,,,,,
FRAIL-037,36426763,dropout,,,,,,,,,,,,,,,,
FRAIL-037,36426763,adverse_events,,,,,,,,,,,,,,,,
FRAIL-038,36341237,frailty_status,,,,,,,,,,,,,,,,
FRAIL-038,36341237,frailty_score,,,,,,,,,,,,,,,,
FRAIL-038,36341237,gait_speed,,,,,,,,,,,,,,,,
