pmid,doi,title,year,journal,url,priority_reason,abstract,screen_decision,fulltext_priority,round2_decision,round2_reason,setting_code,component_code,high_confidence_decision,high_confidence_reason,intervention_node_prelim
41299266,10.1186/s12877-025-06649-3,Hospital-community continuity of care in fragile patients before and after major surgery-an exploratory case control study.,2025,BMC geriatrics,https://pubmed.ncbi.nlm.nih.gov/41299266/,Community/primary-care frailty RCT candidate,"Frailty is a multifaceted geriatric syndrome that heightens vulnerability to adverse health outcomes, especially in surgical settings. While preoperative geriatric assessments have shown promise in mitigating these risks, their translation into actionable care plans across hospital and community settings remains a challenge. The fragmentation in Israel's healthcare system further exacerbates this issue, leaving gaps in care continuity that impact recovery outcomes for frail patients. This study evaluates a structured continuity-of-care model designed to bridge hospital-community gaps by directly transferring geriatric assessment findings to primary care physicians (PCPs). The impact on functional, mental, and physical outcomes, as well as PCP engagement, was examined. A prospective observational study with a parallel-group design was conducted among 161 elective surgery patients aged 87 and older, or 70-86 with high frailty risk scores. Frailty was measured using the Assuta Frailty Score (AFS), based on the validated Multidimensional Frailty Score (MFS). Intervention group patients received a nurse-led geriatric assessment and structured transmission of results to their PCPs, while control patients self-delivered assessment findings. Outcomes were measured three months post-surgery using the Barthel Index, Lawton IADL, and SF-12. Intervention group patients exhibited a smaller decline in ADL scores (-2.10 vs. -6.03, p = 0.14) and improved IADL outcomes (-0.54 vs. -2.09, p = 0.13). Self-reported general health also improved more in the intervention group (+ 3.89 vs. +2.47, p = 0.15). Assessment results were systematically transferred to PCPs in the intervention group, while only 35% of control patients reported doing so. Patient-reported PCP engagement with results was low in both groups (16% vs. 11%; p = 0.298). A structured continuity-of-care model shows potential for improving postoperative recovery among frail patients by enhancing communication between hospitals and community care providers. However, systemic barriers, including low PCP engagement and fragmented healthcare coordination, limit its full impact. Future studies should develop and evaluate integrated care models with structured communication, emotional support, and digital tools, using robust designs such as randomized or cluster trials.",include_title_abs,A_primary_fulltext,secondary_setting,Hospital/post-acute/residential setting; not primary Indian primary-care scope,hospital_or_postacute,digital_home,exclude_before_extraction,Non-randomized observational design,digital_home_unclear_intervention
41120990,10.1186/s12877-025-06471-x,Impact of a functional gait training program as a complementary strategy to improve physical function in older adults: a randomized clinical trial.,2025,BMC geriatrics,https://pubmed.ncbi.nlm.nih.gov/41120990/,Community/primary-care frailty RCT candidate,"Research on healthy aging increasingly highlights the importance of muscle function, strength, and mass due to their pivotal roles in intrinsic capacity, frailty, sarcopenia, and overall health. Physical exercise remains a cornerstone strategy for enhancing these parameters. This study aimed to assess the impact of functional gait training using the sequential square mat (SSM) Fisior® program on physical performance, muscle mass and strength, and overall mobility in aging populations. A randomized clinical trial was conducted with older adults aged 60 years and older from the Comprehensive Senior Adult Center (CIAM) in Lima, Peru. Participants were randomly assigned to a control group (structured physical activity workshops: gymnastics, dance, swimming, and Tai Chi) or an intervention group (same workshops plus SSM Fisior® program for 35 min, three times weekly). The 12-week intervention's impact was analyzed using linear regression models to calculate β coefficients, standard errors, 95% confidence intervals, and p-values. Among 47 participants (95.74% women, mean age 72.66 years), 29 (61.70%) were in the intervention group and 18 (38.30%) in the control group. Significant improvements were observed in the adjusted model (by age and sex) for the Timed Up and Go Test (B = -1.43, p = 0.002), calf circumference (B = -0.10, p = 0.001), grip strength (B = -0.05, p = 0.004), and Barthel index (B = -0.02, p = 0.001). No association was found with other variables: Short Physical Performance Battery, abdominal circumference, and Sarc-F. Integrating the SSM Fisior® program into physical activity workshops enhances muscle activity and functional performance, in terms of Timed Up and Go Test, muscle strength, functionality and calf circumference, supporting its value in promoting healthy aging. ClinicalTrials.gov NCT07006584. Retrospectively registered, Date of registration May 05, 2025.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,unclear,resistance;mind_body,extract_now,High-confidence community/home/primary-care frailty RCT candidate,exercise_only
41946023,10.1016/j.physio.2025.101873,Impact of a physiotherapy-led low threshold exercise and protein supplementation intervention to optimise physical function and target frailty in people experiencing homelessness and addiction: The LEAP-II trial.,2025,Physiotherapy,https://pubmed.ncbi.nlm.nih.gov/41946023/,Community/primary-care frailty RCT candidate,"Frailty is an age-associated state of physiological vulnerability due to loss of biological reserves and is associated with adverse outcomes such as falls, disability and hospitalisation. People who are homeless and in addiction experience health inequities and have a higher burden of poor physical function and frailty than the general population. Pre-post intervention study. Day service centre for people with chronic addiction issues and homelessness. People experiencing homelessness and addiction. A physiotherapy-led low threshold three-times weekly exercise intervention with protein supplementation was flexibly delivered over 12 weeks. The primary outcome of feasibility was measured by recruitment, retention, adherence, acceptability and adverse events. Secondary outcomes were physical function, pain, frailty and nutritional status, and self-reported health. Forty-three participants enrolled. Overall retention was 70%, with higher retention observed in subgroups (women and older adults). Programme adherence and acceptability was reported in 93% and 100% of participants, respectively. No adverse events occurred. At baseline, sub-normative values were demonstrated for limb strength and balance; pain was prevalent in 35%; 70% had poor nutritional health and between 33% and 72% lived with some degree of frailty. Significant improvements were demonstrated for lower limb strength, gait speed, pain, nutritional status and frailty, (p<0.05). This novel and pragmatic intervention delivered to this commonly overlooked population was shown to be feasible and impactful, indicating proof of concept. Clinical Trials.gov: NCT05700305. CONTRIBUTION OF THE PAPER.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,outpatient_or_day_service,resistance;balance;nutrition,exclude_before_extraction,Protocol/design/baseline paper,exercise_plus_nutrition
40121126,10.1016/j.jagp.2025.02.014,"Improvements in Depressive Symptoms, Perceived Social Support, and Quality of Life Through an Educational Program in Community-Dwelling Older Adults With Frailty Phenotype: A Randomized Controlled Trial of the FRAGSALUD Project.",2025,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry,https://pubmed.ncbi.nlm.nih.gov/40121126/,Community/primary-care frailty RCT candidate,"This study examined the impact of an educational program on depressive symptoms, cognitive function, social support, quality of life, and physical frailty among community-dwelling older adults with frailty or prefrailty. In this 12-month multicenter randomized controlled trial, 199 frail/prefrail community-dwelling older adults were allocated into the intervention (n = 109) or the control (n = 90) group. The 6-month educational intervention focused on guidelines for physical activity, nutrition, cognition, and psychosocial well-being, while participants in the control group maintained their usual healthcare attendance. Changes in depressive symptoms (15-item Geriatric-Depressive-Scale, GDS-15), cognitive function (Short Portable Mental Status Questionnaire, SPMSQ), social support (Duke-University of North Carolina Functional Social Support Questionnaire, Duke-UNC-11), quality of life (3-level EuroQoL five-dimensional questionnaire visual analog scale, EQ-VAS, and index, EQ-Index), physical frailty (Short Physical Performance Battery, SPPB, and Fried's criteria) were evaluated after six months of intervention and six months of follow-up. After the follow-up, the intervention group improved the GDS-15 score (p <0.001), Duke-UNC-11 score (p <0.001), quality of life (EQ-VAS: p = 0.001, EQ-Index: p = 0.010), SPPB score (p <0.001), and reduced Fried's criteria (p <0.001) compared to the control group, which worsened Duke-UNC-11 score (p = 0.012) and EQ-Index (p <0.001). No significant changes in cognitive function were observed. Lastly, all significant changes in study variables after follow-up were significantly correlated with each other (p <0.05), indicating an interrelated evolution. This 6-month educational program improved depressive symptoms, social support, quality of life, and physical frailty in community-dwelling frail and prefrail older adults, as observed after a 6-month follow-up.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,community,nutrition,extract_now,High-confidence community/home/primary-care frailty RCT candidate,nutrition_only
39954533,10.1016/j.jnha.2025.100512,Long-term frailty and physical performance transitions in older people with type-2 diabetes. The MIDFRAIL randomized clinical study.,2025,"The journal of nutrition, health & aging",https://pubmed.ncbi.nlm.nih.gov/39954533/,Community/primary-care frailty RCT candidate,"Type 2 diabetes (T2D) is associated with frailty in older people. We aim to explore changes in frailty status after ≥18 months of intervention. 298 community-dwelling older adults (>70 years) participating in MIDFRAIL followed-up for 18-24 months were randomly allocated by trial site (cluster) to intervention IG (16-weeks resistance exercise program, nutritional-educational sessions, optimization of diabetes care), or usual care group (UCG). Frailty status was assessed by the Fried Frailty Phenotype criteria at baseline and final visit. Functional status was assessed by the SPPB in every visit. We used multivariate linear and logistic regression for continuous and dichotomous outcomes. This study was registered at Clinicaltrials.gov (NCT01654341). Mean age was 77.7 (SD 5.54), 47% were male, 32.9% frail and 67.1% prefrail. The probability of improving the frailty status and decreasing the number of Fried's frailty criteria was higher in the IG than in the UCG (OR 2.6, 95%CI 1.3-5.4; p = 0.009 and OR 1.9; 95%CI 1.1-3.1; p = 0.02, respectively). IG participants more frequently improved ≥1 point in SPPB score (OR 1.85; 95%CI 1.09-3.12; p = 0.022). These benefits were mainly accounted for the prefrail participants. The MIDFRAIL intervention improved frailty status and physical function at long-term follow-up in older people with T2D.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,community,resistance;nutrition,extract_now,High-confidence community/home/primary-care frailty RCT candidate,exercise_plus_nutrition
40147475,10.1016/j.lanhl.2025.100695,"Metformin and physical performance in older people with probable sarcopenia and physical prefrailty or frailty in England (MET-PREVENT): a double-blind, randomised, placebo-controlled trial.",2025,The lancet. Healthy longevity,https://pubmed.ncbi.nlm.nih.gov/40147475/,Community/primary-care frailty RCT candidate,"Metformin has effects on multiple biological systems relevant to ageing and has been posited as a candidate therapy for sarcopenia and physical frailty. We aimed to test the efficacy and safety of metformin, a candidate geroprotector, to improve physical performance in older people with probable sarcopenia and physical prefrailty or frailty. In this double-blind, randomised, parallel-group, placebo-controlled trial (MET-PREVENT), participants aged 65 years and older with a 4-m walk speed of less than 0·8 m/s and probable sarcopenia, characterised by low handgrip strength (<16 kg for women and <27 kg for men) or five times sit-to-stand time of longer than 15 s (or inability to complete five sit-to-stands) were recruited from primary care and hospital clinics in Gateshead and Newcastle, UK. Participants were randomly assigned (1:1), via a web-based system with minimisation to ensure balance by sex and baseline 4-m walk speed, to receive either 500 mg oral metformin or matching placebo three times a day for 4 months. The primary outcome was the adjusted between-group difference in 4-m walk speed at 4 months. The primary outcome was analysed in the intention-to-treat population (ie, all participants randomly assigned to treatment) who had complete data, and safety was assessed in all participants who received at least one dose of study treatment. This study is registered with the ISRCTN registry, ISRCTN29932357, and is now complete. Between Aug 1, 2021, and Sept 30, 2022, 268 individuals were screened for inclusion in the trial, and 72 participants were randomly assigned to either metformin (n=36) or placebo (n=36; intention-to-treat population). Mean age was 80·4 years (SD 5·7), 42 (58%) of 72 participants were female, 30 (42%) were male, and 70 (97%) were White British. 70 (97%) of 72 participants had complete follow-up data (n=34 in the metformin group and n=36 in the placebo group). Mean 4-m walk speed at 4 months was 0·57 m/s (SD 0·19) in the metformin group and 0·58 m/s (0·24) in the placebo group (adjusted treatment effect 0·001 m/s [95% CI -0·06 to 0·06]; p=0·96). 108 adverse events occurred in 35 (100%) of 35 participants who received metformin and 77 adverse events occurred in 33 (92%) of 36 participants who received placebo, and 12 (34%) of 35 participants had hospital admissions in the metformin group versus three (8%) of 36 participants in the placebo group. One death occurred, in the metformin group (one [3%] of 35), and was judged to be unrelated to study treatment. Metformin did not improve 4-m walk speed and was poorly tolerated in this population. National Institute for Health and Care Research Newcastle Biomedical Research Centre.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,primary_care,resistance;balance,extract_now,High-confidence community/home/primary-care frailty RCT candidate,exercise_only
40749218,10.2196/76357,Mixed Reality-Based Physical Therapy in Older Adults With Sarcopenia: Preliminary Randomized Controlled Trial.,2025,JMIR serious games,https://pubmed.ncbi.nlm.nih.gov/40749218/,Community/primary-care frailty RCT candidate,"Sarcopenia in older adults is associated with reduced muscle mass and function, leading to frailty, increased fall risk, and decreased quality of life (QOL). Mixed reality (MR)-based interventions have emerged as promising tools to enhance physical therapy engagement and effectiveness through immersive, interactive environments. This study aimed to investigate the effects of a Mixed Reality-Based Physical Therapy (Mr.PT) platform on quadricep muscle thickness, balance confidence, activities of daily living, and QOL in older adults with sarcopenia. A preliminary randomized controlled trial was conducted involving 30 older women (mean age 75.3, SD 9.9 y) diagnosed with sarcopenia based on the Asian Working Group for Sarcopenia criteria. Participants were randomly assigned to either the Mr.PT group or a conventional physical activity (CPA) group. Both groups participated in 30-minute exercise sessions, 3 times per week, over 4 weeks. The Mr.PT program used head-mounted MR devices with gamified, interactive training, while the CPA group received standard therapist-led exercises using resistance bands. Outcome measures included ultrasound imaging of quadricep muscle thickness, the Korean version of the Activities of Daily Living scale (Katz Index of Independence in Activities of Daily Living), the Activities-Specific Balance Confidence (ABC) scale, and the 12-Item Short-Form Health Survey. Statistical analysis was performed using repeated-measures ANOVA and Tukey post hoc tests. The Mr.PT group showed significantly greater improvement in quadricep muscle thickness than the CPA group (P=.001). Within-group improvements in balance confidence (ABC scale) and daily functioning (Katz Index of Independence in Activities of Daily Living) were observed in both groups (P<.05), though between-group differences were not statistically significant. However, the Mr.PT group demonstrated significantly greater gains in QOL as measured by 12-Item Short-Form Health Survey (P=.02). All participants completed the intervention without dropouts or adverse events. MR-based exercise using the Mr.PT platform appears effective in increasing muscle mass and enhancing QOL among older adults with sarcopenia. Its interactive and adaptive features may improve engagement and motivation, suggesting potential advantages over traditional programs. Further research with larger cohorts and longer follow-up is recommended to confirm these preliminary findings and explore long-term outcomes.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,unclear,resistance;balance;digital_home,extract_now,High-confidence community/home/primary-care frailty RCT candidate,exercise_only
41370708,10.1080/09638288.2025.2597357,Multicomponent physical exercise program among community-dwelling older adults who are users of home care services: a quasi-experimental pilot study.,2025,Disability and rehabilitation,https://pubmed.ncbi.nlm.nih.gov/41370708/,Community/primary-care frailty RCT candidate,"To analyze the feasibility and preliminary effectiveness of a multicomponent physical exercise program (MPEP) among community-dwelling older adults receiving home care services (HCS). A quasi-experimental pilot study was conducted with 44 participants allocated by preference for pragmatic considerations to MPEP or control group (NCT05726214, ClinicalTrails.gov). Over 16 weeks, the MPEP included strength, balance, flexibility, and aerobic exercises through one weekly physiotherapist-led face-to-face session plus two home-based Vivifrail (evidence-based multicomponent exercise program) sessions tailored to participants' functional level. Feasibility was assessed through recruitment, adherence, safety and acceptability. Physical performance; nutritional, psycho-affective and cognitive status; and frailty were measured at baseline and post-intervention. The completion rate was 77%. Face-to-face session attendance and compliance were 83% and 73%, respectively. At-home compliance was 71%. No severe adverse events occurred. Satisfaction was 9/10. Group-by-time analyses suggested improvements in the MPEP group for the Short Physical Performance Battery (η2ₚ=0.154) and Fried Frailty Scale (η2ₚ=0.164). Frailty decreased on both scales (OR = 0.142 and 0.125). No further significant effects were observed. The assessed intervention is feasible and suggests benefits in improving physical function and reducing frailty among older adults receiving HCS. Further robust studies, including explanatory and pragmatic randomised controlled trials are needed.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,home,resistance;balance;aerobic_walking;multicomponent_exercise;nutrition;digital_home,exclude_before_extraction,Protocol/design/baseline paper,exercise_plus_nutrition
40297922,10.1080/07853890.2025.2496409,Multidomain intervention for delaying aging in community-dwelling older adults (MIDA): study design and protocol.,2025,Annals of medicine,https://pubmed.ncbi.nlm.nih.gov/40297922/,Community/primary-care frailty RCT candidate,"The exploration of interventions to delay aging is an emerging topic that promotes healthy aging. The multidomain intervention has the potential to be applied in the field of aging because it concentrates on the functional ability of older adults. There is currently no literature reporting on a multidomain intervention involving cognition, exercise and nutrition for delaying aging. The Multidomain Intervention for Delaying Aging in Community-dwelling Older Adults (MIDA) is a Zelen-design randomized controlled trial with a 6-month intervention duration. The multidomain intervention comprises cognitive training, exercise training, and nutritional guidance, delivered through both group sessions and individual family interventions. A total of 248 participants aged 60 to 85 years will be randomized to the intervention group or control group and followed up for 12 months. The primary outcome is the change in epigenetic age acceleration and pace of aging following the multidomain intervention. The secondary outcomes are the changes in frailty score and intrinsic capacity Z-score. Other outcomes include physical functions, body composition, aging biomarkers, inflammatory markers, haematology and biochemistry parameters, and lifestyle factors. This study will explore the effects of the multidomain intervention on delaying aging in community-dwelling older adults. We aim to introduce a new approach to delaying aging and offer a practical multidomain intervention strategy for healthcare institutions.",include_title_abs,A_primary_fulltext,exclude,Protocol/design/baseline paper rather than outcome report,community,nutrition;digital_home;multidomain,exclude_before_extraction,Protocol/design/baseline paper,multidomain
41103092,10.1080/21551197.2025.2572678,Nutritional Guidance Decreases the Prevalence of Frailty Among Older Caregivers.,2025,Journal of nutrition in gerontology and geriatrics,https://pubmed.ncbi.nlm.nih.gov/41103092/,Implementation-relevant frailty RCT candidate,"The aim of this study was to investigate the effect of individually tailored dietary counseling on frailty status among older family caregivers (FC). This study is part of the LifEstyle, NutriTion, and Oral health in caregivers (LENTO) intervention study. There were a total of 113 participants, with a mean age of 74 years (SD 8.0). This randomized intervention included individually tailored nutritional guidance given by the clinical nutritionist at the baseline and at the 2-month visit and the intervention period was 6 months. At the baseline frailty prevalence was 68% (n = 43 out of 63) in the intervention group and 78% (n = 39 out of 50) in the control group. At the end of the 6-month intervention the prevalence in the intervention group had decreased to 41% (n = 24 out of 59) but remained stable in the control group with 79% (n = 37 out of 47). There was a significant difference in the change of the prevalence of frailty between the groups (P < 0.001). The intervention resulted in increased protein intake in the intervention group from 0.95 g/kg/d (SD 0.34) to 1.05 g/kg/d (SD 0.37) (P = 0.003). The results suggest that frailty among older caregivers can be decreased with personalized nutritional guidance.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,unclear,nutrition;multidomain,extract_now,High-confidence community/home/primary-care frailty RCT candidate,multidomain
40471669,10.2196/69259,"Outdoor Exercise Facility-Based Integrative Mobile Health Intervention to Support Physical Activity, Mental Well-Being, and Exercise Self-Efficacy Among Older Adults With Prefrailty and Frailty in Hong Kong: Pilot Feasibility Randomized Controlled Trial Study.",2025,JMIR mHealth and uHealth,https://pubmed.ncbi.nlm.nih.gov/40471669/,Community/primary-care frailty RCT candidate,"Engaging in an adequate amount of physical activity (PA) serves as a protective factor against frailty. While previous PA interventions have been effective in improving physical functioning outcomes, they have not consistently succeeded in sustaining PA behavioral changes. The primary aim of this pilot randomized controlled trial (RCT) is to explore the feasibility and acceptability of an integrative mobile health (mHealth) intervention among community-dwelling older adults with prefrailty and frailty. The secondary aim was to investigate the potential effects of the intervention on sustaining PA levels and improving mental well-being and exercise self-efficacy in this population. A 2-armed pilot feasibility randomized controlled trial was conducted. A total of 38 inactive, community-dwelling older adults (aged>55 years) with prefrailty and frailty were randomized to either the intervention group (n=19), which received 4 weekly educational workshops at a university and a mobile app to support their use of outdoor exercise facilities in their neighborhood, or the control group (n=19), which received 4 weekly health education workshops with exercise experiential sessions tailored for older adults with frailty. To assess the acceptability of the intervention, individual semistructured interviews were conducted with, and a self-developed questionnaire was administered to, 14 participants from the intervention group. The mean age of the participants was 71.8 (SD 9.34) years, and 24 out of 34 (71%) were female. As many as 34 participants out of 38 (89%) completed the study (18/19 in the control group and 16/19 in the intervention group). Workshop attendance rates were very high in both groups (intervention group, 63/68, 93%, and control group, 72/76, 95%). Self-reported adherence to the unsupervised outdoor practical sessions and engagement with the app was over 65% (36/51, 71%, and 35/51, 69%, in the intervention group. Two adverse events were reported in the intervention group, and none in the control group. As hypothesized, secondary outcome analyses showed that both groups increased their PA levels immediately after the intervention; however, only the intervention group maintained this increase at the 3-month follow-up. Additionally, favorable changes in mental well-being and exercise self-efficacy were observed in the intervention group. Feasibility and acceptability data also highlighted areas for improvement that should be addressed before a larger trial. This study provides initial proof-of-concept evidence for the integrative mHealth intervention. However, modifications are needed to enhance user adherence to both the mobile app and the outdoor practice component before proceeding to a larger trial. ClinicalTrials.gov NCT06326710; https://clinicaltrials.gov/ct2/show/NCT06326710.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,community,digital_home,extract_now,High-confidence community/home/primary-care frailty RCT candidate,digital_home_unclear_intervention
40005003,10.3390/nu17040675,"Personalized Diet With or Without Physical Exercise Improves Nutritional Status, Muscle Strength, Physical Performance, and Quality of Life in Malnourished Older Adults: A Prospective Randomized Controlled Study.",2025,Nutrients,https://pubmed.ncbi.nlm.nih.gov/40005003/,Community/primary-care frailty RCT candidate,"Objectives: Malnutrition (MN) is prevalent in older adults and closely related to sarcopenia, frailty, morbidity, mortality, and decreased quality of life. In this study, we aimed to evaluate the effects of a personalized diet combined with planned physical exercise on nutritional status, physical performance, and quality of life (QoL) in malnourished older adult patients. Methods: In this prospective study, 20 older adults with MN risk according to the Mini Nutritional Assessment-Short Form (MNA-SF) were randomized into (i) personalized diet (PD) and (ii) personalized diet with physical exercise (PDE) groups, and followed up with for 12 weeks. The physical exercise included warm-up, strengthening, balance, and cooldown phases, with a frequency of 3-4 days per week. Anthropometric measurements, physical performance, and quality of life were assessed using standardized tools at baseline and at the 4th, 8th, and 12th weeks. QoL was measured using the EQ-5D index and EQ-5D visual analog scale (VAS) scores. Results: A total of 20 patients (55% male) participated in the study. During the study, BMIs, MNA-SF scores, and hand grip strength were increased, and the patients' average duration on the Timed Up and Go (TUG) test decreased significantly in both groups. The EQ-5D index score of the PD group and the EQ-5D VAS scores of both groups were increased. Conclusions: A personalized diet with or without physical exercise therapy was associated with improved nutritional status, physical performance, and QoL.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,unclear,resistance;balance;nutrition,extract_now,High-confidence community/home/primary-care frailty RCT candidate,exercise_plus_nutrition
40121486,10.1186/s13102-025-01105-6,Psychophysiological effects of a supervised home-based resistance band exercise program in pre-frail older patients with type 2 diabetes mellitus: a randomized controlled trial.,2025,"BMC sports science, medicine & rehabilitation",https://pubmed.ncbi.nlm.nih.gov/40121486/,Community/primary-care frailty RCT candidate,"Frailty is a syndrome as with aging in the population of type 2 diabetes mellitus (T2DM) and exercise has become an essential non-pharmacological tool especially in the pre-frail stage. Notably, the form of supervised home-based exercise program has been strongly recommended in recent years. This study aimed to verify the potential effects of the supervised home-based elastic band exercise in pre-frail older T2DM patients in China. A total of 100 participants were included and randomly divided into intervention group (IG) (n = 50) and control group (CG) (n = 50). The CG received a routine care, while the IG received an extra home-based elastic band training under online and offline supervisions sustaining 12-weeks. The glycosylated hemoglobin (HbA1c), blood lipids, body composition, physical function, scales of Diabetes specificity quality of life scale (DSQL), Pittsburgh sleep quality index (PSQI) and short form geriatric depression scale (GDS-15) of the participants were evaluated before and after intervention. The average age of the participants were 66.01 ± 4.76 with 55% male and average BMI 24.75 ± 3.51 kg/m2. The clinical characteristics of the two groups were comparable. After 12 weeks' training, muscle mass of the limbs (P < 0.05), physical function indicators including grip strength, chair stands (both P < 0.05), walking time (P < 0.01), HbA1c (P < 0.05), frailty score (P < 0.05), subjective sleep quality (P < 0.05), total DSQL scores (P < 0.01) and the depressive status (P < 0.01) improved significantly in IG when compared with CG. Supervised home-based elastic band exercise could improve limb muscle mass, physical fitness, glucose and lipid control and quality of life in pre-frail older T2DM patients. ChiCTR2300070726; Registration date: 21/04/2023.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,home,resistance;aerobic_walking;digital_home,extract_now,High-confidence community/home/primary-care frailty RCT candidate,exercise_only
40900147,10.1097/jnr.0000000000000698,Pulmonary Rehabilitation Exercise Package for Enhancing Health in Elderly COPD Patients With Frailty: An Experimental Study.,2025,The journal of nursing research : JNR,https://pubmed.ncbi.nlm.nih.gov/40900147/,Community/primary-care frailty RCT candidate,"Frailty may result in decreased physical functioning and worsen the prognosis of chronic diseases. Chronic obstructive pulmonary disease (COPD) is associated with an increased risk of concurrent frailty. Although pulmonary rehabilitation has demonstrated improvements in COPD outcomes, its impact on patients with frailty and COPD remains unclear. This study was designed to examine the effects of the pulmonary rehabilitation exercise package (PREP) on frailty, dyspnea, lower extremity muscular endurance (LEME), and walking ability (WA) in older adult COPD patients with frailty. A single-blind experimental design was used to study 100 elderly COPD patients with frailty, randomly assigned to either the experimental or control group. The experimental group (EG) received the PREP intervention, while the control group (CG) received routine care. The Clinical Frail Scale (CFS) was used to measure frailty, the Modified Medical Research Council scale was used to measure dyspnea, LEME was measured using the 30-second chair stand test, and functional exercise capacity (i.e., walking ability or WA) was measured using the 6-minute walk distance. All measurements were taken at three time points: baseline (preintervention), 1 week postintervention, and 1 month postintervention. Between-group and within-group differences and variations in repeated measurements over time were compared using independent t tests, paired t tests, and generalized estimating equations (GEE). A total of 91 participants completed the study, with 9 participants lost to follow-up. No significant between-group differences were found at baseline in terms of characteristics, frailty, dyspnea, LEME, and WA. Applying difference-in-differences, the EG outperformed the CG in terms of dyspnea and WA at both 1-week and 1-month follow-ups, while the EG significantly outperformed the CG on all measures at the 1-month follow-up. Within-group comparisons also revealed significant improvements in the EG compared with the CG. Using GEE to examine the interaction, the EG demonstrated significantly better improvements in dyspnea, LEME, and WA than the CG at the 1-month mark. The results show that PREP has the potential to significantly improve health in older adults with frailty and COPD by addressing frailty, dyspnea, LEME, and WA. PREP may be implemented as a subacute health care model to manage COPD-related debilitation in hospital settings.",include_title_abs,A_primary_fulltext,secondary_disease_specific,Disease-rehabilitation population; secondary/sensitivity only,unclear,aerobic_walking;digital_home,exclude_before_extraction,"Disease-specific, post-acute or hospital rehabilitation population",exercise_only
40213793,10.1253/circrep.CR-24-0091,Randomised Crossover Trial of Home-Based Neuromuscular Electrical Stimulation Therapy as an Adjunct to Cardiac Rehabilitation in Frail Older Adult Patients With Chronic Heart Failure.,2025,Circulation reports,https://pubmed.ncbi.nlm.nih.gov/40213793/,Implementation-relevant frailty RCT candidate,"Neuromuscular electrical stimulation (NMES) is an alternative therapy for patients unable to perform sufficient voluntary exercises. This randomised crossover study aimed to evaluate the safety and efficacy of home-based NMES as an adjunct to cardiac rehabilitation (CR) for improving physical function in frail older adult patients with chronic heart failure (CHF). 8 frail older adult patients with CHF underwent 8 weeks of CR supplemented with home-based NMES and 8 weeks of CR alone in random order, separated with a 4-week washout period. NMES at 50-Hz frequency was administered for 50 min/day, 5 times per week, with electrodes placed on the legs. Changes in the short physical performance battery (SPPB) score, leg strength, and the Barthel index were assessed between patients with CR with and without home-based NMES. No NMES-related adverse events were observed. CR with home-based NMES had a higher total SPPB score and 5-repetition sit-to-stand test time of 2.67 points and -10.67 s, respectively, than CR alone (95% confidence interval [CI] 0.3-5.0, P<0.05 and 95% CI -19.5 to -1.3, P<0.05, respectively). No significant leg strength or Barthel index changes were observed between CR with and without home-based NMES. Home-based NMES safely improved physical function in frail older adult patients with CHF.",include_title_abs,A_primary_fulltext,extraction_candidate,Peer-reviewed community/home/primary-care frailty RCT candidate with relevant outcome,home,resistance;nutrition;digital_home,exclude_before_extraction,"Disease-specific, post-acute or hospital rehabilitation population",exercise_plus_nutrition
