source,pmid,pmcid,title,fetch_status,local_path
Europe_PMC,36259579,PMC12275622,Clinical Efficacy of Multidomain Interventions among Multimorbid Older People Stratified by the Status of Physio-Cognitive Declines: A Secondary Analysis from the Randomized Controlled Trial for Healthy Aging.,fetched,data\raw\pmc_fulltext\PMC12275622.xml
Europe_PMC,37458963,PMC10826892,Tai Chi versus health education as a frailty intervention for community-dwelling older adults with hypertension.,fetched,data\raw\pmc_fulltext\PMC10826892.xml
Europe_PMC,38780837,PMC11116259,Prevention at home in older persons with (pre-)frailty: analysis of participants' recruitment and characteristics of the randomized controlled PromeTheus trial.,fetched,data\raw\pmc_fulltext\PMC11116259.xml
Europe_PMC,39913030,PMC11802700,Effects of 12-month physical and cognitive training on sarcopenia determinants in older adults: a subgroup analysis of a randomised clinical trial.,fetched,data\raw\pmc_fulltext\PMC11802700.xml
Europe_PMC,40192885,PMC11976811,Effects of a multicomponent training and a detraining period on cognitive and functional performance of older adults at risk of frailty.,fetched,data\raw\pmc_fulltext\PMC11976811.xml
Europe_PMC,39775747,PMC12014770,Feasibility within-subject RCT of neuromuscular electrical stimulation; an Intervention to Maintain and improve neuroMuscular function during period of Immobility (IMMI).,fetched,data\raw\pmc_fulltext\PMC12014770.xml
Europe_PMC,40423768,PMC12378287,Frailty is associated with a history of falls among mobility-limited older adults-cross-sectional multivariate analysis from the BIOFRAIL study.,fetched,data\raw\pmc_fulltext\PMC12378287.xml
Europe_PMC,40526339,PMC12528339,Development and validation of a predictive nomogram for frailty based on thyroid function in older adults.,fetched,data\raw\pmc_fulltext\PMC12528339.xml
Europe_PMC,41630896,PMC12861209,Home-Based Exercise Improves Muscle Oxidative Capacity in Kidney Disease.,fetched,data\raw\pmc_fulltext\PMC12861209.xml
Europe_PMC,39307071,PMC12879208,Daily supplementation of lesser mealworm protein for 11-weeks increases skeletal muscle mass in physically active older adults.,fetched,data\raw\pmc_fulltext\PMC12879208.xml
Europe_PMC,40678153,PMC12270616,"Serum lncRNAs NEAT1, PVT1 and H19 as novel biomarkers for sarcopenia diagnosis and treatment response.",fetched,data\raw\pmc_fulltext\PMC12270616.xml
Europe_PMC,41496202,PMC12808611,"Resistance-based training improves mitochondrial capacity and redox balance in aging adults, independent of polyphenol supplementation.",fetched,data\raw\pmc_fulltext\PMC12808611.xml
Europe_PMC,39855890,PMC12183939,"Age Self Care-Resilience, a medical group visit program targeting pre-frailty: A mixed methods pilot clinical trial.",fetched,data\raw\pmc_fulltext\PMC12183939.xml
Europe_PMC,41313689,PMC12790065,"Exploratory functional and quality of life outcomes with daily consumption of the ketone ester bis-octanoyl (R)-1,3-butanediol in healthy older adults: a randomized, parallel arm, double-blind, placebo-controlled study.",fetched,data\raw\pmc_fulltext\PMC12790065.xml
Europe_PMC,41639243,PMC12923666,Physical performance transition and the risk of adverse health outcomes among community-dwelling older adults with or without fatigue.,fetched,data\raw\pmc_fulltext\PMC12923666.xml
Europe_PMC,39742890,PMC11703011,Effects of multidomain lifestyle intervention on frailty among older men and women - a secondary analysis of a randomized clinical trial.,fetched,data\raw\pmc_fulltext\PMC11703011.xml
Europe_PMC,36580558,PMC9799251,Effects of a 12-week Vivifrail exercise program on intrinsic capacity among frail cognitively impaired community-dwelling older adults: secondary analysis of a multicentre randomised clinical trial.,fetched,data\raw\pmc_fulltext\PMC9799251.xml
Europe_PMC,39907488,PMC11795675,Effects of osteoporosis treatment and multicomponent integrated care on intrinsic capacity and happiness among rural community-dwelling older adults: the Healthy Longevity and Ageing in Place (HOPE) randomised controlled trial.,fetched,data\raw\pmc_fulltext\PMC11795675.xml
Europe_PMC,41837346,PMC13017125,Correction to: Home-based extended rehabilitation for older people with frailty (HERO): a randomised controlled trial.,fetched,data\raw\pmc_fulltext\PMC13017125.xml
Europe_PMC,39549282,PMC11775826,Associations Between Deficit Accumulation Frailty and Baseline Markers of Lifestyle in the U.S. POINTER Trial.,fetched,data\raw\pmc_fulltext\PMC11775826.xml
Europe_PMC,41397903,PMC12832955,Impact of multidomain lifestyle intervention on dynamics of cognitive frailty: post hoc analysis of the FINGER trial.,fetched,data\raw\pmc_fulltext\PMC12832955.xml
Europe_PMC,41786620,PMC13064644,Effects of home-based cardiac rehabilitation integrated in the cardiac care bridge transitional care program on the physical functioning of older patients who are frail: secondary analysis of a randomized trial.,fetched,data\raw\pmc_fulltext\PMC13064644.xml
Europe_PMC,37379030,PMC10755068,"A randomized, controlled, prehabilitation intervention to maximize early recovery (PRIMER) in liver transplantation.",fetched,data\raw\pmc_fulltext\PMC10755068.xml
Europe_PMC,40859523,PMC12384908,"Effects of vitamins C and E supplementation combined with 12-week resistance training in older women with sarcopenia: A randomized, double-blind, placebo-controlled trial.",fetched,data\raw\pmc_fulltext\PMC12384908.xml
Europe_PMC,40131764,PMC11950627,Home-based LIver FrailTy Intervention (LIFT) in Transplant Candidates: A Feasibility Study.,fetched,data\raw\pmc_fulltext\PMC11950627.xml
Europe_PMC,37698149,PMC10776124,Holistic frailty prevention: The promise of movement-based mind-body therapies.,fetched,data\raw\pmc_fulltext\PMC10776124.xml
Europe_PMC,40444985,PMC12396167,Short- and Long-Term Effect of Multidomain Lifestyle Intervention on Frailty: Post Hoc Analysis of an RCT.,fetched,data\raw\pmc_fulltext\PMC12396167.xml
Europe_PMC,41456342,PMC12968357,Efficacy of a Multicomponent Intervention for Frailty or Physical Function in Prefrail or Frail Older Adults: FRAILMERIT Multicenter Clinical Trial.,fetched,data\raw\pmc_fulltext\PMC12968357.xml
Europe_PMC,40767365,PMC12624186,Effects of Multidirectional Head Lift Exercise Based on Proprioceptive Neuromuscular Facilitation Techniques on Oropharyngeal Swallowing Muscles in Community-Dwelling Older Adults With Oral Frailty.,fetched,data\raw\pmc_fulltext\PMC12624186.xml
Europe_PMC,41174950,PMC12579327,A Metagenomics Approach to Frailty in Patients With Cirrhosis Undergoing a Multifactorial Intervention.,fetched,data\raw\pmc_fulltext\PMC12579327.xml
Europe_PMC,39890154,PMC11784424,Understanding how older people with mild frailty engage with behaviour change to support their independence: a qualitative study.,fetched,data\raw\pmc_fulltext\PMC11784424.xml
Europe_PMC,41651532,PMC12887520,"Exploring the impact of targeted exercise in women experiencing homelessness, addiction and mental health challenges: a mixed-methods feasibility study.",fetched,data\raw\pmc_fulltext\PMC12887520.xml
Europe_PMC,38267219,PMC10824033,Utility of Goal Attainment Scaling (GAS) in evaluating a multicomponent exercise programme for community-dwelling pre-frail older adults.,fetched,data\raw\pmc_fulltext\PMC10824033.xml
Europe_PMC,36239451,PMC9886361,Multisystem physiological perspective of human frailty and its modulation by physical activity.,fetched,data\raw\pmc_fulltext\PMC9886361.xml
Europe_PMC,41696082,PMC12905093,A structured hybrid exercise programme for pre-frail older adults in primary care: A feasibility and pilot study.,fetched,data\raw\pmc_fulltext\PMC12905093.xml
Europe_PMC,41469541,PMC12754865,Barriers to and facilitators of comprehensive geriatric assessment in primary care in France: a qualitative study exploring physicians' and nurses' experiences.,fetched,data\raw\pmc_fulltext\PMC12754865.xml
Europe_PMC,37957601,PMC10644445,Impact on physical function of the +AGIL Barcelona program in community-dwelling older adults with cognitive impairment: an interventional cohort study.,fetched,data\raw\pmc_fulltext\PMC10644445.xml
Europe_PMC,38326734,PMC10851592,Effects of high-intensity training on fatty infiltration in paraspinal muscles in elderly males with osteosarcopenia - the randomized controlled FrOST study.,fetched,data\raw\pmc_fulltext\PMC10851592.xml
Europe_PMC,38500043,PMC10946144,Effects of oral oligopeptide preparation and exercise intervention in older people with sarcopenia: a randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC10946144.xml
Europe_PMC,38816804,PMC11137894,Sustainability of exercise-induced benefits on circulating MicroRNAs and physical fitness in community-dwelling older adults: a randomized controlled trial with follow up.,fetched,data\raw\pmc_fulltext\PMC11137894.xml
Europe_PMC,39300347,PMC11411904,Hybrid model of care for older persons for improvement of frailty index-a community-based interventional study in an urban setting.,fetched,data\raw\pmc_fulltext\PMC11411904.xml
Europe_PMC,39815171,PMC11734348,Continuous high-soy protein soymilk intake affects ordinary walking speed in the Japanese pre-frail and frail elderly: a randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC11734348.xml
Europe_PMC,40158095,PMC11954231,Cross-sectional assessment of the Tinetti performance-oriented mobility tool for screening physical frailty syndrome in older adults.,fetched,data\raw\pmc_fulltext\PMC11954231.xml
Europe_PMC,40128713,PMC11931766,"Accuracy of tongue strength, endurance, and pressure using Iowa oral performance instrument and predictors of dysphagia in community-dwelling older adults: a cross-sectional study.",fetched,data\raw\pmc_fulltext\PMC11931766.xml
Europe_PMC,40759914,PMC12323141,"Characterizing sarcopenia and sarcopenic obesity in patients aged 65 years and over, at risk of mobility disability: a multicenter observational trial (SARA-OBS).",fetched,data\raw\pmc_fulltext\PMC12323141.xml
Europe_PMC,40380085,PMC12083042,Study on the current status and influencing factors of physical activity in pre-frail rural empty-nest older adults.,fetched,data\raw\pmc_fulltext\PMC12083042.xml
Europe_PMC,40426064,PMC12107726,Prevalence of sarcopenia and its association with frailty and malnutrition among older patients with sepsis-a cross-sectional study in the emergency department.,fetched,data\raw\pmc_fulltext\PMC12107726.xml
Europe_PMC,40696284,PMC12285095,Application of the Fitness and Nutrition Program for Seniors (FANS) to improve Physical Activity and Kinanthropometric Measures among Community-Dwelling Older Adults living with Frailty: a Quasi-experimental Study.,fetched,data\raw\pmc_fulltext\PMC12285095.xml
Europe_PMC,40993553,PMC12462178,36-Week personalized resistance training improves muscle function and circulating myokines in older women with possible sarcopenic obesity: a randomized clinical trial.,fetched,data\raw\pmc_fulltext\PMC12462178.xml
Europe_PMC,41327100,PMC12667061,Predictive model development for possible sarcopenia in community-dwelling older adults: a cross-sectional machine learning approach using the Korean frailty and aging cohort study.,fetched,data\raw\pmc_fulltext\PMC12667061.xml
Europe_PMC,40181306,PMC11970005,A graded personalized exercise program's effect on muscle and body fat: randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC11970005.xml
Europe_PMC,41126123,PMC12541980,Construction and verification of a nomogram to estimate middle-aged and older individuals' susceptibility to sarcopenia.,fetched,data\raw\pmc_fulltext\PMC12541980.xml
Europe_PMC,41299441,PMC12659516,Development and validation of the BPDKC model for predicting sarcopenic knee osteoarthritis in community-dwelling older adults: a cross-sectional study.,fetched,data\raw\pmc_fulltext\PMC12659516.xml
Europe_PMC,40597001,PMC12211464,The effect of community health nurse-led multi-faceted group-based frailty prevention program for older adults: a multi-site pretest-posttest design.,fetched,data\raw\pmc_fulltext\PMC12211464.xml
Europe_PMC,41388544,PMC12822174,The effect of a diet based on vegetable and dairy protein on biochemical and functional indicators of sarcopenia in patients with liver cirrhosis: a randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC12822174.xml
Europe_PMC,39118187,PMC11308463,"Effects of cheese ingestion on muscle mass and strength in possible sarcopenia women: an open-label, parallel-group study.",fetched,data\raw\pmc_fulltext\PMC11308463.xml
Europe_PMC,39272196,PMC11395640,A multicomponent personalized prevention program in the primary care setting: a randomized clinical trial in older people with noncommunicable chronic diseases (Primacare_P3 study).,fetched,data\raw\pmc_fulltext\PMC11395640.xml
Europe_PMC,41652447,PMC12977742,Effects of a personalized exercise program on physical function in older patients with rheumatoid arthritis at high risk of sarcopenia: results of a randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC12977742.xml
Europe_PMC,40361174,PMC12070610,"The cost effectiveness of a multidomain intervention on physical, cognitive, vascular, dietary and psychosocial outcomes among community dwelling older adults with cognitive frailty in Malaysia: The AGELESS Trial.",fetched,data\raw\pmc_fulltext\PMC12070610.xml
Europe_PMC,39696545,PMC11657734,Prevalence and associated body composition factors of sarcopenia in community-dwelling older adults.,fetched,data\raw\pmc_fulltext\PMC11657734.xml
Europe_PMC,40450377,PMC12125811,Diet-induced inflammation and its association with sarcopenia in an Iranian population: a case-control study.,fetched,data\raw\pmc_fulltext\PMC12125811.xml
Europe_PMC,41469931,PMC12866506,Association between the digestion-resistant bioactive peptide content in dairy products and the risk of sarcopenia in Iranian elderly: a case-control study.,fetched,data\raw\pmc_fulltext\PMC12866506.xml
Europe_PMC,38820432,PMC11142616,"Outcomes of the LEAP feasibility trial-A low-threshold, exercise programme with protein supplementation to target frailty and poor physical functioning in people experiencing homelessness and addiction issues.",fetched,data\raw\pmc_fulltext\PMC11142616.xml
Europe_PMC,40668771,PMC12266393,Walking cadence as a measure of activity intensity and impact on functional capacity for prefrail and frail older adults.,fetched,data\raw\pmc_fulltext\PMC12266393.xml
Europe_PMC,41026715,PMC12483237,Effect of short-term exercise with different programs on prevention of sarcopenia in postmenopausal women: A Quasi-Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC12483237.xml
Europe_PMC,41468365,PMC12752955,The cost-effectiveness of the Dutch In Balance fall prevention intervention compared to exercise recommendations among community-dwelling older adults with an increased risk of falls: A randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC12752955.xml
Europe_PMC,38032288,PMC10713395,"Enhanced serum levels of tumor necrosis factor-α, interleukin-1β, and -6 in sarcopenia: alleviation through exercise and nutrition intervention.",fetched,data\raw\pmc_fulltext\PMC10713395.xml
Europe_PMC,38297472,PMC10847829,Effects of resistance training and protein supplementation interventions on muscle volume and muscle function: sex differences in humans.,fetched,data\raw\pmc_fulltext\PMC10847829.xml
Europe_PMC,36700164,PMC9869795,Effects of High-Intensity Resistance Training on Visceral Adipose Tissue and Abdominal Aortic Calcifications in Older Men with Osteosarcopenia - Results from the FrOST Study.,fetched,data\raw\pmc_fulltext\PMC9869795.xml
Europe_PMC,38765795,PMC11102744,Non-Pharmacological Strategies for Managing Sarcopenia in Chronic Diseases.,fetched,data\raw\pmc_fulltext\PMC11102744.xml
Europe_PMC,40165996,PMC11956726,Therapeutics for Sarcopenia and Functional Disabilities in Older Adults: A Review of Phase 4 Clinical Trials.,fetched,data\raw\pmc_fulltext\PMC11956726.xml
Europe_PMC,39635500,PMC11616483,Development and Validation of a Risk Prediction Model for Sarcopenia in Chinese Older Patients with Type 2 Diabetes Mellitus.,fetched,data\raw\pmc_fulltext\PMC11616483.xml
Europe_PMC,41867893,PMC13005584,Prediction Model for Frailty in Middle-Aged and Older Adults with Cardiovascular Disease.,fetched,data\raw\pmc_fulltext\PMC13005584.xml
Europe_PMC,38349721,PMC10900082,The Effect of Web-Based Culinary Medicine to Enhance Protein Intake on Muscle Quality in Older Adults: Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC10900082.xml
Europe_PMC,39259959,PMC11425022,Effects of Virtual Reality Motor-Cognitive Training for Older People With Cognitive Frailty: Multicentered Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC11425022.xml
Europe_PMC,39621937,PMC11587998,Quantifying the Enhancement of Sarcopenic Skeletal Muscle Preservation Through a Hybrid Exercise Program: Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC11587998.xml
Europe_PMC,40310677,PMC12082056,Multihealth Promotion Programs on Physical Health and Quality of Life in Older Adults: Quasi-Experimental Study.,fetched,data\raw\pmc_fulltext\PMC12082056.xml
Europe_PMC,40953440,PMC12481141,Machine Learning Approach for Frailty Detection in Long-Term Care Using Accelerometer-Measured Gait and Daily Physical Activity: Model Development and Validation Study.,fetched,data\raw\pmc_fulltext\PMC12481141.xml
Europe_PMC,38046443,PMC10690129,A Narrative Review of the Utilisation of the SHARE Frailty Instruments (SHARE-FI and SHARE-FI75+) in the Literature.,fetched,data\raw\pmc_fulltext\PMC10690129.xml
Europe_PMC,38835618,PMC11145092,The Feasibilty of the Motor Control Home Ergonomics Elderlies' Prevention of Falls (McHeELP) Programme in Patients with Sarcopenia: A Pilot Study.,fetched,data\raw\pmc_fulltext\PMC11145092.xml
Europe_PMC,40644314,PMC12645253,Treating Sarcopenic Obesity in the Era of Incretin Therapies: Perspectives and Challenges.,fetched,data\raw\pmc_fulltext\PMC12645253.xml
Europe_PMC,36416166,PMC10086760,Beneficial effects of walking-based home program for improving cardio-respiratory performance and physical activity in sarcopenic older people: a randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC10086760.xml
Europe_PMC,34092633,PMC8385532,"Multidomain Intervention for Reversal of Cognitive Frailty, Towards a Personalized Approach (AGELESS Trial): Study Design.",fetched,data\raw\pmc_fulltext\PMC8385532.xml
Europe_PMC,37818088,PMC10560881,High blood galectin-3 level associated with risk of frailty in aging.,fetched,data\raw\pmc_fulltext\PMC10560881.xml
Europe_PMC,41601732,PMC12832725,A nomogram for predicting sedation-related adverse events in elderly patients undergoing painless gastrointestinal endoscopy.,fetched,data\raw\pmc_fulltext\PMC12832725.xml
Europe_PMC,40400914,PMC12092390,Multi-pathway blood biomarkers to target and monitor multidimensional prevention of cognitive and functional decline (nested in the IN-TeMPO study framed within the world-wide FINGERS network).,fetched,data\raw\pmc_fulltext\PMC12092390.xml
Europe_PMC,37743924,PMC10513027,"""We want more"": perspectives of sarcopenic older women on the feasibility of high-intensity progressive resistance exercises and a whey-protein nutrition intervention.",fetched,data\raw\pmc_fulltext\PMC10513027.xml
Europe_PMC,39834460,PMC11743497,"Shatavari supplementation during eight weeks of resistance training increases training load, enhances skeletal muscle contractility and alters the skeletal muscle proteome in older women.",fetched,data\raw\pmc_fulltext\PMC11743497.xml
Europe_PMC,40093878,PMC11906324,Dietary protein requirements of older adults with sarcopenia determined by the indicator amino acid oxidation technology.,fetched,data\raw\pmc_fulltext\PMC11906324.xml
Europe_PMC,40704314,PMC12283294,Predicting the unseen: nutritional interventions as a key to combat frailty.,fetched,data\raw\pmc_fulltext\PMC12283294.xml
Europe_PMC,41098785,PMC12518088,The relationship between watermelon consumption and sarcopenia in an elderly general population: findings from the Tianjin chronic low-grade systemic inflammation and health study.,fetched,data\raw\pmc_fulltext\PMC12518088.xml
Europe_PMC,41835384,PMC12979126,Vitamin K and muscle health: mechanisms and clinical perspectives in sarcopenia and beyond: narrative review.,fetched,data\raw\pmc_fulltext\PMC12979126.xml
Europe_PMC,41847233,PMC12989373,"Twelve-week combined arginine and fish oil supplementation is associated with reduced sarcopenia severity: a randomized, double-blind, placebo-controlled study.",fetched,data\raw\pmc_fulltext\PMC12989373.xml
Europe_PMC,38098822,PMC10720710,"Effects of an educational intervention on frailty status, physical function, physical activity, sleep patterns, and nutritional status of older adults with frailty or pre-frailty: the FRAGSALUD study.",fetched,data\raw\pmc_fulltext\PMC10720710.xml
Europe_PMC,38694984,PMC11062244,"A 12-week multicomponent exercise program enhances frailty by increasing robustness, improves physical performance, and preserves muscle mass in older adults with HIV: MOVIhNG study.",fetched,data\raw\pmc_fulltext\PMC11062244.xml
Europe_PMC,40567995,PMC12188645,Effects of physical fitness using a Kinect system for pre-frail community-dwelling older adults.,fetched,data\raw\pmc_fulltext\PMC12188645.xml
Europe_PMC,40959638,PMC12433870,Predicting fall risk among older adults in Chinese communities with advanced machine learning techniques: a retrospective study.,fetched,data\raw\pmc_fulltext\PMC12433870.xml
Europe_PMC,41368662,PMC12683717,Development and validation of a model to predict the risk of frailty in older adults with panvascular disease.,fetched,data\raw\pmc_fulltext\PMC12683717.xml
Europe_PMC,41346374,PMC12672878,Effect of maximal mental effort during elastic band training on neuromuscular adaptations in older women.,fetched,data\raw\pmc_fulltext\PMC12672878.xml
Europe_PMC,37508325,PMC10376679,A Narrative Review of Non-Pharmacological Strategies for Managing Sarcopenia in Older Adults with Cardiovascular and Metabolic Diseases.,fetched,data\raw\pmc_fulltext\PMC10376679.xml
Europe_PMC,40868119,PMC12383353,Vitamin D and Sarcopenia: Implications for Muscle Health.,fetched,data\raw\pmc_fulltext\PMC12383353.xml
Europe_PMC,40126288,PMC11932192,Validation of the Italian Version of the Rapid Geriatric Assessment in Community-Dwelling Older Adults.,fetched,data\raw\pmc_fulltext\PMC11932192.xml
Europe_PMC,41283447,PMC12641721,"Effect of Eight-Week Strength Training on Body Composition, Muscle Strength and Perceived Stress in Community-Dwelling Older Women.",fetched,data\raw\pmc_fulltext\PMC12641721.xml
Europe_PMC,41897209,PMC13026366,Effects of a 6-Month Educational Program on Blood Pressure in Pre-Frail and Frail Older Adults: A Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC13026366.xml
Europe_PMC,41154987,PMC12564842,Clinical-Functional Vulnerability of Older Adults in Primary Care in a Brazilian Municipality: Associated Factors.,fetched,data\raw\pmc_fulltext\PMC12564842.xml
Europe_PMC,40807152,PMC12347130,"Gaming Against Frailty: Effects of Virtual Reality-Based Training on Postural Control, Mobility, and Fear of Falling Among Frail Older Adults.",fetched,data\raw\pmc_fulltext\PMC12347130.xml
Europe_PMC,41156209,PMC12565208,Antithrombotic Therapy in the Elderly with Cardiovascular Disease: Walking the Tightrope Between Efficacy and Bleeding Risk-A Narrative Review.,fetched,data\raw\pmc_fulltext\PMC12565208.xml
Europe_PMC,41900532,PMC13027660,Effects of Higher Dietary Protein Intake on Isokinetic Muscle Performance in Older Adults with Type 2 Diabetes Mellitus.,fetched,data\raw\pmc_fulltext\PMC13027660.xml
Europe_PMC,40724490,PMC12299642,"Home-Based Virtual Reality Exercise and Resistance Training for Enhanced Cardiorespiratory Fitness in Community-Dwelling Older People with Sarcopenia: A Randomized, Double-Blind Controlled Trial.",fetched,data\raw\pmc_fulltext\PMC12299642.xml
Europe_PMC,40868822,PMC12387168,"The Role of Rehabilitation Program in Managing the Triad of Sarcopenia, Obesity, and Chronic Pain.",fetched,data\raw\pmc_fulltext\PMC12387168.xml
Europe_PMC,34960050,PMC8705961,Exercise and Nutrition Impact on Osteoporosis and Sarcopenia-The Incidence of Osteosarcopenia: A Narrative Review.,fetched,data\raw\pmc_fulltext\PMC8705961.xml
Europe_PMC,37111195,PMC10146965,"Efficacy of Dietary Intervention with Group Activities on Dietary Intakes, Frailty Status, and Working Memory: A Cluster-Randomized Controlled Trial in Community Strongholds.",fetched,data\raw\pmc_fulltext\PMC10146965.xml
Europe_PMC,39275303,PMC11397451,Oral Protein Supplements Might Improve Nutritional Status and Quality of Life in Elderly Patients after Standard Pancreatic Resection.,fetched,data\raw\pmc_fulltext\PMC11397451.xml
Europe_PMC,39683377,PMC11643836,An Investigation of the Risk Factors Related to Frailty in Older Adults Receiving Home Care Services.,fetched,data\raw\pmc_fulltext\PMC11643836.xml
Europe_PMC,39771028,PMC11677392,"Obesity and Metabolic Disease Impair the Anabolic Response to Protein Supplementation and Resistance Exercise: A Retrospective Analysis of a Randomized Clinical Trial with Implications for Aging, Sarcopenic Obesity, and Weight Management.",fetched,data\raw\pmc_fulltext\PMC11677392.xml
Europe_PMC,39940276,PMC11820567,Effects of a Hypocaloric Diet Plus Resistance Training with and Without Amino Acids in Older Participants with Dynapenic Obesity: A Randomized Clinical Trial.,fetched,data\raw\pmc_fulltext\PMC11820567.xml
Europe_PMC,39940334,PMC11820900,The Dietary Inflammatory Index and Sarcopenia in Older Adults in Four Chinese Provinces: A Cross-Sectional Study.,fetched,data\raw\pmc_fulltext\PMC11820900.xml
Europe_PMC,40944248,PMC12430409,Creatine Supplementation Combined with Exercise in the Prevention of Type 2 Diabetes: Effects on Insulin Resistance and Sarcopenia.,fetched,data\raw\pmc_fulltext\PMC12430409.xml
Europe_PMC,41228530,PMC12608599,Effects of High-Protein Nutritional Guidance on Sarcopenia-Related Parameters in Individuals Aged ≥ 75 Years with Type 2 Diabetes: An Exploratory Single-Arm Pre-Post Intervention Study.,fetched,data\raw\pmc_fulltext\PMC12608599.xml
Europe_PMC,39123834,PMC11314642,A Digital Platform for Home-Based Exercise Prescription for Older People with Sarcopenia.,fetched,data\raw\pmc_fulltext\PMC11314642.xml
Europe_PMC,40137789,PMC11946402,"Effectiveness of Home-Based Stretching and Strengthening Training for Improving Flexibility, Strength, and Physical Function in Older Adults with Leg Tightness and/or Suspected Sarcopenia.",fetched,data\raw\pmc_fulltext\PMC11946402.xml
Europe_PMC,41164433,PMC12560040,"Research progress on intrinsic capacity in older adults: Concepts, epidemiology, assessments, influencing factors, adverse outcomes, and interventions.",fetched,data\raw\pmc_fulltext\PMC12560040.xml
Europe_PMC,41674227,PMC12963776,Sarcopenia and Muscle Aging: Updated Insights into Molecular Mechanisms and Translational Therapeutics.,fetched,data\raw\pmc_fulltext\PMC12963776.xml
Europe_PMC,41821346,PMC13008612,"Effects of senior-friendly foods on health, nutritional status, and dietary intake among rural elderly women in Korea: a quasi-experimental study.",fetched,data\raw\pmc_fulltext\PMC13008612.xml
Europe_PMC,39583027,PMC11584377,Cognitive Function in Frail Older Adults With Multiple Sclerosis: An Exploratory Study Using Secondary Data Analysis.,fetched,data\raw\pmc_fulltext\PMC11584377.xml
Europe_PMC,40656941,PMC12255238,Enhancing physical activity in older type 2 diabetic adults through remote patient monitoring: a pre-post study in Taiwan.,fetched,data\raw\pmc_fulltext\PMC12255238.xml
