study_id,pmid,domain,judgement,support_for_judgement,reviewer,second_author_checked,consensus_judgement
FRAIL-023,39580545,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-023,39580545,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-023,39580545,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-023,39580545,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-023,39580545,overall,,,Dr Siddalingaiah H S,,
FRAIL-024,39478450,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-024,39478450,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-024,39478450,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-024,39478450,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-024,39478450,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-024,39478450,overall,,,Dr Chandrakala D,,
FRAIL-025,39390362,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-025,39390362,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-025,39390362,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-025,39390362,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-025,39390362,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-025,39390362,overall,,,Dr Siddalingaiah H S,,
FRAIL-026,39354527,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-026,39354527,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-026,39354527,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-026,39354527,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-026,39354527,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-026,39354527,overall,,,Dr Chandrakala D,,
FRAIL-027,39211745,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-027,39211745,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-027,39211745,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-027,39211745,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-027,39211745,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-027,39211745,overall,,,Dr Siddalingaiah H S,,
FRAIL-028,38111605,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-028,38111605,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-028,38111605,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-028,38111605,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-028,38111605,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-028,38111605,overall,,,Dr Chandrakala D,,
FRAIL-029,37960913,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-029,37960913,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-029,37960913,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-029,37960913,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-029,37960913,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-029,37960913,overall,,,Dr Siddalingaiah H S,,
FRAIL-030,37875291,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-030,37875291,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-030,37875291,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-030,37875291,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-030,37875291,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-030,37875291,overall,,,Dr Chandrakala D,,
FRAIL-031,37357328,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-031,37357328,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-031,37357328,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-031,37357328,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-031,37357328,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-031,37357328,overall,,,Dr Siddalingaiah H S,,
FRAIL-032,37328797,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-032,37328797,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-032,37328797,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-032,37328797,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-032,37328797,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-032,37328797,overall,,,Dr Chandrakala D,,
FRAIL-033,37049448,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-033,37049448,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-033,37049448,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-033,37049448,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-033,37049448,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-033,37049448,overall,,,Dr Siddalingaiah H S,,
FRAIL-034,36673644,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-034,36673644,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-034,36673644,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-034,36673644,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-034,36673644,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-034,36673644,overall,,,Dr Chandrakala D,,
FRAIL-035,36636457,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-035,36636457,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-035,36636457,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-035,36636457,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-035,36636457,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-035,36636457,overall,,,Dr Siddalingaiah H S,,
FRAIL-036,36528997,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-036,36528997,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-036,36528997,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-036,36528997,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-036,36528997,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-036,36528997,overall,,,Dr Chandrakala D,,
FRAIL-037,36426763,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-037,36426763,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-037,36426763,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-037,36426763,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-037,36426763,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-037,36426763,overall,,,Dr Siddalingaiah H S,,
FRAIL-038,36341237,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-038,36341237,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-038,36341237,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-038,36341237,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-038,36341237,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-038,36341237,overall,,,Dr Chandrakala D,,
FRAIL-039,35887850,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-039,35887850,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-039,35887850,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-039,35887850,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-039,35887850,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-039,35887850,overall,,,Dr Siddalingaiah H S,,
FRAIL-040,35766913,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-040,35766913,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-040,35766913,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-040,35766913,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-040,35766913,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-040,35766913,overall,,,Dr Chandrakala D,,
FRAIL-041,35399053,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-041,35399053,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-041,35399053,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-041,35399053,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-041,35399053,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-041,35399053,overall,,,Dr Siddalingaiah H S,,
FRAIL-042,34725661,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-042,34725661,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-042,34725661,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-042,34725661,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-042,34725661,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-042,34725661,overall,,,Dr Chandrakala D,,
FRAIL-043,34620081,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-043,34620081,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-043,34620081,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-043,34620081,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-043,34620081,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-043,34620081,overall,,,Dr Siddalingaiah H S,,
FRAIL-044,34449605,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-044,34449605,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-044,34449605,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-044,34449605,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-044,34449605,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-044,34449605,overall,,,Dr Chandrakala D,,
FRAIL-045,34351363,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-045,34351363,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-045,34351363,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-045,34351363,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-045,34351363,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-045,34351363,overall,,,Dr Siddalingaiah H S,,
FRAIL-046,33968874,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-046,33968874,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-046,33968874,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-046,33968874,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-046,33968874,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-046,33968874,overall,,,Dr Chandrakala D,,
FRAIL-047,33937294,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-047,33937294,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-047,33937294,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-047,33937294,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-047,33937294,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-047,33937294,overall,,,Dr Siddalingaiah H S,,
FRAIL-048,33742266,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-048,33742266,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-048,33742266,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-048,33742266,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-048,33742266,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-048,33742266,overall,,,Dr Chandrakala D,,
FRAIL-049,33583000,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-049,33583000,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-049,33583000,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-049,33583000,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-049,33583000,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-049,33583000,overall,,,Dr Siddalingaiah H S,,
FRAIL-050,33546255,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-050,33546255,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-050,33546255,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-050,33546255,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-050,33546255,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-050,33546255,overall,,,Dr Chandrakala D,,
FRAIL-051,33513714,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-051,33513714,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-051,33513714,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-051,33513714,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-051,33513714,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-051,33513714,overall,,,Dr Siddalingaiah H S,,
FRAIL-052,32114877,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-052,32114877,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-052,32114877,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-052,32114877,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-052,32114877,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-052,32114877,overall,,,Dr Chandrakala D,,
FRAIL-053,33032532,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-053,33032532,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-053,33032532,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-053,33032532,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-053,33032532,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-053,33032532,overall,,,Dr Siddalingaiah H S,,
FRAIL-054,32762725,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-054,32762725,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-054,32762725,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-054,32762725,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-054,32762725,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-054,32762725,overall,,,Dr Chandrakala D,,
FRAIL-055,32702879,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-055,32702879,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-055,32702879,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-055,32702879,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-055,32702879,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-055,32702879,overall,,,Dr Siddalingaiah H S,,
FRAIL-056,32545408,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-056,32545408,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-056,32545408,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-056,32545408,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-056,32545408,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-056,32545408,overall,,,Dr Chandrakala D,,
FRAIL-057,32466446,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-057,32466446,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-057,32466446,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-057,32466446,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-057,32466446,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-057,32466446,overall,,,Dr Siddalingaiah H S,,
FRAIL-058,32375700,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-058,32375700,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-058,32375700,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-058,32375700,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-058,32375700,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-058,32375700,overall,,,Dr Chandrakala D,,
FRAIL-059,32375239,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-059,32375239,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-059,32375239,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-059,32375239,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-059,32375239,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-059,32375239,overall,,,Dr Siddalingaiah H S,,
FRAIL-060,32259186,D1_randomization_process,,,Dr Chandrakala D,,
