"param","sex","refht","age","median","lln"
"fvc","F",150.6,77,1.668,1.033
"fvc","F",150.6,78,1.65,1.018
"fvc","F",150.6,79,1.633,1.004
"fvc","F",150.6,80,1.616,0.989
"fvc","F",150.6,81,1.6,0.975
"fvc","F",150.6,82,1.584,0.962
"fvc","F",150.6,83,1.568,0.948
"fvc","F",150.6,84,1.553,0.935
"fvc","F",150.6,85,1.538,0.922
"fvc","F",150.6,86,1.524,0.91
"fvc","F",150.6,87,1.509,0.897
"fvc","F",150.6,88,1.495,0.885
"fvc","F",150.6,89,1.481,0.872
"fvc","F",150.6,90,1.467,0.86
"fev1","M",162.5,45,2.449,1.613
"fev1","M",162.5,46,2.427,1.594
"fev1","M",162.5,47,2.405,1.575
"fev1","M",162.5,48,2.383,1.556
"fev1","M",162.5,49,2.362,1.537
"fev1","M",162.5,50,2.341,1.519
"fev1","M",162.5,51,2.32,1.5
"fev1","M",162.5,52,2.299,1.482
"fev1","M",162.5,53,2.278,1.464
"fev1","M",162.5,54,2.257,1.446
"fev1","M",162.5,55,2.236,1.428
"fev1","M",162.5,56,2.215,1.41
"fev1","M",162.5,57,2.193,1.392
"fev1","M",162.5,58,2.172,1.374
"fev1","M",162.5,59,2.15,1.355
"fev1","M",162.5,60,2.128,1.337
"fev1","M",162.5,61,2.106,1.319
"fev1","M",162.5,62,2.084,1.3
"fev1","M",162.5,63,2.061,1.282
"fev1","M",162.5,64,2.038,1.263
"fev1","M",162.5,65,2.015,1.245
"fev1","M",162.5,66,1.992,1.226
"fev1","M",162.5,67,1.969,1.208
"fev1","M",162.5,68,1.946,1.19
"fev1","M",162.5,69,1.923,1.172
"fev1","M",162.5,70,1.9,1.154
"fev1","M",162.5,71,1.878,1.136
"fev1","M",162.5,72,1.856,1.119
"fev1","M",162.5,73,1.835,1.102
"fev1","M",162.5,74,1.814,1.086
"fev1","M",162.5,75,1.793,1.07
"fev1","M",162.5,76,1.773,1.054
"fev1","M",162.5,77,1.753,1.038
"fev1","M",162.5,78,1.733,1.023
"fev1","M",162.5,79,1.714,1.008
"fev1","M",162.5,80,1.695,0.993
"fev1","M",162.5,81,1.677,0.979
"fev1","M",162.5,82,1.659,0.965
"fev1","M",162.5,83,1.641,0.951
"fev1","M",162.5,84,1.623,0.937
"fev1","M",162.5,85,1.605,0.923
"fev1","M",162.5,86,1.588,0.91
"fev1","M",162.5,87,1.571,0.897
"fev1","M",162.5,88,1.554,0.884
"fev1","M",162.5,89,1.537,0.871
"fev1","M",162.5,90,1.521,0.858
"fev1","F",150.6,45,1.769,1.172
"fev1","F",150.6,46,1.755,1.159
"fev1","F",150.6,47,1.741,1.147
"fev1","F",150.6,48,1.728,1.134
"fev1","F",150.6,49,1.715,1.122
"fev1","F",150.6,50,1.702,1.109
"fev1","F",150.6,51,1.689,1.097
"fev1","F",150.6,52,1.677,1.086
"fev1","F",150.6,53,1.665,1.074
"fev1","F",150.6,54,1.654,1.063
"fev1","F",150.6,55,1.642,1.051
"fev1","F",150.6,56,1.63,1.04
"fev1","F",150.6,57,1.618,1.028
"fev1","F",150.6,58,1.605,1.016
"fev1","F",150.6,59,1.592,1.004
"fev1","F",150.6,60,1.578,0.991
"fev1","F",150.6,61,1.564,0.978
"fev1","F",150.6,62,1.549,0.964
"fev1","F",150.6,63,1.534,0.951
"fev1","F",150.6,64,1.518,0.937
"fev1","F",150.6,65,1.502,0.923
"fev1","F",150.6,66,1.486,0.909
"fev1","F",150.6,67,1.47,0.895
"fev1","F",150.6,68,1.454,0.881
"fev1","F",150.6,69,1.438,0.867
"fev1","F",150.6,70,1.423,0.854
"fev1","F",150.6,71,1.407,0.84
"fev1","F",150.6,72,1.392,0.827
"fev1","F",150.6,73,1.377,0.814
"fev1","F",150.6,74,1.362,0.801
"fev1","F",150.6,75,1.348,0.788
"fev1","F",150.6,76,1.333,0.776
"fev1","F",150.6,77,1.319,0.764
"fev1","F",150.6,78,1.306,0.752
"fev1","F",150.6,79,1.292,0.74
"fev1","F",150.6,80,1.279,0.728
"fev1","F",150.6,81,1.266,0.717
"fev1","F",150.6,82,1.253,0.705
"fev1","F",150.6,83,1.24,0.694
"fev1","F",150.6,84,1.228,0.684
"fev1","F",150.6,85,1.216,0.673
"fev1","F",150.6,86,1.204,0.663
"fev1","F",150.6,87,1.192,0.652
"fev1","F",150.6,88,1.18,0.642
"fev1","F",150.6,89,1.169,0.632
"fev1","F",150.6,90,1.157,0.623
