study_id,title,year,journal,pmid,pmcid,doi,intervention_name,endpoint_family,outcome_name,outcome_timepoint,effect_metric,effect_direction_beneficial,n_treatment,n_control,mean_treatment,sd_treatment,mean_control,sd_control,change_mean_treatment,change_sd_treatment,change_mean_control,change_sd_control,events_treatment,events_control,time_to_event_metric,log_effect,se_log_effect,ci_lower,ci_upper,p_value,extractor_method,source_used,source_locator,verification_status,duplicate_cohort_flag,risk_of_bias_overall,ready_for_pooling,notes,effect_estimate,effect_se
37118425,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,2023,Nature Aging,37118425,,10.1038/s43587-022-00357-y,caloric_restriction,epigenetic_biological_age,PC PhenoAge,12_months_itt,cohens_d_standardized_change_difference,Direction depends on clock acceleration coding; extracted as reported,128,69,,,,,,,,,,,,,,-0.19,0.12,P > 0.50,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-022-00357-y,full_text_effect_size_and_ci_extracted,no,low,yes,"Standardized effect estimate and 95% CI extracted from the Nature Aging full text. The article reports n = 197 participants with DNAm data available (128 caloric restriction, 69 ad libitum control).",-0.03,0.07908163265306123
37118425,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,2023,Nature Aging,37118425,,10.1038/s43587-022-00357-y,caloric_restriction,epigenetic_biological_age,PC PhenoAge,24_months_itt,cohens_d_standardized_change_difference,Direction depends on clock acceleration coding; extracted as reported,128,69,,,,,,,,,,,,,,-0.11,0.2,P > 0.50,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-022-00357-y,full_text_effect_size_and_ci_extracted,no,low,yes,"Standardized effect estimate and 95% CI extracted from the Nature Aging full text. The article reports n = 197 participants with DNAm data available (128 caloric restriction, 69 ad libitum control).",0.05,0.07908163265306123
37118425,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,2023,Nature Aging,37118425,,10.1038/s43587-022-00357-y,caloric_restriction,epigenetic_biological_age,PC GrimAge,12_months_itt,cohens_d_standardized_change_difference,Direction depends on clock acceleration coding; extracted as reported,128,69,,,,,,,,,,,,,,-0.16,0.07,P > 0.40,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-022-00357-y,full_text_effect_size_and_ci_extracted,no,low,yes,"Standardized effect estimate and 95% CI extracted from the Nature Aging full text. The article reports n = 197 participants with DNAm data available (128 caloric restriction, 69 ad libitum control).",-0.04,0.058673469387755105
37118425,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,2023,Nature Aging,37118425,,10.1038/s43587-022-00357-y,caloric_restriction,epigenetic_biological_age,PC GrimAge,24_months_itt,cohens_d_standardized_change_difference,Direction depends on clock acceleration coding; extracted as reported,128,69,,,,,,,,,,,,,,-0.07,0.17,P > 0.40,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-022-00357-y,full_text_effect_size_and_ci_extracted,no,low,yes,"Standardized effect estimate and 95% CI extracted from the Nature Aging full text. The article reports n = 197 participants with DNAm data available (128 caloric restriction, 69 ad libitum control).",0.05,0.06122448979591837
37118425,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,2023,Nature Aging,37118425,,10.1038/s43587-022-00357-y,caloric_restriction,epigenetic_biological_age,DunedinPACE,12_months_itt,cohens_d_standardized_change_difference,Lower pace favorable,128,69,,,,,,,,,,,,,,-0.45,-0.13,P < 0.003,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-022-00357-y,full_text_effect_size_and_ci_extracted,no,low,yes,"Standardized effect estimate and 95% CI extracted from the Nature Aging full text. The article reports n = 197 participants with DNAm data available (128 caloric restriction, 69 ad libitum control).",-0.29,0.0816326530612245
37118425,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,2023,Nature Aging,37118425,,10.1038/s43587-022-00357-y,caloric_restriction,epigenetic_biological_age,DunedinPACE,24_months_itt,cohens_d_standardized_change_difference,Lower pace favorable,128,69,,,,,,,,,,,,,,-0.41,-0.09,P < 0.003,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-022-00357-y,full_text_effect_size_and_ci_extracted,no,low,yes,"Standardized effect estimate and 95% CI extracted from the Nature Aging full text. The article reports n = 197 participants with DNAm data available (128 caloric restriction, 69 ad libitum control).",-0.25,0.08163265306122448
37118425,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,2023,Nature Aging,37118425,,10.1038/s43587-022-00357-y,caloric_restriction,epigenetic_biological_age,DunedinPACE,12_months_tot_20pct_cr,cohens_d_standardized_change_difference,Lower pace favorable,128,69,,,,,,,,,,,,,,-0.67,-0.19,P < 0.005,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-022-00357-y,full_text_effect_size_and_ci_extracted,no,low,yes,"Standardized effect estimate and 95% CI extracted from the Nature Aging full text. The article reports n = 197 participants with DNAm data available (128 caloric restriction, 69 ad libitum control).",-0.43,0.12244897959183675
37118425,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,2023,Nature Aging,37118425,,10.1038/s43587-022-00357-y,caloric_restriction,epigenetic_biological_age,DunedinPACE,24_months_tot_20pct_cr,cohens_d_standardized_change_difference,Lower pace favorable,128,69,,,,,,,,,,,,,,-0.67,-0.12,P < 0.005,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-022-00357-y,full_text_effect_size_and_ci_extracted,no,low,yes,"Standardized effect estimate and 95% CI extracted from the Nature Aging full text. The article reports n = 197 participants with DNAm data available (128 caloric restriction, 69 ad libitum control).",-0.4,0.1403061224489796
39900648,"Individual and additive effects of vitamin D, omega-3 and exercise on DNA methylation clocks of biological aging in older adults from the DO-HEALTH trial.",2025,Nature Aging,39900648,PMC11922767,10.1038/s43587-024-00793-y,omega_3,epigenetic_biological_age,PhenoAge,36_months_itt_main_effect,cohens_d_standardized_change_difference,Lower age-acceleration favorable,,,,,,,,,,,,,,,,-0.3,-0.02,omega-3 main effect,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-024-00793-y,full_text_effect_size_and_ci_extracted,no,some_concern,yes,Main-effect estimate from the 2x2x2 factorial DO-HEALTH Bio-Age trial. The article reports n = 777 participants with DNAm measures at baseline and year 3.,-0.16,0.07142857142857142
39900648,"Individual and additive effects of vitamin D, omega-3 and exercise on DNA methylation clocks of biological aging in older adults from the DO-HEALTH trial.",2025,Nature Aging,39900648,PMC11922767,10.1038/s43587-024-00793-y,omega_3,epigenetic_biological_age,GrimAge2,36_months_itt_main_effect,cohens_d_standardized_change_difference,Lower age-acceleration favorable,,,,,,,,,,,,,,,,-0.59,-0.06,omega-3 main effect,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-024-00793-y,full_text_effect_size_and_ci_extracted,no,some_concern,yes,Main-effect estimate from the 2x2x2 factorial DO-HEALTH Bio-Age trial. The article reports n = 777 participants with DNAm measures at baseline and year 3.,-0.32,0.13520408163265307
39900648,"Individual and additive effects of vitamin D, omega-3 and exercise on DNA methylation clocks of biological aging in older adults from the DO-HEALTH trial.",2025,Nature Aging,39900648,PMC11922767,10.1038/s43587-024-00793-y,omega_3,epigenetic_biological_age,DunedinPACE,36_months_itt_main_effect,cohens_d_standardized_change_difference,Lower pace favorable,,,,,,,,,,,,,,,,-0.31,-0.04,omega-3 main effect,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-024-00793-y,full_text_effect_size_and_ci_extracted,no,some_concern,yes,Main-effect estimate from the 2x2x2 factorial DO-HEALTH Bio-Age trial. The article reports n = 777 participants with DNAm measures at baseline and year 3.,-0.17,0.06887755102040817
41717034_crossover_sensitivity,Epigenetic and microbiome responses to greens supplementation in obese older adults: results from a randomized crossover-controlled trial.,2026,Front Nutr,41717034,PMC12915338,10.3389/fnut.2026.1750030,microbiome,epigenetic_biological_age,Horvath,30_day_crossover_condition_change,mean_difference_condition_change_crossover_unpaired_sensitivity,Lower age-acceleration favorable,,,1.43,3.61,-2.07,4.22,,,,,,,,,,,,p = 0.015,manual_pmc_text_extraction,pmc_xml,data_processed/open_text_cache/PMC12915338.xml,exact_condition_level_means_extracted_paired_variance_missing,no,some_concern,no,Randomized crossover-controlled trial with exact condition-level mean changes and SDs reported in the main text. Rows are retained for sensitivity tracking only because the article does not report the paired within-person correlation or a model-based treatment effect standard error needed for defensible generic inverse-variance pooling.,3.5,
41717034_crossover_sensitivity,Epigenetic and microbiome responses to greens supplementation in obese older adults: results from a randomized crossover-controlled trial.,2026,Front Nutr,41717034,PMC12915338,10.3389/fnut.2026.1750030,microbiome,epigenetic_biological_age,PCGrimAge,30_day_crossover_condition_change,mean_difference_condition_change_crossover_unpaired_sensitivity,Lower age-acceleration favorable,,,-0.25,1.59,0.35,2.02,,,,,,,,,,,,not significant,manual_pmc_text_extraction,pmc_xml,data_processed/open_text_cache/PMC12915338.xml,exact_condition_level_means_extracted_paired_variance_missing,no,some_concern,no,Randomized crossover-controlled trial with exact condition-level mean changes and SDs reported in the main text. Rows are retained for sensitivity tracking only because the article does not report the paired within-person correlation or a model-based treatment effect standard error needed for defensible generic inverse-variance pooling.,-0.6,
41717034_crossover_sensitivity,Epigenetic and microbiome responses to greens supplementation in obese older adults: results from a randomized crossover-controlled trial.,2026,Front Nutr,41717034,PMC12915338,10.3389/fnut.2026.1750030,microbiome,epigenetic_biological_age,DamAge,30_day_crossover_condition_change,mean_difference_condition_change_crossover_unpaired_sensitivity,Lower damage-age favorable,,,-2.84,9.06,5.3,9.77,,,,,,,,,,,,p = 0.028,manual_pmc_text_extraction,pmc_xml,data_processed/open_text_cache/PMC12915338.xml,exact_condition_level_means_extracted_paired_variance_missing,no,some_concern,no,Randomized crossover-controlled trial with exact condition-level mean changes and SDs reported in the main text. Rows are retained for sensitivity tracking only because the article does not report the paired within-person correlation or a model-based treatment effect standard error needed for defensible generic inverse-variance pooling.,-8.14,
41717034_crossover_sensitivity,Epigenetic and microbiome responses to greens supplementation in obese older adults: results from a randomized crossover-controlled trial.,2026,Front Nutr,41717034,PMC12915338,10.3389/fnut.2026.1750030,microbiome,epigenetic_biological_age,AdaptAge,30_day_crossover_condition_change,mean_difference_condition_change_crossover_unpaired_sensitivity,Direction depends on clock coding; extracted as reported,,,3.7,9.1,-4.5,11.6,,,,,,,,,,,,not significant,manual_pmc_text_extraction,pmc_xml,data_processed/open_text_cache/PMC12915338.xml,exact_condition_level_means_extracted_paired_variance_missing,no,some_concern,no,Randomized crossover-controlled trial with exact condition-level mean changes and SDs reported in the main text. Rows are retained for sensitivity tracking only because the article does not report the paired within-person correlation or a model-based treatment effect standard error needed for defensible generic inverse-variance pooling.,8.2,
41677077_phenoage_rea_sensitivity,A Multidomain Lifestyle Intervention Is Associated With Improved Functional Trajectories and Favorable Changes in Epigenetic Aging Markers in Frail Older Adults: A Randomized Controlled Trial.,2026,Aging Cell,41677077,PMC12895478,10.1111/acel.70376,lifestyle_bundle,epigenetic_biological_age,DNAm PhenoAge rate of epigenetic aging,6_months_between_group_rea_difference,mean_difference_change_se_from_reported_p_sensitivity,Lower pace favorable,16,7,,,,,,,,,,,,,,-19.12318458808147,-1.0768154119185276,0.03,manual_pmc_xml_text_extraction,pmc_xml,data_processed/open_text_cache/PMC12895478.xml,between_group_rea_difference_extracted_sample_size_approximated,no,some_concern,no,"The main text reports DNAm PhenoAge REA means of +8.4 in controls and -1.7 in the intervention group at 6 months, with p = 0.03 for the between-group comparison. The supplementary caption reports methylomic sample sizes of n_control = 6-7 and n_intervention = 16 across clocks; this sensitivity row uses n_control = 7 for DNAm PhenoAge. Standard error and confidence interval were approximated from the reported two-sided unpaired t-test p-value and this assumed control-group sample size. This row is retained for sensitivity tracking only.",-10.1,4.338875032476575
40791720_semaglutide_preprint,Semaglutide Slows Epigenetic Aging in People with HIV-associated lipohypertrophy: Evidence from a Randomized Controlled Trial.,2025,medRxiv,40791720,PMC12338914,10.1101/2025.07.09.25331038,semaglutide,epigenetic_biological_age,PCGrimAge,32_weeks_adjusted_ancova,mean_difference_change,Lower age-acceleration favorable,45,39,,,,,,,,,,,,,,-5.29,-0.86,0.007,manual_pmc_preprint_html_extraction,pmc_html_preprint,https://pmc.ncbi.nlm.nih.gov/articles/PMC12338914/,exact_adjusted_effect_and_ci_extracted_preprint,no,some_concern,no,Post-hoc epigenetic analysis of a 32-week double-blind placebo-controlled semaglutide trial in adults with HIV-associated lipohypertrophy. Adjusted ANCOVA estimates and 95% CIs were extracted from the PMC-hosted preprint HTML. Rows are retained outside the primary pooled set because the source is preprint-only.,-3.08,1.1301020408163265
40791720_semaglutide_preprint,Semaglutide Slows Epigenetic Aging in People with HIV-associated lipohypertrophy: Evidence from a Randomized Controlled Trial.,2025,medRxiv,40791720,PMC12338914,10.1101/2025.07.09.25331038,semaglutide,epigenetic_biological_age,DunedinPACE,32_weeks_adjusted_ancova,mean_difference_change,Lower pace favorable,45,39,,,,,,,,,,,,,,-0.17,-0.02,0.01,manual_pmc_preprint_html_extraction,pmc_html_preprint,https://pmc.ncbi.nlm.nih.gov/articles/PMC12338914/,exact_adjusted_effect_and_ci_extracted_preprint,no,some_concern,no,Post-hoc epigenetic analysis of a 32-week double-blind placebo-controlled semaglutide trial in adults with HIV-associated lipohypertrophy. Adjusted ANCOVA estimates and 95% CIs were extracted from the PMC-hosted preprint HTML. Rows are retained outside the primary pooled set because the source is preprint-only.,-0.09,0.03826530612244899
40791720_semaglutide_preprint,Semaglutide Slows Epigenetic Aging in People with HIV-associated lipohypertrophy: Evidence from a Randomized Controlled Trial.,2025,medRxiv,40791720,PMC12338914,10.1101/2025.07.09.25331038,semaglutide,epigenetic_biological_age,RetroClock,32_weeks_adjusted_ancova,mean_difference_change,Lower age-acceleration favorable,45,39,,,,,,,,,,,,,,-4.14,-0.21,0.030,manual_pmc_preprint_html_extraction,pmc_html_preprint,https://pmc.ncbi.nlm.nih.gov/articles/PMC12338914/,exact_adjusted_effect_and_ci_extracted_preprint,no,some_concern,no,Post-hoc epigenetic analysis of a 32-week double-blind placebo-controlled semaglutide trial in adults with HIV-associated lipohypertrophy. Adjusted ANCOVA estimates and 95% CIs were extracted from the PMC-hosted preprint HTML. Rows are retained outside the primary pooled set because the source is preprint-only.,-2.18,1.0025510204081631
40791720_semaglutide_preprint,Semaglutide Slows Epigenetic Aging in People with HIV-associated lipohypertrophy: Evidence from a Randomized Controlled Trial.,2025,medRxiv,40791720,PMC12338914,10.1101/2025.07.09.25331038,semaglutide,epigenetic_biological_age,GrimAge V1,32_weeks_adjusted_ancova,mean_difference_change,Lower age-acceleration favorable,45,39,,,,,,,,,,,,,,-2.72,-0.05,0.042,manual_pmc_preprint_html_extraction,pmc_html_preprint,https://pmc.ncbi.nlm.nih.gov/articles/PMC12338914/,exact_adjusted_effect_and_ci_extracted_preprint,no,some_concern,no,Post-hoc epigenetic analysis of a 32-week double-blind placebo-controlled semaglutide trial in adults with HIV-associated lipohypertrophy. Adjusted ANCOVA estimates and 95% CIs were extracted from the PMC-hosted preprint HTML. Rows are retained outside the primary pooled set because the source is preprint-only.,-1.39,0.681122448979592
40791720_semaglutide_preprint,Semaglutide Slows Epigenetic Aging in People with HIV-associated lipohypertrophy: Evidence from a Randomized Controlled Trial.,2025,medRxiv,40791720,PMC12338914,10.1101/2025.07.09.25331038,semaglutide,epigenetic_biological_age,GrimAge V2,32_weeks_adjusted_ancova,mean_difference_change,Lower age-acceleration favorable,45,39,,,,,,,,,,,,,,-3.94,-0.59,0.008,manual_pmc_preprint_html_extraction,pmc_html_preprint,https://pmc.ncbi.nlm.nih.gov/articles/PMC12338914/,exact_adjusted_effect_and_ci_extracted_preprint,no,some_concern,no,Post-hoc epigenetic analysis of a 32-week double-blind placebo-controlled semaglutide trial in adults with HIV-associated lipohypertrophy. Adjusted ANCOVA estimates and 95% CIs were extracted from the PMC-hosted preprint HTML. Rows are retained outside the primary pooled set because the source is preprint-only.,-2.26,0.854591836734694
40791720_semaglutide_preprint,Semaglutide Slows Epigenetic Aging in People with HIV-associated lipohypertrophy: Evidence from a Randomized Controlled Trial.,2025,medRxiv,40791720,PMC12338914,10.1101/2025.07.09.25331038,semaglutide,epigenetic_biological_age,AdaptAge,32_weeks_adjusted_ancova,mean_difference_change,Direction depends on clock coding; extracted as reported,45,39,,,,,,,,,,,,,,-2.2,9.18,0.23,manual_pmc_preprint_html_extraction,pmc_html_preprint,https://pmc.ncbi.nlm.nih.gov/articles/PMC12338914/,exact_adjusted_effect_and_ci_extracted_preprint,no,some_concern,no,Post-hoc epigenetic analysis of a 32-week double-blind placebo-controlled semaglutide trial in adults with HIV-associated lipohypertrophy. Adjusted ANCOVA estimates and 95% CIs were extracted from the PMC-hosted preprint HTML. Rows are retained outside the primary pooled set because the source is preprint-only.,3.49,2.9030612244897958
40791720_semaglutide_preprint,Semaglutide Slows Epigenetic Aging in People with HIV-associated lipohypertrophy: Evidence from a Randomized Controlled Trial.,2025,medRxiv,40791720,PMC12338914,10.1101/2025.07.09.25331038,semaglutide,epigenetic_biological_age,CausAge,32_weeks_adjusted_ancova,mean_difference_change,Direction depends on clock coding; extracted as reported,45,39,,,,,,,,,,,,,,-2.4,3.32,0.75,manual_pmc_preprint_html_extraction,pmc_html_preprint,https://pmc.ncbi.nlm.nih.gov/articles/PMC12338914/,exact_adjusted_effect_and_ci_extracted_preprint,no,some_concern,no,Post-hoc epigenetic analysis of a 32-week double-blind placebo-controlled semaglutide trial in adults with HIV-associated lipohypertrophy. Adjusted ANCOVA estimates and 95% CIs were extracted from the PMC-hosted preprint HTML. Rows are retained outside the primary pooled set because the source is preprint-only.,0.46,1.4591836734693877
40791720_semaglutide_preprint,Semaglutide Slows Epigenetic Aging in People with HIV-associated lipohypertrophy: Evidence from a Randomized Controlled Trial.,2025,medRxiv,40791720,PMC12338914,10.1101/2025.07.09.25331038,semaglutide,epigenetic_biological_age,DamAge,32_weeks_adjusted_ancova,mean_difference_change,Lower damage-age favorable,45,39,,,,,,,,,,,,,,-7.09,2.65,0.37,manual_pmc_preprint_html_extraction,pmc_html_preprint,https://pmc.ncbi.nlm.nih.gov/articles/PMC12338914/,exact_adjusted_effect_and_ci_extracted_preprint,no,some_concern,no,Post-hoc epigenetic analysis of a 32-week double-blind placebo-controlled semaglutide trial in adults with HIV-associated lipohypertrophy. Adjusted ANCOVA estimates and 95% CIs were extracted from the PMC-hosted preprint HTML. Rows are retained outside the primary pooled set because the source is preprint-only.,-2.22,2.4846938775510203
33844651_horvath_sensitivity,Potential reversal of epigenetic age using a diet and lifestyle intervention: a pilot randomized clinical trial.,2021,Aging (Albany NY),33844651,PMC8064200,10.18632/aging.202913,lifestyle_bundle,epigenetic_biological_age,Horvath DNAmAge,8_weeks_between_group_change,mean_difference_change_se_from_reported_p_sensitivity,Lower age-acceleration favorable,21,22,,,,,,,,,,,,,,-5.87680421818714,-0.5831957818128597,0.018,manual_pmc_text_extraction,pmc_html,https://pmc.ncbi.nlm.nih.gov/articles/PMC8064200/,between_group_change_extracted_no_uncertainty,no,some_concern,no,"Randomized pilot trial in healthy adult males. The PMC full text reports a 3.23-year decrease in Horvath DNAmAge compared with controls and a treatment-group within-person decrease of 1.96 years. Standard error and confidence interval were approximated from the reported two-sided unpaired t-test p-value and group sizes (21 treatment, 22 control). This row is retained for sensitivity tracking only.",-3.23,1.310596941050755
