study_id,title,year,journal,pmid,pmcid,doi,intervention_name,study_design,ageing_domain_category,outcome_exact,endpoint_family,source_type,source_locator,source_cached_locally,verification_status,effect_size_extraction_status,candidate_effect_size_text,extractor_method,needs_figure_digitization
41766355.0,"Caloric restriction and time-restricted eating in older adults with overweight or obesity: The Health, Aging, and Later-Life Outcomes Pilot Study.",2026.0,J Gerontol A Biol Sci Med Sci,41766355.0,PMC13049596,10.1093/gerona/glag061,caloric_restriction,RCT_or_clinical_trial,surrogate_or_indirect,,other,pmc_xml,data_processed/open_text_cache/PMC13049596.xml,yes,open_full_text_verified,candidate_numeric_effect_text_extracted,s) adults with obesity or overweight to one of three 9-month interventions: (1) 20% CR delivered in-person; (2) 20% CR delivered remotely (RCR); and (3) 8-hour TRE || ight to one of three 9-month interventions: (1) 20% CR delivered in-person; (2) 20% CR delivered remotely (RCR); and (3) 8-hour TRE with ad libitum caloric intake. || tabolic risk factors were examined. Results Participants had a mean (SD) age of 67.2 (4.9) years and BMI of 31.7 (2.9) kg/m 2 ; 62% were female and 83% White. Parti || c risk factors were examined. Results Participants had a mean (SD) age of 67.2 (4.9) years and BMI of 31.7 (2.9) kg/m 2 ; 62% were female and 83% White. Participan || amined. Results Participants had a mean (SD) age of 67.2 (4.9) years and BMI of 31.7 (2.9) kg/m 2 ; 62% were female and 83% White. Participant retention was 92%. Th || . Results Participants had a mean (SD) age of 67.2 (4.9) years and BMI of 31.7 (2.9) kg/m 2 ; 62% were female and 83% White. Participant retention was 92%. The mea || icipants had a mean (SD) age of 67.2 (4.9) years and BMI of 31.7 (2.9) kg/m 2 ; 62% were female and 83% White. Participant retention was 92%. The mean (SD) percent || (SD) age of 67.2 (4.9) years and BMI of 31.7 (2.9) kg/m 2 ; 62% were female and 83% White. Participant retention was 92%. The mean (SD) percent CR was 4.5% (11.0),pmc_xml_table_text_parse,no
41677077.0,A Multidomain Lifestyle Intervention Is Associated With Improved Functional Trajectories and Favorable Changes in Epigenetic Aging Markers in Frail Older Adults: A Randomized Controlled Trial.,2026.0,Aging Cell,41677077.0,PMC12895478,10.1111/acel.70376,lifestyle_bundle,RCT_or_clinical_trial,surrogate_or_indirect,,epigenetic_biological_age,pmc_xml,data_processed/open_text_cache/PMC12895478.xml,yes,open_full_text_verified,candidate_numeric_effect_text_extracted,"2, we recruited 47 frail, community‐dwelling individuals in Spain. Mean age was 80.2 years (SD 3.1) in the control group (CG; n = 19) and 80.5 years (4.3) in the in || 47 frail, community‐dwelling individuals in Spain. Mean age was 80.2 years (SD 3.1) in the control group (CG; n = 19) and 80.5 years (4.3) in the intervention gro || n Spain. Mean age was 80.2 years (SD 3.1) in the control group (CG; n = 19) and 80.5 years (4.3) in the intervention group (IG; n = 28). Compared with the CG, a sig || n age was 80.2 years (SD 3.1) in the control group (CG; n = 19) and 80.5 years (4.3) in the intervention group (IG; n = 28). Compared with the CG, a significant re || reduction in frailty, assessed by the SHARE‐FI score, was observed in the IG ( p < 0.0001). The IG also showed improved grip strength ( p = 0.0053), gait speed ( p = 0.0 || s observed in the IG ( p < 0.0001). The IG also showed improved grip strength ( p = 0.0053), gait speed ( p = 0.0125), the Tinetti score ( p = 0.0031), and Barthel Index || 0.0001). The IG also showed improved grip strength ( p = 0.0053), gait speed ( p = 0.0125), the Tinetti score ( p = 0.0031), and Barthel Index ( p = 0.0484). The interve || oved grip strength ( p = 0.0053), gait speed ( p = 0.0125), the Tinetti score ( p = 0.0031), and Barthel Index ( p = 0.0484). The intervention was also associated with st",pmc_xml_table_text_parse,no
41835341.0,A phase II randomized placebo-controlled study of fisetin to improve physical function in breast cancer survivors: the TROFFi study rationale and trial design.,2026.0,Ther Adv Med Oncol,41835341.0,PMC12979913,10.1177/17588359261424668,senolytics,RCT_or_clinical_trial,surrogate_or_indirect,,other,pmc_xml,data_processed/open_text_cache/PMC12979913.xml,yes,open_full_text_verified,candidate_numeric_effect_text_extracted,"e blood cell count > 2000/mm 3 Absolute neutrophil count > 500/mm 3 Hemoglobin ⩾8.0 g/dL Total bilirubin ⩽ 3.0 X ULN AST ⩽ 4.0 × ULN ALT ⩽ 4.0 × ULN eGFR of ⩾ 30 m || m 3 Absolute neutrophil count > 500/mm 3 Hemoglobin ⩾8.0 g/dL Total bilirubin ⩽ 3.0 X ULN AST ⩽ 4.0 × ULN ALT ⩽ 4.0 × ULN eGFR of ⩾ 30 mL/min/1.73 m² Informed cons || trophil count > 500/mm 3 Hemoglobin ⩾8.0 g/dL Total bilirubin ⩽ 3.0 X ULN AST ⩽ 4.0 × ULN ALT ⩽ 4.0 × ULN eGFR of ⩾ 30 mL/min/1.73 m² Informed consent Ability to u || 500/mm 3 Hemoglobin ⩾8.0 g/dL Total bilirubin ⩽ 3.0 X ULN AST ⩽ 4.0 × ULN ALT ⩽ 4.0 × ULN eGFR of ⩾ 30 mL/min/1.73 m² Informed consent Ability to understand and th || Total bilirubin ⩽ 3.0 X ULN AST ⩽ 4.0 × ULN ALT ⩽ 4.0 × ULN eGFR of ⩾ 30 mL/min/1.73 m² Informed consent Ability to understand and the willingness to sign a written || ange efficacy or have additional pharmacokinetic implications, as they will be <5% of the total administered dose. For example, a participant weighing 64 kg will || study using the Common Terminology Criteria for Adverse Events (CTCAE) version 5.0 50 as well as patient-reported outcome CTCAE (PRO-CTCAE). 51 Adverse events wil || COH), and HR status (HR positive vs HR negative), and assuming a correlation of 0.4 between 6MWD at baseline and EOT, and 10% attrition by EOT, we will have 80% po",pmc_xml_table_text_parse,no
41663978.0,Viability of an educational program for lifestyle changes and an algorithm for the derivation of exercise programs in older people at risk of dependency at primary care: PRICA-POWFRAIL study protocol.,2026.0,BMC Geriatr,41663978.0,PMC12990574,10.1186/s12877-025-06902-9,exercise,RCT_or_clinical_trial,surrogate_or_indirect,,other,pmc_xml,data_processed/open_text_cache/PMC12990574.xml,yes,open_full_text_verified,candidate_numeric_effect_text_extracted,"ary Information The online version contains supplementary material available at 10.1186/s12877-025-06902-9. Background In the last decades we are witnessing the demogr || in, where the proportion of individuals aged 60 and above is projected to reach 35% of the total population by 2040 [ 1 , 2 ]. This ageing trend is associated with || at less 8 valid hours/day of registration [ 43 ]. The ActiLife Software version 6.13.3 will be used to manage the data. Intrinsic capacity The assessment of intrins || airment. Blood extraction Fasting blood samples will be collected, divided into 0.5 ml aliquots, and stored at -80 °C. Genomic DNA isolation and ACNT3 genotyping w || e identified after conducting the STS muscle power test. Of those identified (< 1.7 W·Kg − 1 in women and < 2.2 W·Kg − 1 in men), the proposed algorithm helps to d || g the STS muscle power test. Of those identified (< 1.7 W·Kg − 1 in women and < 2.2 W·Kg − 1 in men), the proposed algorithm helps to determine whether it is relat || d in older subjects at risk for low leg SMI according to BMI values (men: BMI < 27.9 Kg·m − 2 ; women: BMI < 28.5 Kg·m − 2 ). Concurrent exercise programs will have || or low leg SMI according to BMI values (men: BMI < 27.9 Kg·m − 2 ; women: BMI < 28.5 Kg·m − 2 ). Concurrent exercise programs will have a preponderant component, mu",pmc_xml_table_text_parse,no
41717034.0,Epigenetic and microbiome responses to greens supplementation in obese older adults: results from a randomized crossover-controlled trial.,2026.0,Front Nutr,41717034.0,PMC12915338,10.3389/fnut.2026.1750030,microbiome,RCT_or_clinical_trial,surrogate_or_indirect,,epigenetic_biological_age,pmc_xml,data_processed/open_text_cache/PMC12915338.xml,yes,open_full_text_verified,candidate_numeric_effect_text_extracted,"xiety, and Stress Scale (DASS-21)]. Twenty-one participants began the protocol (65% female, mean age 58.4 ± 5.3 years, mean BMI 38.1 ± 8 kg/m 2 ). Nineteen partici || le (DASS-21)]. Twenty-one participants began the protocol (65% female, mean age 58.4 ± 5.3 years, mean BMI 38.1 ± 8 kg/m 2 ). Nineteen participants completed the st || S-21)]. Twenty-one participants began the protocol (65% female, mean age 58.4 ± 5.3 years, mean BMI 38.1 ± 8 kg/m 2 ). Nineteen participants completed the study. H || articipants began the protocol (65% female, mean age 58.4 ± 5.3 years, mean BMI 38.1 ± 8 kg/m 2 ). Nineteen participants completed the study. Horvath clock data ind || obiome alpha diversity remained stable; taxa of interest, including Bilophila ( p = 0.037) and Desulfobacterota ( p = 0.031) changed with supplementation. Body compositi || able; taxa of interest, including Bilophila ( p = 0.037) and Desulfobacterota ( p = 0.031) changed with supplementation. Body composition, metabolic biomarkers, dietary || nship between Faith's phylogenetic diversity and fasting blood glucose ( r s = −0.81, p < 0.001). In summary, 30 days of greens-based supplementation led to selecti || between Faith's phylogenetic diversity and fasting blood glucose ( r s = −0.81, p < 0.001). In summary, 30 days of greens-based supplementation led to selective changes",pmc_xml_table_text_parse,no
39951177.0,"Test of Rapamycin in Aging Dogs (TRIAD): study design and rationale for a prospective, parallel-group, double-masked, randomized, placebo-controlled, multicenter trial of rapamycin in healthy middle-aged dogs from the Dog Aging Project.",2025.0,GeroScience,39951177.0,,,rapamycin_mtor,RCT_or_clinical_trial,surrogate_or_indirect,,other,publisher_html,https://pubmed.ncbi.nlm.nih.gov/39951177/,no,abstract_verified_full_text_pending,no_candidate_effect_text_found,,manual_full_text_extraction,no
10.1136_jnnp-2024-ehdn.333,J012 NAD-HD: a randomized clinical trial of nicotinamide riboside in Huntington’s disease,2024.0,J: Clinical therapeutics,,,10.1136/jnnp-2024-ehdn.333,nad_sirtuin,RCT_or_clinical_trial,surrogate_or_indirect,,other,publisher_html,https://doi.org/10.1136/jnnp-2024-ehdn.333,no,not_verified_source_unavailable,not_extracted_no_source_text,,manual_full_text_extraction,no
39771028.0,"Obesity and Metabolic Disease Impair the Anabolic Response to Protein Supplementation and Resistance Exercise: A Retrospective Analysis of a Randomized Clinical Trial with Implications for Aging, Sarcopenic Obesity, and Weight Management.",2024.0,Nutrients,39771028.0,,,exercise,RCT_or_clinical_trial,surrogate_or_indirect,,other,publisher_html,https://pubmed.ncbi.nlm.nih.gov/39771028/,no,abstract_verified_full_text_pending,candidate_numeric_effect_text_extracted,"tely strong, negative correlations to the adaptive response to polytherapy r = -0.36 to -0.68 ( p < 0.05). Kidney function, PA level, and chronological age were onl || ng, negative correlations to the adaptive response to polytherapy r = -0.36 to -0.68 ( p < 0.05). Kidney function, PA level, and chronological age were only weakly || ative correlations to the adaptive response to polytherapy r = -0.36 to -0.68 ( p < 0.05). Kidney function, PA level, and chronological age were only weakly associated || el, and chronological age were only weakly associated with treatment outcomes ( p > 0.05). Next, we performed a subgroup analysis in overweight/obese participants with || , and fish oil, n = 12). The M5 group showed greater improvements in LM (ASM; +2% vs. -0.8%), LM/body fat ratios (ASM/FM; +3.8% vs. -5.1%), allometric LM (ASM/BM || ish oil, n = 12). The M5 group showed greater improvements in LM (ASM; +2% vs. -0.8%), LM/body fat ratios (ASM/FM; +3.8% vs. -5.1%), allometric LM (ASM/BMI; +1.2% v || d greater improvements in LM (ASM; +2% vs. -0.8%), LM/body fat ratios (ASM/FM; +3.8% vs. -5.1%), allometric LM (ASM/BMI; +1.2% vs. -2.5%), strength (leg press; +17% || improvements in LM (ASM; +2% vs. -0.8%), LM/body fat ratios (ASM/FM; +3.8% vs. -5.1%), allometric LM (ASM/BMI; +1.2% vs. -2.5%), strength (leg press; +17% vs. -1.4%",manual_full_text_extraction,no
10.1123_japa.2023-0257,Erratum. Effects of Dancing Associated With Resistance Training on Functional Parameters and Quality of Life of Aging Women: A Randomized Controlled Trial,2023.0,Journal of Aging and Physical Activity,,,10.1123/japa.2023-0257,exercise,RCT_or_clinical_trial,surrogate_or_indirect,,other,publisher_html,https://doi.org/10.1123/japa.2023-0257,no,not_verified_source_unavailable,not_extracted_no_source_text,,manual_full_text_extraction,no
36482258.0,"The efficacy and safety of β-nicotinamide mononucleotide (NMN) supplementation in healthy middle-aged adults: a randomized, multicenter, double-blind, placebo-controlled, parallel-group, dose-dependent clinical trial.",2023.0,GeroScience,36482258.0,,,nad_sirtuin,RCT_or_clinical_trial,surrogate_or_indirect,,other,publisher_html,https://pubmed.ncbi.nlm.nih.gov/36482258/,no,abstract_verified_full_text_pending,candidate_numeric_effect_text_extracted,"In animal studies, β-nicotinamide mononucleotide (NMN) supplementation increases nicotinamide adenin || physical performance (six-minute walking test), blood biological age (Aging.Ai 3.0 calculator), Homeostatic Model Assessment for Insulin Resistance (HOMA-IR), and || sis was performed using the Per Protocol analysis with significant level set at p = 0.05. All 80 participants completed the trial without trial protocol violation. Bloo || groups at day 30 and day 60 when compared to both placebo and baseline (all p ≤ 0.001). Blood NAD concentrations were highest in the groups taking 600 mg and 900 mg || 0 mg, 600 mg, and 900 mg groups compared to placebo at both days 30 and 60 (all p < 0.01), with longest walking distances measured in the 600 mg and 900 mg groups. The || esulted in a significant difference between the treated groups and placebo (all p < 0.05). The HOMA-IR showed no statistically significant differences for all NMN-treat || y better health of all three treated groups when compared to the placebo group (p < 0.05), except for the SF-36 score change in the 300 mg group at day 30. NMN suppleme",manual_full_text_extraction,yes
37118425.0,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,2023.0,Nature aging,37118425.0,,,caloric_restriction,RCT_or_clinical_trial,surrogate_or_indirect,,other,publisher_html,https://pubmed.ncbi.nlm.nih.gov/37118425/,no,abstract_verified_full_text_pending,candidate_numeric_effect_text_extracted,"zed controlled trial in which n = 220 adults without obesity were randomized to 25% CR or ad libitum control diet for 2 yr (ref. 10 ). We found that CALERIE interv || mates measured by various DNAm clocks including PhenoAge and GrimAge. Treatment effect sizes were small. Nevertheless, modest slowing of the pace of aging can have profoun",manual_full_text_extraction,no
34535961.0,DNA methylation-based biomarkers of aging were slowed down in a two-year diet and physical activity intervention trial: the DAMA study.,2021.0,Aging cell,34535961.0,,,exercise,RCT_or_clinical_trial,surrogate_or_indirect,,other,publisher_html,https://pubmed.ncbi.nlm.nih.gov/34535961/,no,abstract_verified_full_text_pending,no_candidate_effect_text_found,,manual_full_text_extraction,no
30762623.0,The Additive Effects of Creatine Supplementation and Exercise Training in an Aging Population: A Systematic Review of Randomized Controlled Trials.,2020.0,Journal of geriatric physical therapy (2001),30762623.0,,,exercise,RCT_or_clinical_trial,surrogate_or_indirect,,other,publisher_html,https://pubmed.ncbi.nlm.nih.gov/30762623/,no,abstract_verified_full_text_pending,no_candidate_effect_text_found,,manual_full_text_extraction,no
31208471.0,Effect of a multicomponent exercise programme (VIVIFRAIL) on functional capacity in frail community elders with cognitive decline: study protocol for a randomized multicentre control trial.,2019.0,Trials,31208471.0,,,exercise,RCT_or_clinical_trial,surrogate_or_indirect,,cognition,publisher_html,https://pubmed.ncbi.nlm.nih.gov/31208471/,no,abstract_verified_full_text_pending,no_candidate_effect_text_found,,table_first_then_figure_digitization_if_needed,no
41854192.0,Effects of Diactive-1-Supported Progressive Resistance Training on Body Composition in Youth With Type 1 Diabetes.,2026.0,J Cachexia Sarcopenia Muscle,41854192.0,,10.1002/jcsm.70257,exercise,RCT_or_clinical_trial,surrogate_or_indirect,,other,doi_landing_page,https://doi.org/10.1002/jcsm.70257,no,abstract_verified_full_text_pending,candidate_numeric_effect_text_extracted,"e 1 diabetes. Sixty-two participants with type 1 diabetes (aged 8-18 years old; 48% females) participated in a 24-week randomised controlled trial and were assigne || in the ITT analysis, the intervention group showed greater gains in lean mass (mean difference [MD] = 0.88 kg; 95% confidence interval [CI] 0.09 to 1.66; Hedges' g = 0.568) a || he intervention group showed greater gains in lean mass (mean difference [MD] = 0.88 kg; 95% confidence interval [CI] 0.09 to 1.66; Hedges' g = 0.568) and whole-bod || ention group showed greater gains in lean mass (mean difference [MD] = 0.88 kg; 95% confidence interval [CI] 0.09 to 1.66; Hedges' g = 0.568) and whole-body bone m || on group showed greater gains in lean mass (mean difference [MD] = 0.88 kg; 95% confidence interval [CI] 0.09 to 1.66; Hedges' g = 0.568) and whole-body bone mineral content less || ains in lean mass (mean difference [MD] = 0.88 kg; 95% confidence interval [CI] 0.09 to 1.66; Hedges' g = 0.568) and whole-body bone mineral content less head (MD = || lean mass (mean difference [MD] = 0.88 kg; 95% confidence interval [CI] 0.09 to 1.66; Hedges' g = 0.568) and whole-body bone mineral content less head (MD = 32.40 g || fference [MD] = 0.88 kg; 95% confidence interval [CI] 0.09 to 1.66; Hedges' g = 0.568) and whole-body bone mineral content less head (MD = 32.40 g; 95% CI 6.90 to 57",manual_full_text_extraction,no
