dedup_key,n_records,title,doi,pmid
doi:10.1111/acel.70430,2,DNA Methylation Signatures of Cellular Senescence Are Not Reversed by Senolytic Treatment.,10.1111/acel.70430,41746138.0
doi:10.1186/s12979-025-00549-1,2,"""Immunopause"" no more: exercise to counter immunosenescence in aging.",10.1186/s12979-025-00549-1,41275232.0
doi:10.14336/ad.2025.0438,2,Decoding Aging through iPSC Reprogramming: Advances and Challenges.,10.14336/ad.2025.0438,40354373.0
doi:10.1515/mr-2025-0047,3,Interplay between aging and metabolic diseases: from molecular mechanisms to therapeutic horizons.,10.1515/mr-2025-0047,41477061.0
doi:10.2147/dddt.s594895,3,"SRN-901, a Novel Longevity Drug, Extends Lifespan and Healthspan by Targeting Multiple Aging Pathways.",10.2147/dddt.s594895,42011226.0
doi:10.3389/fendo.2025.1734527,2,Editorial: The crosstalk between metabolism and inflammation in aging and longevity.,10.3389/fendo.2025.1734527,41473235.0
doi:10.3389/fgene.2026.1771707,3,Molecular mechanisms underlying the lifespan and healthspan benefits of dietary restriction across species.,10.3389/fgene.2026.1771707,41695773.0
doi:10.3389/fragi.2025.1628187,2,"Rapamycin for longevity: the pros, the cons, and future perspectives.",10.3389/fragi.2025.1628187,40620657.0
doi:10.3389/fragi.2025.1674112,3,Toward precision longevity: aging interventions in the single-cell atlas era.,10.3389/fragi.2025.1674112,41425850.0
doi:10.3390/cells14161249,2,A Biophysics of Epigenetic Rejuvenation.,10.3390/cells14161249,40862728.0
doi:10.3390/cells14161278,2,Cellular Models of Aging and Senescence.,10.3390/cells14161278,40862757.0
doi:10.3390/ijms26199372,3,Rewinding the Clock: Emerging Pharmacological Strategies for Human Anti-Aging Therapy.,10.3390/ijms26199372,41096641.0
doi:10.3390/jal4040021,2,Momordica charantia Extract Treatment Extends the Healthy Lifespan of Aging Mice via the Bitter Taste Receptor/mTOR Pathway,10.3390/jal4040021,
doi:10.3390/molecules30244728,5,From Elixirs to Geroscience: A Historical and Molecular Perspective on Anti-Aging Medicine.,10.3390/molecules30244728,41471752.0
doi:10.3390/nu18030528,5,From Lifespan to Healthspan: Integrating Nutrition and Physical Activity in Healthy Ageing.,10.3390/nu18030528,41683350.0
doi:10.3390/pharmaceutics17121585,4,A State-of-the-Art Overview on (Epi)Genomics and Personalized Skin Rejuvenating Strategies.,10.3390/pharmaceutics17121585,41471101.0
doi:10.5114/biolsport.2026.156224,3,Aging reimagined: Bridging clinical modulation and scientific breakthroughs.,10.5114/biolsport.2026.156224,41994361.0
doi:10.5937/jomb0-60849,2,Molecular mechanisms of metformin action: From metabolic effects to lifespan extension and healthspan promotion.,10.5937/jomb0-60849,41821769.0
doi:10.7759/cureus.92666,2,Advances in Anti-aging Procedures: A Comprehensive Review of Surgical and Non-surgical Rejuvenation Techniques.,10.7759/cureus.92666,41116919.0
doi:10.7759/cureus.98514,2,The Mechanistic Target of Rapamycin (mTOR) Pathway as a Target of Anti-aging Therapies: The Role of Rapamycin and Its Analogs in the Regulation of Cellular Processes and Their Impact on Longevity.,10.7759/cureus.98514,41497909.0
pmid:19587680.0,2,Rapamycin fed late in life extends lifespan in genetically heterogeneous mice.,,19587680.0
pmid:23540700.0,2,Metformin retards aging in C. elegans by altering microbial folate and methionine metabolism.,,23540700.0
pmid:23900241.0,2,Metformin improves healthspan and lifespan in mice.,,23900241.0
pmid:25045704.0,2,We are ageing.,,25045704.0
pmid:30513346.0,2,Reversibility of irreversible aging.,,30513346.0
pmid:31332389.0,2,Healthspan and lifespan extension by fecal microbiota transplantation into progeroid mice.,,31332389.0
pmid:31631676.0,2,Nutrition and longevity - From mechanisms to uncertainties.,,31631676.0
pmid:32020082.0,4,The ageing epigenome and its rejuvenation.,,32020082.0
pmid:33197235.0,2,Circulating plasma factors involved in rejuvenation.,,33197235.0
pmid:33502634.0,2,Aging and age-related diseases: from mechanisms to therapeutic strategies.,,33502634.0
pmid:34381212.0,3,Aged skeletal stem cells generate an inflammatory degenerative niche.,,34381212.0
pmid:34518687.0,2,Molecular mechanisms of dietary restriction promoting health and longevity.,,34518687.0
pmid:34725754.0,3,A toolkit for quantification of biological age from blood chemistry and organ function test data: BioAge.,,34725754.0
pmid:34972247.0,2,Emerging rejuvenation strategies-Reducing the biological age.,,34972247.0
pmid:35236985.0,2,Molecular hallmarks of heterochronic parabiosis at single-cell resolution.,,35236985.0
pmid:35487190.0,2,"Nutrition, longevity and disease: From molecular mechanisms to interventions.",,35487190.0
pmid:35613617.0,2,Heterochronic parabiosis induces stem cell revitalization and systemic rejuvenation across aged tissues.,,35613617.0
pmid:37046086.0,2,Ageing-associated changes in transcriptional elongation influence longevity.,,37046086.0
pmid:37118510.0,4,Cell-type-specific aging clocks to quantify aging and rejuvenation in neurogenic regions of the brain.,,37118510.0
pmid:37191826.0,2,Evaluation of off-label rapamycin use to promote healthspan in 333 adults.,,37191826.0
pmid:37437248.0,2,Chemically induced reprogramming to reverse cellular aging.,,37437248.0
pmid:37500973.0,2,Multi-omic rejuvenation and life span extension on exposure to youthful circulation.,,37500973.0
pmid:37516104.0,2,Determining a multimodal aging clock in a cohort of Chinese women.,,37516104.0
pmid:37832549.0,2,Genome-wide CRISPR activation screening in senescent cells reveals SOX5 as a driver and therapeutic target of rejuvenation.,,37832549.0
pmid:38355974.0,2,Validation of biomarkers of aging.,,38355974.0
pmid:38381405.0,3,Gene Therapy-Mediated Partial Reprogramming Extends Lifespan and Reverses Age-Related Changes in Aged Mice.,,38381405.0
pmid:38538791.0,2,Depleting myeloid-biased haematopoietic stem cells rejuvenates aged immunity.,,38538791.0
pmid:39117797.0,2,Spermidine is essential for fasting-mediated autophagy and longevity.,,39117797.0
pmid:39212197.0,2,A surge in endogenous spermidine is essential for rapamycin-induced autophagy and longevity.,,39212197.0
pmid:39385029.0,2,Dietary restriction impacts health and lifespan of genetically diverse mice.,,39385029.0
pmid:39488864.0,2,Exploring the effect of different diet types on ageing and age-related diseases.,,39488864.0
pmid:39695234.0,2,Spatial transcriptomic clocks reveal cell proximity effects in brain ageing.,,39695234.0
pmid:39695235.0,3,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,39695235.0
pmid:39818209.0,2,Exosomal miR-302b rejuvenates aging mice by reversing the proliferative arrest of senescent cells.,,39818209.0
pmid:39951177.0,2,"Test of Rapamycin in Aging Dogs (TRIAD): study design and rationale for a prospective, parallel-group, double-masked, randomized, placebo-controlled, multicenter trial of rapamycin in healthy middle-aged dogs from the Dog Aging Project.",,39951177.0
pmid:40064617.0,2,"Unlocking Longevity in Aesthetic Dermatology: Epigenetics, Aging, and Personalized Care.",,40064617.0
pmid:40550948.0,2,Adipose tissue ageing: implications for metabolic health and lifespan.,,40550948.0
pmid:40773213.0,3,Geroscience: A Translational Review.,,40773213.0
pmid:41407319.0,5,Precision geronutrition: personalized nutritional strategies to extend healthy lifespan.,,41407319.0
pmid:41792328.0,2,Dietary restriction in aging and longevity.,,41792328.0
title:mechanistic links between the gut microbiome and longevity therapeutics,2,Mechanistic Links Between the Gut Microbiome and Longevity Therapeutics,,
title:sleeve gastrectomy protects lean mice from future obesity,2,Sleeve gastrectomy protects lean mice from future obesity,,
