title,authors,year,journal,doi,pmid,url,publication_type,screen_label,screen_confidence,full_text_decision,full_text_screening_status,full_text_priority_score,full_text_priority_band,retrieval_status,retrieval_note,study_design,species_model,intervention_name,ageing_domain_category,outcome_exact,mechanism,missingness_flag,full_text_screening_note
A Multidomain Lifestyle Intervention Is Associated With Improved Functional Trajectories and Favorable Changes in Epigenetic Aging Markers in Frail Older Adults: A Randomized Controlled Trial.,"Olaso-Gonzalez G, Millan-Domingo F, Garcia-Fernandez L, Garcia-Tercero E, Cebrian M, Garcia-Dominguez C, Carbonell JA, Casabo-Valles G, Garcia-Gimenez JL, Tamayo-Torres E, Gambini J, Tarazona-Santabalbina FJ, Vina J, Gomez-Cabrera MC.",2026.0,Aging Cell,10.1111/acel.70376,41677077.0,,research-article; randomized controlled trial; journal article,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,73,priority_2_human_or_direct_ageing,retrieved_open_metadata,PMC full text likely available,RCT_or_clinical_trial,human,lifestyle_bundle,surrogate_or_indirect,,epigenetic_alterations,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
A phase II randomized placebo-controlled study of fisetin to improve physical function in breast cancer survivors: the TROFFi study rationale and trial design.,"Ji J, Crespi CM, Yee L, Zekster YA, Al-Saleem A, Petersen L, Lee C, Son N, Smith C, Evans T, Tchkonia T, Kirkland JL, Kuchel GA, Cohen HJ, Sedrak MS.",2026.0,Ther Adv Med Oncol,10.1177/17588359261424668,41835341.0,,research-article; journal article,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,73,priority_2_human_or_direct_ageing,retrieved_open_metadata,PMC full text likely available,RCT_or_clinical_trial,human,senolytics,surrogate_or_indirect,,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Viability of an educational program for lifestyle changes and an algorithm for the derivation of exercise programs in older people at risk of dependency at primary care: PRICA-POWFRAIL study protocol.,"Mihaiescu-Ion V, Ortega-Gómez S, Domínguez-Navarro A, Ayala-Martinez C, Llerena-Guerrero R, Pérez-Cabezas V, González-Medina G, Losa-Reyna J, Galan-Mercant A.",2026.0,BMC Geriatr,10.1186/s12877-025-06902-9,41663978.0,,clinical trial protocol; research-article; journal article,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,73,priority_2_human_or_direct_ageing,retrieved_open_metadata,PMC full text likely available,RCT_or_clinical_trial,human,exercise,surrogate_or_indirect,,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Epigenetic and microbiome responses to greens supplementation in obese older adults: results from a randomized crossover-controlled trial.,"Robinson LA, Cavanah AM, Lennon S, Mattingly ML, Pol WV, Huggins KW, Greene MW, Roberts MD, Frugé AD.",2026.0,Front Nutr,10.3389/fnut.2026.1750030,41717034.0,,research-article; journal article,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,73,priority_2_human_or_direct_ageing,retrieved_open_metadata,PMC full text likely available,RCT_or_clinical_trial,human,microbiome,surrogate_or_indirect,,epigenetic_alterations; microbiome_host,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
"Test of Rapamycin in Aging Dogs (TRIAD): study design and rationale for a prospective, parallel-group, double-masked, randomized, placebo-controlled, multicenter trial of rapamycin in healthy middle-aged dogs from the Dog Aging Project.",Coleman AE; Creevy KE; Anderson R; Reed MJ; Fajt VR; Aicher KM; Atiee G; Barnett BG,2025.0,GeroScience,,39951177.0,https://pubmed.ncbi.nlm.nih.gov/39951177/,Clinical Trial Protocol; Journal Article,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,70,priority_2_human_or_direct_ageing,link_available,Full text link or landing page available,RCT_or_clinical_trial,human,rapamycin_mtor,surrogate_or_indirect,,nutrient_sensing,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
J012 NAD-HD: a randomized clinical trial of nicotinamide riboside in Huntington’s disease,Pihlstrøm Lasse; Frich Jan; Walsem Marleen van,2024.0,J: Clinical therapeutics,10.1136/jnnp-2024-ehdn.333,,https://doi.org/10.1136/jnnp-2024-ehdn.333,proceedings-article,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,70,priority_2_human_or_direct_ageing,link_available,Full text link or landing page available,RCT_or_clinical_trial,human,nad_sirtuin,surrogate_or_indirect,,sirtuin_nad,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
"Obesity and Metabolic Disease Impair the Anabolic Response to Protein Supplementation and Resistance Exercise: A Retrospective Analysis of a Randomized Clinical Trial with Implications for Aging, Sarcopenic Obesity, and Weight Management.",Nilsson MI; Xhuti D; de Maat NM; Hettinga BP; Tarnopolsky MA,2024.0,Nutrients,,39771028.0,https://pubmed.ncbi.nlm.nih.gov/39771028/,Journal Article; Randomized Controlled Trial,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,70,priority_2_human_or_direct_ageing,link_available,Full text link or landing page available,RCT_or_clinical_trial,human,exercise,surrogate_or_indirect,,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Erratum. Effects of Dancing Associated With Resistance Training on Functional Parameters and Quality of Life of Aging Women: A Randomized Controlled Trial,Journal of Aging and Physical Activ,2023.0,Journal of Aging and Physical Activity,10.1123/japa.2023-0257,,https://doi.org/10.1123/japa.2023-0257,journal-article,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,70,priority_2_human_or_direct_ageing,link_available,Full text link or landing page available,RCT_or_clinical_trial,human,exercise,surrogate_or_indirect,,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
"The efficacy and safety of β-nicotinamide mononucleotide (NMN) supplementation in healthy middle-aged adults: a randomized, multicenter, double-blind, placebo-controlled, parallel-group, dose-dependent clinical trial.",Yi L; Maier AB; Tao R; Lin Z; Vaidya A; Pendse S; Thasma S; Andhalkar N,2023.0,GeroScience,,36482258.0,https://pubmed.ncbi.nlm.nih.gov/36482258/,"Randomized Controlled Trial; Multicenter Study; Journal Article; Research Support, Non-U.S. Gov't",uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,70,priority_2_human_or_direct_ageing,link_available,Full text link or landing page available,RCT_or_clinical_trial,human,nad_sirtuin,surrogate_or_indirect,,sirtuin_nad,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,Waziry R; Ryan CP; Corcoran DL; Huffman KM; Kobor MS; Kothari M; Graf GH; Kraus VB,2023.0,Nature aging,,37118425.0,https://pubmed.ncbi.nlm.nih.gov/37118425/,"Randomized Controlled Trial; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,70,priority_2_human_or_direct_ageing,link_available,Full text link or landing page available,RCT_or_clinical_trial,human,caloric_restriction,surrogate_or_indirect,,epigenetic_alterations,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
DNA methylation-based biomarkers of aging were slowed down in a two-year diet and physical activity intervention trial: the DAMA study.,Fiorito G; Caini S; Palli D; Bendinelli B; Saieva C; Ermini I; Valentini V; Assedi M,2021.0,Aging cell,,34535961.0,https://pubmed.ncbi.nlm.nih.gov/34535961/,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,70,priority_2_human_or_direct_ageing,link_available,Full text link or landing page available,RCT_or_clinical_trial,human,exercise,surrogate_or_indirect,,epigenetic_alterations,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
The Additive Effects of Creatine Supplementation and Exercise Training in an Aging Population: A Systematic Review of Randomized Controlled Trials.,Stares A; Bains M,2020.0,Journal of geriatric physical therapy (2001),,30762623.0,https://pubmed.ncbi.nlm.nih.gov/30762623/,Journal Article; Systematic Review,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,70,priority_2_human_or_direct_ageing,link_available,Full text link or landing page available,RCT_or_clinical_trial,human,exercise,surrogate_or_indirect,,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Effect of a multicomponent exercise programme (VIVIFRAIL) on functional capacity in frail community elders with cognitive decline: study protocol for a randomized multicentre control trial.,Casas-Herrero A; Anton-Rodrigo I; Zambom-Ferraresi F; Sáez de Asteasu ML; Martinez-Velilla N; Elexpuru-Estomba J; Marin-Epelde I; Ramon-Espinoza F,2019.0,Trials,,31208471.0,https://pubmed.ncbi.nlm.nih.gov/31208471/,Clinical Trial Protocol; Journal Article,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,70,priority_2_human_or_direct_ageing,link_available,Full text link or landing page available,RCT_or_clinical_trial,human,exercise,surrogate_or_indirect,,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Exercise interventions to improve physical frailty and physical frailty components in older adults with hypertension: A systematic review,Vlietstra L.; Fordyce A.M.; Costa E.C.; Coffey S.; Walker X.J.; Whalley G.A.; Waters D.L.,2025.0,Ageing Research Reviews,10.1016/j.arr.2025.102714,,https://doi.org/10.1016/j.arr.2025.102714,journal-article,uncertain,0.55,likely_eligible_pending_full_text,pending_full_text_verification,68,priority_2_human_or_direct_ageing,link_available,Full text link or landing page available,unclear_or_metadata_only,human,exercise,healthspan_functional_ageing,frailty,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
"Preserving Mobility in Older Adults with Physical Frailty and Sarcopenia: Opportunities, Challenges, and Recommendations for Physical Activity Interventions.",Billot M; Calvani R; Urtamo A; Sánchez-Sánchez JL; Ciccolari-Micaldi C; Chang M; Roller-Wirnsberger R; Wirnsberger G,2020.0,Clinical interventions in aging,,32982201.0,https://pubmed.ncbi.nlm.nih.gov/32982201/,Journal Article; Review,uncertain,0.55,likely_eligible_pending_full_text,pending_full_text_verification,68,priority_2_human_or_direct_ageing,link_available,Full text link or landing page available,unclear_or_metadata_only,human,exercise,healthspan_functional_ageing,frailty,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Effects of Diactive-1-Supported Progressive Resistance Training on Body Composition in Youth With Type 1 Diabetes.,"Muñoz-Pardeza J, López-Gil JF, Hormazábal-Aguayo I, Izquierdo M, Agostinis-Sobrinho C, Ezzatvar Y, García-Hermoso A.",2026.0,J Cachexia Sarcopenia Muscle,10.1002/jcsm.70257,41854192.0,,randomized controlled trial; journal article,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,65,priority_2_human_or_direct_ageing,abstract_or_metadata_only,No full text link captured,RCT_or_clinical_trial,human,exercise,surrogate_or_indirect,,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Diet quality and nutritional adequacy during a 2-year calorie restriction intervention: the Comprehensive Assessment of Long-Term Effects of Reducing Intake of Energy 2 trial.,"Racette SB, Silver RE, Barry VG, DeGraff JJ, Gunning JA, Kebbe M, Gilhooly CH, Das SK.",2026.0,Am J Clin Nutr,10.1016/j.ajcnut.2025.101182,41475553.0,,multicenter study; randomized controlled trial; journal article,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,65,priority_2_human_or_direct_ageing,abstract_or_metadata_only,No full text link captured,RCT_or_clinical_trial,human,caloric_restriction,surrogate_or_indirect,,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Early-life exercise extends healthspan but not lifespan in mice.,"Feng M, Li M, Lou J, Wu G, Gao T, Wu F, Tan Y, Zhang N, Zhao Y, Zhao L, Li J, Shi C, Zhang X, Liu J, Gao F.",2025.0,Nat Commun,10.1038/s41467-025-61443-4,40634291.0,,research-article; journal article,include,0.75,possibly_eligible_pending_full_text,pending_full_text_verification,58,priority_2_human_or_direct_ageing,retrieved_open_metadata,PMC full text likely available,animal_experiment,animal,exercise,hard_ageing_relevance,lifespan; healthspan,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Effect of preoperative rapamycin supplementation on perioperative clinical frailty and cognitive performance in a murine model undergoing anesthesia and surgery.,"Sim MA, Goh J, Lee J, Tay JH, Tan FCK, Li C, Wong ESP, Loh WNH, Chew STH, Maier AB, Kennedy BK, Ti LK.",2025.0,Sci Rep,10.1038/s41598-025-02707-3,40473713.0,,research-article; journal article,include,0.8,possibly_eligible_pending_full_text,pending_full_text_verification,56,priority_2_human_or_direct_ageing,retrieved_open_metadata,PMC full text likely available,animal_experiment,animal,rapamycin_mtor,healthspan_functional_ageing,frailty,nutrient_sensing,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
The geroprotectors trametinib and rapamycin combine additively to extend mouse healthspan and lifespan.,Gkioni L; Nespital T; Baghdadi M; Monzó C; Bali J; Nassr T; Cremer AL; Beyer A,2025.0,Nature aging,,40437307.0,https://pubmed.ncbi.nlm.nih.gov/40437307/,Journal Article,include,0.75,possibly_eligible_pending_full_text,pending_full_text_verification,55,priority_2_human_or_direct_ageing,link_available,Full text link or landing page available,animal_experiment,animal,rapamycin_mtor,hard_ageing_relevance,lifespan; healthspan,nutrient_sensing,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
DIETARY RESTRICTION OF ISOLEUCINE INCREASES THE HEALTHSPAN AND LIFESPAN OF GENETICALLY HETEROGENEOUS MICE,Green Cara,2023.0,Innovation in Aging,10.1093/geroni/igad104.2995,,https://doi.org/10.1093/geroni/igad104.2995,journal-article,include,0.75,possibly_eligible_pending_full_text,pending_full_text_verification,55,priority_2_human_or_direct_ageing,link_available,Full text link or landing page available,animal_experiment,animal,caloric_restriction,hard_ageing_relevance,lifespan; healthspan,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Healthspan and lifespan extension by fecal microbiota transplantation into progeroid mice.,Bárcena C; Valdés-Mas R; Mayoral P; Garabaya C; Durand S; Rodríguez F; Fernández-García MT; Salazar N,2019.0,Nature medicine,,31332389.0,https://pubmed.ncbi.nlm.nih.gov/31332389/,"Journal Article; Research Support, Non-U.S. Gov't",include,0.75,possibly_eligible_pending_full_text,pending_full_text_verification,55,priority_2_human_or_direct_ageing,link_available,Full text link or landing page available,animal_experiment,animal,microbiome,hard_ageing_relevance,lifespan; healthspan,microbiome_host,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Metformin improves healthspan and lifespan in mice.,Martin-Montalvo A; Mercken EM; Mitchell SJ; Palacios HH; Mote PL; Scheibye-Knudsen M; Gomes AP; Ward TM,2013.0,Nature communications,,23900241.0,https://pubmed.ncbi.nlm.nih.gov/23900241/,"Journal Article; Research Support, N.I.H., Intramural; Research Support, Non-U.S. Gov't",include,0.75,possibly_eligible_pending_full_text,pending_full_text_verification,55,priority_2_human_or_direct_ageing,link_available,Full text link or landing page available,animal_experiment,animal,metformin,hard_ageing_relevance,lifespan; healthspan,nutrient_sensing,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Recommendations from the European interdisciplinary council on ageing on physical activity and diet for mental health conditions in older adults.,"Veronese N, Gianfredi V, Smith L, Al-Daghri N, Barratt J, Beaudart C, Bellelli G, Bruyère O, Diaz-Ponce AM, Demurtas J, Firth J, Frederiksen KS, Karpenko O, Limongi F, Petrovic M, Prokopidis K, Reginster JY, Rizzoli R, Ramalho R, Sabico S, Schuch FB, Schlögl M, Shenkin SD, Sieber C, Solmi M, Soysal P, Stubbs B, Yang L, Zanetti M, Maggi S.",2026.0,Aging Clin Exp Res,10.1007/s40520-025-03315-x,41636947.0,,review-article; review; journal article,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,53,priority_3_contextual_or_preclinical,retrieved_open_metadata,PMC full text likely available,unclear_or_metadata_only,human,exercise,surrogate_or_indirect,,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Circadian rhythm disruption impairs ovarian follicular development via NAD&lt;sup&gt;+&lt;/sup&gt; metabolic reprogramming.,"Ying YY, Chen X, Yao SY, Chen RX, Ying Y, Qiu H, Xu QQ, Li ZY, Ye CQ, Qian YL, Liang HQ, Sun X, Zhang D.",2026.0,EBioMedicine,10.1016/j.ebiom.2026.106200,41797048.0,,research-article; journal article,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,53,priority_3_contextual_or_preclinical,retrieved_open_metadata,PMC full text likely available,unclear_or_metadata_only,human,sleep_circadian,surrogate_or_indirect,,epigenetic_alterations; sirtuin_nad,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
The NAD-brain pharmacokinetic study of NAD augmentation in blood and brain using oral precursor supplementation.,"Berven H, Svensen M, Eikeland H, Tvedten N, Sheard EV, Af Geijerstam SA, Søgnen M, McCann A, Arnsten L, Årseth O, Skjeie V, Hjellbrekke A, Skeie GO, Torres Cleuren YN, Nido GS, Haugarvoll K, Riemer F, Tzoulis C, Dölle C.",2026.0,iScience,10.1016/j.isci.2026.114764,41858901.0,,research-article; journal article,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,53,priority_3_contextual_or_preclinical,retrieved_open_metadata,PMC full text likely available,unclear_or_metadata_only,human,nad_sirtuin,surrogate_or_indirect,,sirtuin_nad,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Rapamycin Exerts Its Geroprotective Effects in the Ageing Human Immune System by Enhancing Resilience Against DNA Damage.,"Kell L, Jones EJ, Gharahdaghi N, Wilkinson DJ, Smith K, Atherton PJ, Simon AK, Cox LS, Alsaleh G.",2026.0,Aging Cell,10.1111/acel.70364,41524558.0,,research-article; journal article,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,53,priority_3_contextual_or_preclinical,retrieved_open_metadata,PMC full text likely available,unclear_or_metadata_only,human,rapamycin_mtor,surrogate_or_indirect,,nutrient_sensing,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Biohacking the human gut microbiome for precision health and therapeutic innovation.,"Bautista J, López-Cortés A.",2026.0,Front Microbiol,10.3389/fmicb.2026.1776983,41953448.0,,review-article; review; journal article,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,53,priority_3_contextual_or_preclinical,retrieved_open_metadata,PMC full text likely available,unclear_or_metadata_only,human,microbiome,surrogate_or_indirect,,microbiome_host,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Research advances in exercise management for frail older adults.,"Liu C, Lu L, Wei W.",2026.0,Front Public Health,10.3389/fpubh.2026.1763583,41694501.0,,review-article; review; journal article,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,53,priority_3_contextual_or_preclinical,retrieved_open_metadata,PMC full text likely available,unclear_or_metadata_only,human,exercise,surrogate_or_indirect,,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
Editorial: Integrated strategies for lifelong health: multidimensional approaches to aging and lifestyle interventions.,"Shi M, Ge W.",2026.0,Front Public Health,10.3389/fpubh.2026.1777378,41635561.0,,editorial,uncertain,0.45,uncertain_pending_full_text,pending_full_text_verification,53,priority_3_contextual_or_preclinical,retrieved_open_metadata,PMC full text likely available,animal_experiment,human,lifestyle_bundle,surrogate_or_indirect,,unclear,requires_full_text_verification,Artifact generated from repository metadata/extraction only; final eligibility requires full-text review.
