intervention,mechanism,directness,species_model,title
exercise,unclear,inferred_from_title_abstract,human,Effects of Resistance Exercise Training on Cognitive Function and Physical Performance in Cognitive Frailty: A Randomized Controlled Trial
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,NAD+ Precursors Nicotinamide Mononucleotide (NMN) and Nicotinamide Riboside (NR): Potential Dietary Contribution to Health
exercise,unclear,inferred_from_title_abstract,human,Recommendations from the European interdisciplinary council on ageing on physical activity and diet for mental health conditions in older adults.
rapamycin_mtor,nutrient_sensing,inferred_from_title_abstract,unclear,Rapamycin (Sirolimus)
controversial,unclear,inferred_from_title_abstract,cellular,Change of the hepatic cells in parabiosis between old and young rats
controversial,mitochondrial_function,inferred_from_title_abstract,cellular,Changes in hepatic cell mitochondria during parabiosis between old and young rats
exercise,unclear,inferred_from_title_abstract,animal,"Changes with aging, sex and physical exercise in murine natural killer activity and antibody-dependent cellular cytotoxicity"
exercise,unclear,inferred_from_title_abstract,unclear,Influence of physical exercise on aging rats: I. Life-long exercise preserves patterns of spontaneous activity
exercise,unclear,inferred_from_title_abstract,unclear,Influence of physical exercise on aging rats: II. Life-long exercise delays aging of tail tendon collagen
rapamycin_mtor,nutrient_sensing,inferred_from_title_abstract,unclear,"Mammalian Target of Rapamycin (mTOR), Aging, Neuroscience, and Their Association with Aging-Related Diseases"
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Fecal Microbiota and Probiotic Yogurt Intake
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,NAD+: a crucial regulator of sirtuin activity in aging
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Fecal Microbiome Transplantation: An Offhand Recipe for Microbiome Therapeutics
senolytics,cellular_senescence,inferred_from_title_abstract,unclear,"Senomorphic, senolytic, and rejuvenation therapies"
exercise,unclear,inferred_from_title_abstract,unclear,Physical activity and health in an ageing workforce
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Mechanisms of the anti-aging action of caloric restriction
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Evolution of the anti-aging action of caloric restriction
senolytics,cellular_senescence,inferred_from_title_abstract,unclear,Senolytic and senomorphic interventions to defy senescence-associated mitochondrial dysfunction
senolytics,mitochondrial_function,inferred_from_title_abstract,unclear,Senolytic and senomorphic interventions to defy senescence-associated mitochondrial dysfunction
caloric_restriction,unclear,inferred_from_title_abstract,human,Diet quality and nutritional adequacy during a 2-year calorie restriction intervention: the Comprehensive Assessment of Long-Term Effects of Reducing Intake of Energy 2 trial.
senolytics,cellular_senescence,inferred_from_title_abstract,cellular,Unraveling the meta-hallmarks between senescent and tumor cells: A new perspective for senolytic drug discovery.
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Caloric restriction and intermittent fasting: Two potential diets for successful brain aging
controversial,dna_repair_genomic,inferred_from_title_abstract,human,Telomerase activation: A potential key modulator for human healthspan and longevity
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Dietary restriction and lifespan: Lessons from invertebrate models
rapamycin_mtor,nutrient_sensing,inferred_from_title_abstract,unclear,The Role of Rapamycin in Healthspan Extension via the Delay of Organ Aging
exercise,unclear,inferred_from_title_abstract,human,Exercise interventions to improve physical frailty and physical frailty components in older adults with hypertension: A systematic review
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,Comparison of anti-aging effect of PQQ (Pyrroloquinoline quinone) and NMN/NR (Nicotinamide mononucleotide /Nicotinamide riboside) – possible combination use
reprogramming,epigenetic_alterations,inferred_from_title_abstract,unclear,The epigenetic rejuvenation promise: Partial reprogramming as a therapeutic strategy for aging and disease.
senolytics,cellular_senescence,inferred_from_title_abstract,animal,Senolytic cocktail dasatinib+quercetin (D+Q) ameliorate irradiation-induced bone loss in mice through inhibiting osteocyte senescence and SASP
reprogramming,epigenetic_alterations,inferred_from_title_abstract,unclear,"Aging, Rejuvenation, and Epigenetic Reprogramming: Resetting the Aging Clock"
reprogramming,epigenetic_alterations,inferred_from_title_abstract,unclear,Prevalent mesenchymal drift in aging and disease is reversed by partial reprogramming.
sleep_circadian,epigenetic_alterations,inferred_from_title_abstract,human,Circadian rhythm disruption impairs ovarian follicular development via NAD&lt;sup&gt;+&lt;/sup&gt; metabolic reprogramming.
sleep_circadian,sirtuin_nad,inferred_from_title_abstract,human,Circadian rhythm disruption impairs ovarian follicular development via NAD&lt;sup&gt;+&lt;/sup&gt; metabolic reprogramming.
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Fasting or caloric restriction for Healthy Aging
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Fecal microbiota transplantation for antibiotic resistant bacteria decolonization
senolytics,cellular_senescence,inferred_from_title_abstract,unclear,Senolytic Cocktail Dasatinib Plus Quercetin Enhances the Antitumor Effect of Senescence-Inducing Radiotherapy in a Preclinical Model of Melanoma
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,human,The NAD-brain pharmacokinetic study of NAD augmentation in blood and brain using oral precursor supplementation.
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Probiotic potential of Parabacteroides johnsonii in mitigating age-related ovarian functional decline.
exercise,unclear,inferred_from_title_abstract,human,Interaction between physical activity and deficit-based frailty on all-cause mortality in older adults: a prospective study of five population-based cohorts.
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,Muscle stem cell aging: identifying ways to induce tissue rejuvenation
stem_cell,mitochondrial_function,inferred_from_title_abstract,cellular,The mitochondrial metabolic checkpoint in stem cell aging and rejuvenation
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,The mitochondrial metabolic checkpoint in stem cell aging and rejuvenation
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,human,Towards personalized nicotinamide mononucleotide (NMN) supplementation: Nicotinamide adenine dinucleotide (NAD) concentration
metformin,nutrient_sensing,inferred_from_title_abstract,unclear,Metformin-induced longevity is associated with retrotransposon dynamics in yeast chronological aging
senolytics,cellular_senescence,inferred_from_title_abstract,unclear,Senolytic combination of dasatinib and quercetin attenuates renal damage in diabetic kidney disease
stem_cell,stem_cell_effects,inferred_from_title_abstract,unclear,Research of <i>in vivo</i> reprogramming toward clinical applications in regenerative medicine: A concise review.
stem_cell,epigenetic_alterations,inferred_from_title_abstract,unclear,Research of <i>in vivo</i> reprogramming toward clinical applications in regenerative medicine: A concise review.
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,Two decades of induced pluripotent stem cell research: From discovery to diverse applications.
exercise,unclear,inferred_from_title_abstract,human,"Environmental, infrastructural, and social drivers of physical activity in aging cities"
exercise,mitochondrial_function,inferred_from_title_abstract,unclear,Impacts of sarcopenia and resistance exercise training on mitochondrial quality control proteins
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,From wrinkles to malignancy: small-molecule-mediated stem cell approaches in skin aging.
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Mo1818 Effect of Aging on the Fecal Microbiome in Healthy Donors for Fecal Microbiota Transplant
caloric_restriction,unclear,inferred_from_title_abstract,unclear,"Proteolysis, caloric restriction and aging"
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Caloric restriction and lifespan: a role for protein turnover?
caloric_restriction,unclear,inferred_from_title_abstract,cellular,Cellular and molecular mechanisms whereby dietary restriction extends healthspan: a beneficial type of stress
caloric_restriction,unclear,inferred_from_title_abstract,unclear,"Endogenous oxidative stress: relationship to aging, longevity and caloric restriction"
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,Selective Assembly between Cu2+ and Nicotinamide Mononucleotide (NMN)
senolytics,cellular_senescence,inferred_from_title_abstract,unclear,Design and Synthesis of Senescence-Targeted Prodrugs with Senomorphic and Senolytic Properties To Mitigate Chemotherapy-Induced Kidney Injury
senolytics,cellular_senescence,inferred_from_title_abstract,unclear,Design and Synthesis of Senescence-Targeted Prodrugs with Senomorphic and Senolytic Properties To Mitigate Chemotherapy-Induced Kidney Injury
nad_sirtuin,inflammaging,inferred_from_title_abstract,unclear,"Nicotinamide riboside, an NAD+ precursor, attenuates inflammation and oxidative stress by activating sirtuin 1 in alcohol-stimulated macrophages"
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,"Nicotinamide riboside, an NAD+ precursor, attenuates inflammation and oxidative stress by activating sirtuin 1 in alcohol-stimulated macrophages"
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,Nicotinamide phosphoribosyltransferase in NAD&lt;sup&gt;+&lt;/sup&gt; metabolism: physiological and pathophysiological implications.
exercise,unclear,inferred_from_title_abstract,animal,Early-life exercise extends healthspan but not lifespan in mice.
senolytics,cellular_senescence,inferred_from_title_abstract,cellular,Single-cell profiling unveils a geroprotective role of Procyanidin C1 in hematopoietic immune system via senolytic and senomorphic effects
microbiome,inflammaging,inferred_from_title_abstract,unclear,"Probiotic Lactiplantibacillus plantarum OL3246 supports healthy aging by enhancing quality of life, reducing inflammation, and modulating gut microbiota: a pilot study."
microbiome,microbiome_host,inferred_from_title_abstract,unclear,"Probiotic Lactiplantibacillus plantarum OL3246 supports healthy aging by enhancing quality of life, reducing inflammation, and modulating gut microbiota: a pilot study."
senolytics,unclear,inferred_from_title_abstract,animal,Dasatinib plus quercetin attenuates some frailty characteristics in SAMP10 mice
rapamycin_mtor,nutrient_sensing,inferred_from_title_abstract,animal,Effect of preoperative rapamycin supplementation on perioperative clinical frailty and cognitive performance in a murine model undergoing anesthesia and surgery.
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Promoting healthspan and lifespan with caloric restriction in primates
microbiome,microbiome_host,inferred_from_title_abstract,unclear,"Decoding ageing: Handan Melike Dönertaş on microbiomes, AI and improving lifespan and healthspan"
sleep_circadian,sirtuin_nad,inferred_from_title_abstract,unclear,NAD&lt;sup&gt;+&lt;/sup&gt; controls circadian rhythmicity during cardiac aging.
caloric_restriction,unclear,inferred_from_title_abstract,animal,Isoleucine dietary restriction boosts healthspan and longevity in mice
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Dietary restriction in aging and longevity.
supplements,unclear,inferred_from_title_abstract,unclear,Bisdemethoxycurcumin extends lifespan and healthspan in &lt;i&gt;Caenorhabditis elegans via&lt;/i&gt; modulation of EGFR-linked signaling pathways.
exercise,unclear,inferred_from_title_abstract,unclear,Physical Exercise Toughens
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,On the Nonspecific Degradation of NAD+ to Nicotinamide Riboside
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,Determination of NAD+ precursors nicotinamide mononucleotide (NMN) and nicotinamide riboside (NR) in plant foods: exploring dietary sources
microbiome,microbiome_host,inferred_from_title_abstract,unclear,The role of gut microbiome in aging-associated diseases: where do we stand now and how technology will transform the future.
sleep_circadian,microbiome_host,inferred_from_title_abstract,unclear,Circadian synchronization between diet and gut microbiota in modulating host's health.
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,animal,Function of NAD metabolism in white adipose tissue: lessons from mouse models.
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,Recombinant Human Erythropoietin Plays a Pivotal Role As a Topical Stem Cell Activator to Reverse Effects of Damage to the Skin in Aging and Trauma
controversial,unclear,inferred_from_title_abstract,unclear,Accelerated Aging versus Rejuvenation of the Immune System in Heterochronic Parabiosis
supplements,unclear,inferred_from_title_abstract,human,Resveratrol Up-Regulates the Erythrocyte Plasma Membrane Redox System and Mitigates Oxidation-Induced Alterations in Erythrocytes During Aging in Humans
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,The Plasma NAD <sup>+</sup> Metabolome Is Dysregulated in “Normal” Aging
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,How Could We Slow or Reverse the Human Aging Process and Extend the Healthy Life Span with Heterochronous Autologous Hematopoietic Stem Cell Transplantation
controversial,unclear,inferred_from_title_abstract,unclear,"Three-Month Heterochronic Parabiosis Has a Deleterious Effect on the Lifespan of Young Animals, Without a Positive Effect for Old Animals"
fasting,unclear,inferred_from_title_abstract,unclear,Genetic regulation of fasting-induced longevity effects.
controversial,epigenetic_alterations,inferred_from_title_abstract,unclear,"Young Plasma Rejuvenates Blood DNA Methylation Profile, Extends Mean Lifespan, and Improves Physical Appearance in Old Rats."
caloric_restriction,unclear,inferred_from_title_abstract,human,"Caloric restriction and time-restricted eating in older adults with overweight or obesity: The Health, Aging, and Later-Life Outcomes Pilot Study."
stem_cell,mitochondrial_function,inferred_from_title_abstract,cellular,"MITOCHONDRIAL METABOLIC CHECKPOINT, STEM CELL AGING AND REJUVENATION"
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,"MITOCHONDRIAL METABOLIC CHECKPOINT, STEM CELL AGING AND REJUVENATION"
caloric_restriction,unclear,inferred_from_title_abstract,unclear,CALORIC RESTRICTION AND AGING: FROM CALORIES TO FASTING Times
caloric_restriction,unclear,inferred_from_title_abstract,animal,DIETARY RESTRICTION OF ISOLEUCINE INCREASES THE HEALTHSPAN AND LIFESPAN OF GENETICALLY HETEROGENEOUS MICE
microbiome,microbiome_host,inferred_from_title_abstract,unclear,HARNESSING PROTEIN INTAKE AND MICROBIOME INTERACTIONS TO IMPROVE HEALTHSPAN
caloric_restriction,unclear,inferred_from_title_abstract,unclear,MOLECULAR MECHANISM OF LIFESPAN EXTENSION BY CALORIC RESTRICTION
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,cellular,P–230 The NAD+ precursor nicotinamide riboside protects against postovulatary aging in vitro
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,Hydroxyapatite-based nano-drug delivery system for nicotinamide mononucleotide (NMN): significantly enhancing NMN bioavailability and replenishing <i>in vivo</i> nicotinamide adenine dinucleotide (NAD+) levels
sleep_circadian,sirtuin_nad,inferred_from_title_abstract,unclear,"Keeping up with the nicotinamides: NADP(H), the forgotten circadian cofactor that keeps metabolic time."
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Caloric Restriction and Maximum Lifespan
rapamycin_mtor,unclear,inferred_from_title_abstract,unclear,Sirolimus and Mimetics: Modulator Sine Qua Non for Cardiac Xenotransplantation?
controversial,unclear,inferred_from_title_abstract,unclear,Dynamical Systems Models for Plasma Dilution
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Dietary change without caloric restriction maintains a youthful profile in ageing yeast
senolytics,cellular_senescence,inferred_from_title_abstract,unclear,"Exploring the effects of Dasatinib, Quercetin, and Fisetin on DNA methylation clocks: a longitudinal study on senolytic interventions"
senolytics,epigenetic_alterations,inferred_from_title_abstract,unclear,"Exploring the effects of Dasatinib, Quercetin, and Fisetin on DNA methylation clocks: a longitudinal study on senolytic interventions"
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,human,Towards personalized nicotinamide mononucleotide (NMN) supplementation: nicotinamide adenine dinucleotide (NAD) concentration
senolytics,cellular_senescence,inferred_from_title_abstract,human,Senolytic therapy combining Dasatinib and Quercetin restores the chondrogenic phenotype of human osteoarthritic chondrocytes by promoting the release of pro-anabolic mediators
controversial,unclear,inferred_from_title_abstract,cellular,In vitro heterochronic parabiosis identifies pigment epithelium-derived factor as a systemic mediator of rejuvenation by young blood
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Dietary restriction promotes neuronal resilience via ADIOL
metformin,nutrient_sensing,inferred_from_title_abstract,human,Metformin treatment of diverse Caenorhabditis species reveals the importance of genetic background in longevity and healthspan extension outcomes
metformin,nutrient_sensing,inferred_from_title_abstract,unclear,"Corrigendum to: Anti‐aging pharmacology in cutaneous wound healing: Effects of metformin, resveratrol, and rapamycin by local application"
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,Nicotinamide riboside and caffeine partially restore diminished NAD availability but not altered energy metabolism in Alzheimer's disease
senolytics,cellular_senescence,inferred_from_title_abstract,unclear,"Senolytic drugs, dasatinib and quercetin, attenuate adipose tissue inflammation, and ameliorate metabolic function in old age"
senolytics,inflammaging,inferred_from_title_abstract,unclear,"Senolytic drugs, dasatinib and quercetin, attenuate adipose tissue inflammation, and ameliorate metabolic function in old age"
senolytics,cellular_senescence,inferred_from_title_abstract,human,Senolytic therapy combining Dasatinib and Quercetin restores the chondrogenic phenotype of human osteoarthritic chondrocytes by the release of pro‐anabolic mediators
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,animal,Nicotinamide Riboside Supplementation Alleviates Testicular Aging Induced by Disruption of Qprt‐Dependent <scp>NAD</scp><sup>+</sup> De Novo Synthesis in Mice
caloric_restriction,nutrient_sensing,inferred_from_title_abstract,unclear,"Rapamycin, Not Metformin, Mirrors Dietary Restriction-Driven Lifespan Extension in Vertebrates: A Meta-Analysis."
caloric_restriction,unclear,inferred_from_title_abstract,unclear,An Ad Libitum-Fed Diet That Matches the Beneficial Lifespan Effects of Caloric Restriction but Acts via Opposite Effects on the Energy-Splicing Axis.
senolytics,cellular_senescence,inferred_from_title_abstract,animal,"Senolytic Treatment With Dasatinib and Quercetin Reshapes Influenza‐Specific <scp>CD8</scp> T Cell Responses During Infection in Aged, Vaccinated Mice"
rapamycin_mtor,nutrient_sensing,inferred_from_title_abstract,human,Rapamycin Exerts Its Geroprotective Effects in the Ageing Human Immune System by Enhancing Resilience Against DNA Damage.
fasting,mitochondrial_function,inferred_from_title_abstract,unclear,Fasting as Medicine: Mitochondrial and Endothelial Rejuvenation in Vascular Aging.
lifestyle_bundle,epigenetic_alterations,inferred_from_title_abstract,human,A Multidomain Lifestyle Intervention Is Associated With Improved Functional Trajectories and Favorable Changes in Epigenetic Aging Markers in Frail Older Adults: A Randomized Controlled Trial.
senolytics,cellular_senescence,inferred_from_title_abstract,cellular,DNA Methylation Signatures of Cellular Senescence Are Not Reversed by Senolytic Treatment.
senolytics,epigenetic_alterations,inferred_from_title_abstract,cellular,DNA Methylation Signatures of Cellular Senescence Are Not Reversed by Senolytic Treatment.
caloric_restriction,unclear,inferred_from_title_abstract,unclear,"Review for ""Caloric restriction extends lifespan in a clonal plant"""
caloric_restriction,unclear,inferred_from_title_abstract,unclear,"Review for ""Caloric restriction extends lifespan in a clonal plant"""
caloric_restriction,unclear,inferred_from_title_abstract,unclear,"Review for ""Caloric restriction extends lifespan in a clonal plant"""
caloric_restriction,unclear,inferred_from_title_abstract,unclear,"Review for ""Caloric restriction extends lifespan in a clonal plant"""
caloric_restriction,unclear,inferred_from_title_abstract,unclear,"Review for ""Caloric restriction extends lifespan in a clonal plant"""
caloric_restriction,unclear,inferred_from_title_abstract,unclear,"Review for ""Caloric restriction extends lifespan in a clonal plant"""
microbiome,microbiome_host,inferred_from_title_abstract,unclear,A review of skin microbiome and new challenges to cosmetic microbiome-friendly formulations.
stem_cell,stem_cell_effects,inferred_from_title_abstract,unclear,Advances in Longevity: The Intersection of Regenerative Medicine and Cosmetic Dermatology.
exercise,unclear,inferred_from_title_abstract,unclear,"Impacts of exercise, renin-angiotensin system modulation or both on skeletal muscle circadian gene expression."
exercise,unclear,inferred_from_title_abstract,human,Erratum. Effects of Dancing Associated With Resistance Training on Functional Parameters and Quality of Life of Aging Women: A Randomized Controlled Trial
exercise,unclear,inferred_from_title_abstract,human,Effects of Prolonged Hypertrophic Resistance Training on Acute Endocrine Responses in Young and Older Men
exercise,unclear,inferred_from_title_abstract,human,Exercise Training for Older Adults with Limitations in Physical Function
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,human,J012 NAD-HD: a randomized clinical trial of nicotinamide riboside in Huntington’s disease
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Can Short-Term Dietary Restriction and Fasting Have a Long-Term Anticarcinogenic Effect?
senolytics,cellular_senescence,inferred_from_title_abstract,unclear,Senolytic Combination of Dasatinib and Quercetin Promotes Tendon-to-Bone Healing by Mitigating Age-Related Senescence in Rats
senolytics,unclear,inferred_from_title_abstract,human,A phase II randomized placebo-controlled study of fisetin to improve physical function in breast cancer survivors: the TROFFi study rationale and trial design.
senolytics,cellular_senescence,inferred_from_title_abstract,cellular,The senolytic effect of Dasatinib and Quercetin on cellular senescence in COPD in vitro and in vivo models
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,"Rejuvenation of airway basal stem cells by partial chemical reprogramming Mengyu Zou1, Qiaoyu Chen1, Ying Hua1, Wei Zuo1,2* 1Tongji Stem Cell Center, Tongji University, Shanghai, China 2Kiangnan Institute of Stem Cell, Hangzhou, China"
stem_cell,epigenetic_alterations,inferred_from_title_abstract,cellular,"Rejuvenation of airway basal stem cells by partial chemical reprogramming Mengyu Zou1, Qiaoyu Chen1, Ying Hua1, Wei Zuo1,2* 1Tongji Stem Cell Center, Tongji University, Shanghai, China 2Kiangnan Institute of Stem Cell, Hangzhou, China"
exercise,unclear,inferred_from_title_abstract,unclear,Ageing and exercise: building body capital in old age
exercise,unclear,inferred_from_title_abstract,human,High-speed resistance training vs. low-speed resistance training on body composition and physical function in adults with sarcopenic obesity
exercise,unclear,inferred_from_title_abstract,human,Viability of an educational program for lifestyle changes and an algorithm for the derivation of exercise programs in older people at risk of dependency at primary care: PRICA-POWFRAIL study protocol.
senolytics,cellular_senescence,inferred_from_title_abstract,animal,Senogenic-senolytic treatment strategies enhance tumor control and can improve survival in murine cancer models: a systematic review.
microbiome,microbiome_host,inferred_from_title_abstract,unclear,From dysbiosis to longevity: a narrative review into the gut microbiome's impact on aging.
caloric_restriction,unclear,inferred_from_title_abstract,human,The impacts of different dietary restriction regimens on aging and longevity: from yeast to humans.
reprogramming,cellular_senescence,inferred_from_title_abstract,cellular,Targeting PURPL RNA enabled rejuvenation of senescence cells via epigenetic reprogramming.
reprogramming,epigenetic_alterations,inferred_from_title_abstract,cellular,Targeting PURPL RNA enabled rejuvenation of senescence cells via epigenetic reprogramming.
