source,source_stream,query,record_id,title,abstract,authors,year,journal,doi,pmid,pmcid,url,publication_type,is_preprint,retrieved_at
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),d9a6ad7def533936cad2e798175f8a14,Protein-Restricted Diets and Their Impact on Metabolic Health and Aging.,,Kim SQ; Spann RA; Hill CM; Berryman CE; Berthoud HR; McDougal DH; He Y; Münzberg H,2025,Annual review of nutrition,,40359345,,https://pubmed.ncbi.nlm.nih.gov/40359345/,Journal Article; Review,False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),9ac478d2e9b5c84384fe6ec56a51866d,Dietary restriction in aging and longevity.,,Schmauck-Medina T; Lautrup S; Di Francesco A; Mitchell SJ; Clemmensen C; Partridge L; Roth GS; Anderson RM,2026,Nature aging,,41792328,,https://pubmed.ncbi.nlm.nih.gov/41792328/,Journal Article; Review,False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),fff4693ec8f7980b9ec80394297306d2,Adipose tissue ageing: implications for metabolic health and lifespan.,,Wang G; Song A; Wang QA,2025,Nature reviews. Endocrinology,,40550948,,https://pubmed.ncbi.nlm.nih.gov/40550948/,Journal Article; Review,False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),96189543575d270e6bb6709657104075,Sterilization and contraception increase lifespan across vertebrates.,,Garratt M; Lagisz M; Staerk J; Neyt C; Stout MB; Isola JVV; Cowl VB; Driver-Ruiz N,2026,Nature,,41372417,,https://pubmed.ncbi.nlm.nih.gov/41372417/,Journal Article; Meta-Analysis,False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),7607a2edcffe08cd62b117163afa328d,We are ageing.,,Kolovou GD; Kolovou V; Mavrogeni S,2014,BioMed research international,,25045704,,https://pubmed.ncbi.nlm.nih.gov/25045704/,Journal Article; Review,False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),6f1e458754c5cf1db2d96ad8706e462f,Evaluation of off-label rapamycin use to promote healthspan in 333 adults.,,Kaeberlein TL; Green AS; Haddad G; Hudson J; Isman A; Nyquist A; Rosen BS; Suh Y,2023,GeroScience,,37191826,,https://pubmed.ncbi.nlm.nih.gov/37191826/,"Journal Article; Research Support, Non-U.S. Gov't",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),c0ce1d6dee247c124127f209099845b4,A toolkit for quantification of biological age from blood chemistry and organ function test data: BioAge.,,Kwon D; Belsky DW,2021,GeroScience,,34725754,,https://pubmed.ncbi.nlm.nih.gov/34725754/,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),92bfacfd1fba3cff6e3fbe0ed8ea3337,Exploring the effect of different diet types on ageing and age-related diseases.,,Mensah EO; Danyo EK; Asase RV,2025,"Nutrition (Burbank, Los Angeles County, Calif.)",,39488864,,https://pubmed.ncbi.nlm.nih.gov/39488864/,"Journal Article; Review; Research Support, Non-U.S. Gov't",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),a4bfc9e8a77f45c5bc66d59d608bdf93,"Test of Rapamycin in Aging Dogs (TRIAD): study design and rationale for a prospective, parallel-group, double-masked, randomized, placebo-controlled, multicenter trial of rapamycin in healthy middle-aged dogs from the Dog Aging Project.",,Coleman AE; Creevy KE; Anderson R; Reed MJ; Fajt VR; Aicher KM; Atiee G; Barnett BG,2025,GeroScience,,39951177,,https://pubmed.ncbi.nlm.nih.gov/39951177/,Clinical Trial Protocol; Journal Article,False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),8784329e2a7bc113b5bb3ff1987fda8a,Telomerase gene therapy in adult and old mice delays aging and increases longevity without increasing cancer.,,Bernardes de Jesus B; Vera E; Schneeberger K; Tejera AM; Ayuso E; Bosch F; Blasco MA,2012,EMBO molecular medicine,,22585399,,https://pubmed.ncbi.nlm.nih.gov/22585399/,Journal Article,False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),32d749f03e8a8d446119c0520ee2a2d3,Metformin retards aging in C. elegans by altering microbial folate and methionine metabolism.,,Cabreiro F; Au C; Leung KY; Vergara-Irigaray N; Cochemé HM; Noori T; Weinkove D; Schuster E,2013,Cell,,23540700,,https://pubmed.ncbi.nlm.nih.gov/23540700/,"Journal Article; Research Support, Non-U.S. Gov't",False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),904c29a6ce93e019be49108b0c71467e,Neuroendocrine ageing.,,Björntorp P,1995,Journal of internal medicine,,7595179,,https://pubmed.ncbi.nlm.nih.gov/7595179/,Journal Article; Review,False,2026-04-23T01:40:41
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),c16c77e9d911713ca5df84ebb53359e4,Ageing.,,Grayson M,2012,Nature,,23222665,,https://pubmed.ncbi.nlm.nih.gov/23222665/,Introductory Journal Article,False,2026-04-23T01:40:41
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),205d3b9d39ac5e516a9a55b30cc69509,Sex differences in response to longevity interventions.,,"Hajdarovic KH, Riddle NC, Webb AE.",2026,Ageing Res Rev,10.1016/j.arr.2026.103123,41935583,PMC13080664,,research-article; review; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),f3964b0ca36de59fa150ccdc2a39b0a9,"SRN-901, a Novel Longevity Drug, Extends Lifespan and Healthspan by Targeting Multiple Aging Pathways.",,"Weiss B, Miranda DR, Arrazati D, Cao R, Chen J, Liu Y, Brown D, Marshall G.",2026,Drug Des Devel Ther,10.2147/dddt.s594895,42011226,,,journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),bfce8eb54453cdb08d6c0c6a9bcf7cd7,"Insights on geroscience pre-clinical and clinical trials to promote healthy aging from the Intrinsic Capacity, Frailty and Sarcopenia Research Task Force 2025.",,"Tagliafico L, Canevelli M, Barreto PS, Cesari M, Ferrucci L, Vellas B, Rolland Y, ICFSR Task Force.",2026,J Frailty Aging,10.1016/j.tjfa.2026.100147,41863810,PMC13010422,,review-article; review; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),9eeb2719b25d39426b2d512c71c0f7a9,"Rescuing Healthspan in Obese, Aged Mice: A Comparison between Multi-Ingredient Nutraceuticals and Senolytic Interventions",,"Brookes C, Fielder E, Low E, Barardo D, von Zglinicki T, Miwa S.",2025,PPR,10.20944/preprints202512.2725.v1,,,,preprint,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),7b5e91179bf9c93dd55e41f2d30007d4,From sick care to healthspan: educating the longevity physician for health maintenance and health promotion.,,"Thor D, Barzilai D, Lyu YX, Spiru L.",2025,Biogerontology,10.1007/s10522-025-10371-3,41391057,PMC12702796,,review-article; review; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),91209e54c6c03adaf5e36129ab9aef2b,"Lifespan, Healthspan, and the Expanding Role of Cosmetic Dermatology in Longevity Science.",,"Haykal D, Flament F, Othman K, Siow R.",2025,J Cosmet Dermatol,10.1111/jocd.70610,41392941,PMC12703656,,letter; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),23c71e6b4ce65c34aebb5820373a774a,Natural killer cells: gatekeepers of healthy aging in longevity medicine.,,"Yang JY, Tu DT, Liao JC, Lee OK.",2026,Inflamm Regen,10.1186/s41232-026-00414-8,41882798,PMC13063990,,review-article; review; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),7f8f0339ea132b1fed8b7fc1b7ea903f,From Lifespan to Healthspan: Integrating Nutrition and Physical Activity in Healthy Ageing.,,Sołtysik BK.,2026,Nutrients,10.3390/nu18030528,41683350,PMC12899802,,introductory journal article; editorial,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),9527ce4b344208092924cd301823679d,Molecular mechanisms of metformin action: From metabolic effects to lifespan extension and healthspan promotion.,,"Vujović S, Perović S, Vlaović M, Šćepanović S, Filipović A.",2026,J Med Biochem,10.5937/jomb0-60849,41821769,PMC12978362,,research-article; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),860af5d51d8ac55a4e18ad07605591d3,Gene therapy for aging: Current evidence and future directions.,,"Zhang Y, Gan L, Wang S, Zhang J.",2026,Ageing Res Rev,10.1016/j.arr.2026.103144,41997501,,,review; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),fc693078f3078d2a5a76db3691c607a2,"Brainspan: A Framework for Defining, Measuring, and Preserving Cognitive Longevity.",,Lakhan SE.,2026,Cureus,10.7759/cureus.101279,41674755,PMC12889196,,editorial,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),f1896f510efde4d48d1b389f9251bf7d,"Utilizing accelerated and delayed murine models of aging to address the ""healthspan issue"" - A review of skeletal muscle health.",,"Johnston MJ, Brown-Borg HM.",2026,Ageing Res Rev,10.1016/j.arr.2025.102946,41260524,,,review; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),b9a1adbad03f2c5fd6928dd6af47b41c,Precision geronutrition: personalized nutritional strategies to extend healthy lifespan.,,"Park SH, Jung CH, Ahn J.",2026,BMB Rep,,41407319,PMC12867180,,news; review-article; review; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),ae0011108d11fb076edc3099f56f4be0,&lt;i&gt;Caenorhabditis&lt;/i&gt; Intervention Testing Program: the anticonvulsant levetiracetam does not extend lifespan in nematodes.,,"Akella JS, Onken BD, Sedore CA, Song Y, Achanta VM, Walker M, Xue J, Guo S, Coleman-Hulbert A, Phillips PC, Lithgow GJ, Driscoll M.",2026,MicroPubl Biol,10.17912/micropub.biology.001987,41993912,PMC13080522,,brief-report; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),633a541e148eae7b7ac269cd04d3286a,Bisdemethoxycurcumin extends lifespan and healthspan in &lt;i&gt;Caenorhabditis elegans via&lt;/i&gt; modulation of EGFR-linked signaling pathways.,,"Shi R, Zhang Y, Li C, Li X, Tu C, Sun C, Liu S, He R, Zhang X.",2026,Food Funct,10.1039/d5fo04963f,41804763,,,journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),a2f239e0b5b9e823a0618fc8c2cccd58,Bridging expectations and science: a roadmap for the future of longevity interventions.,,"Yu D, Zeng X, Barzilai D, Thor D, Lyu YX.",2025,Biogerontology,10.1007/s10522-025-10278-z,40591010,PMC12213962,,review-article; review; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),97f3c0bf0e28106e2ef0efc329d7bf3e,Knowledge of lifespan and healthspan and interest in Healthy Longevity Medicine among the general population in Singapore: the Singapore HEalthy LOngevity (HELO) survey.,,"Amalaraj JJP, Wang B, Szücs A, Island L, Wang LY, Horberg LJ, O'Keefe PA, Rosenthal S, Chong YS, Meij JJ, Maier AB.",2026,Geroscience,10.1007/s11357-026-02160-8,41775955,,,journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),fbf175c0fce1b59bd6ba6da794f58987,Translational Geroscience Strategies for Delaying Multimorbidity.,,"Khanal P, Chand J, Patil VS, Singh L, Bhattacharya K.",2026,ACS Pharmacol Transl Sci,10.1021/acsptsci.6c00026,41988378,PMC13077501,,review-article; review; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),49db70c57acbe92235ecc00b0692d61f,Toward precision longevity: aging interventions in the single-cell atlas era.,,"Chen JB, Wang MC, Gong S, Li H.",2025,Front Aging,10.3389/fragi.2025.1674112,41425850,PMC12714978,,review-article; review; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),666db89708f041f6d70551fee87b68e6,Leveraging Artificial Intelligence and Modulation of Oxidative Stressors to Enhance Healthspan and Radical Longevity.,,"Haines DD, Rose SC, Cowan FM, Mahmoud FF, Rizvanov AA, Tosaki A.",2025,Biomolecules,10.3390/biom15111501,41301419,PMC12650260,,"research support, non-u.s. gov't; review-article; review; journal article",False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),23d1ae759215224b84ac20f50080173a,Lifespan-Extending Endogenous Metabolites.,,"Jiang Y, Han JJ.",2026,Aging Cell,10.1111/acel.70371,41527327,PMC12796513,,review-article; review; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),dfe784c879715569b77abe7f56c03656,Therapeutic peptides in gerontology: mechanisms and applications for healthy aging,,"Mavrych V, Shypilova I, Bolgova O.",,Front Aging,,,PMC13095733,,review-article; review; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),cd861e0e58ba5381a16d03c1c13c7d70,Aging reimagined: Bridging clinical modulation and scientific breakthroughs.,,"Mhamdi S, Chamari K, BaHammam AS, Alkeridy WA, Aldeeri AA, Ben Saad H.",2026,Biol Sport,10.5114/biolsport.2026.156224,41994361,PMC13081146,,review-article; review; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),d7a8a468f4347f12ce968bcfa46eb69a,From Elixirs to Geroscience: A Historical and Molecular Perspective on Anti-Aging Medicine.,,"Nicoletti GRP, Mangano K, Nicoletti F, Cavalli E.",2025,Molecules,10.3390/molecules30244728,41471752,PMC12735892,,historical article; review-article; review; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),2f100e8f192f8e3a6552ceca41f7760e,"Towards global healthy longevity: report from the 1st World Longevity Summit in Kyotango, Japan.",,"Kitani T, Matoba S, Naito Y, Horvath S, Yoshimori T, Chan FKL, Matsuda T, Bandini S, Nakagami H, Morishita R, Nakayama Y, Yaku H.",2025,NPJ Aging,10.1038/s41514-025-00279-0,41253835,PMC12627732,,meeting-report; journal article,False,2026-04-23T01:40:43
europe_pmc,mixed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),6e52d1ff4664788cc764ab5de8d41b09,Links Between Autophagy and Healthy Aging.,,"Ebata H, Hansen M.",2026,J Mol Biol,10.1016/j.jmb.2026.169656,41577121,PMC12912249,,research-article; review; journal article,False,2026-04-23T01:40:43
