title,intervention_classes,outcome_terms,topic_cluster,hype_terms_n,hype_flag,screen_label
Metformin-induced longevity is associated with retrotransposon dynamics in yeast chronological aging,metformin,,0,0,False,uncertain
Senolytic combination of dasatinib and quercetin attenuates renal damage in diabetic kidney disease,senolytics,,7,0,False,uncertain
Research of <i>in vivo</i> reprogramming toward clinical applications in regenerative medicine: A concise review.,stem_cell,,0,0,False,uncertain
Two decades of induced pluripotent stem cell research: From discovery to diverse applications.,stem_cell,,3,0,False,uncertain
"Environmental, infrastructural, and social drivers of physical activity in aging cities",exercise,,6,0,False,uncertain
Impacts of sarcopenia and resistance exercise training on mitochondrial quality control proteins,exercise,,2,0,False,uncertain
From wrinkles to malignancy: small-molecule-mediated stem cell approaches in skin aging.,stem_cell,,3,0,False,uncertain
Mo1818 Effect of Aging on the Fecal Microbiome in Healthy Donors for Fecal Microbiota Transplant,microbiome,,1,0,False,uncertain
"Proteolysis, caloric restriction and aging",caloric_restriction,,5,0,False,uncertain
Caloric restriction and lifespan: a role for protein turnover?,caloric_restriction,lifespan,5,0,False,uncertain
Cellular and molecular mechanisms whereby dietary restriction extends healthspan: a beneficial type of stress,caloric_restriction,healthspan,5,0,False,uncertain
"Endogenous oxidative stress: relationship to aging, longevity and caloric restriction",caloric_restriction,,5,0,False,uncertain
Selective Assembly between Cu2+ and Nicotinamide Mononucleotide (NMN),nad_sirtuin,,4,0,False,uncertain
Design and Synthesis of Senescence-Targeted Prodrugs with Senomorphic and Senolytic Properties To Mitigate Chemotherapy-Induced Kidney Injury,senolytics,senescence,7,0,False,uncertain
Design and Synthesis of Senescence-Targeted Prodrugs with Senomorphic and Senolytic Properties To Mitigate Chemotherapy-Induced Kidney Injury,senolytics,senescence,7,0,False,uncertain
"Nicotinamide riboside, an NAD+ precursor, attenuates inflammation and oxidative stress by activating sirtuin 1 in alcohol-stimulated macrophages",nad_sirtuin,,4,0,False,uncertain
Nicotinamide phosphoribosyltransferase in NAD&lt;sup&gt;+&lt;/sup&gt; metabolism: physiological and pathophysiological implications.,nad_sirtuin,,0,0,False,uncertain
Early-life exercise extends healthspan but not lifespan in mice.,exercise,lifespan; healthspan,6,0,False,include
Single-cell profiling unveils a geroprotective role of Procyanidin C1 in hematopoietic immune system via senolytic and senomorphic effects,senolytics,,7,0,False,uncertain
"Probiotic Lactiplantibacillus plantarum OL3246 supports healthy aging by enhancing quality of life, reducing inflammation, and modulating gut microbiota: a pilot study.",microbiome,,0,0,False,uncertain
Dasatinib plus quercetin attenuates some frailty characteristics in SAMP10 mice,senolytics,frailty,7,0,False,uncertain
Effect of preoperative rapamycin supplementation on perioperative clinical frailty and cognitive performance in a murine model undergoing anesthesia and surgery.,rapamycin_mtor; supplements,frailty,0,0,False,include
Promoting healthspan and lifespan with caloric restriction in primates,caloric_restriction,lifespan; healthspan,5,0,False,include
"Decoding ageing: Handan Melike Dönertaş on microbiomes, AI and improving lifespan and healthspan",microbiome,lifespan; healthspan,6,0,False,include
NAD&lt;sup&gt;+&lt;/sup&gt; controls circadian rhythmicity during cardiac aging.,sleep_circadian; nad_sirtuin,,0,0,False,uncertain
Isoleucine dietary restriction boosts healthspan and longevity in mice,caloric_restriction,healthspan,5,0,False,uncertain
Dietary restriction in aging and longevity.,caloric_restriction,,5,0,False,uncertain
Bisdemethoxycurcumin extends lifespan and healthspan in &lt;i&gt;Caenorhabditis elegans via&lt;/i&gt; modulation of EGFR-linked signaling pathways.,supplements,lifespan; healthspan,0,0,False,include
Physical Exercise Toughens,exercise,,2,0,False,uncertain
On the Nonspecific Degradation of NAD+ to Nicotinamide Riboside,nad_sirtuin,,4,0,False,uncertain
Determination of NAD+ precursors nicotinamide mononucleotide (NMN) and nicotinamide riboside (NR) in plant foods: exploring dietary sources,nad_sirtuin,,4,0,False,uncertain
The role of gut microbiome in aging-associated diseases: where do we stand now and how technology will transform the future.,microbiome,,1,0,False,uncertain
Circadian synchronization between diet and gut microbiota in modulating host's health.,sleep_circadian,,1,0,False,uncertain
Function of NAD metabolism in white adipose tissue: lessons from mouse models.,nad_sirtuin,,0,0,False,uncertain
Recombinant Human Erythropoietin Plays a Pivotal Role As a Topical Stem Cell Activator to Reverse Effects of Damage to the Skin in Aging and Trauma,stem_cell,,3,1,True,uncertain
Accelerated Aging versus Rejuvenation of the Immune System in Heterochronic Parabiosis,controversial,rejuvenation,0,1,True,uncertain
Resveratrol Up-Regulates the Erythrocyte Plasma Membrane Redox System and Mitigates Oxidation-Induced Alterations in Erythrocytes During Aging in Humans,supplements,,0,0,False,uncertain
The Plasma NAD <sup>+</sup> Metabolome Is Dysregulated in “Normal” Aging,nad_sirtuin,,0,0,False,uncertain
How Could We Slow or Reverse the Human Aging Process and Extend the Healthy Life Span with Heterochronous Autologous Hematopoietic Stem Cell Transplantation,stem_cell,,3,1,True,uncertain
"Three-Month Heterochronic Parabiosis Has a Deleterious Effect on the Lifespan of Young Animals, Without a Positive Effect for Old Animals",controversial,lifespan,0,0,False,uncertain
Genetic regulation of fasting-induced longevity effects.,fasting,,0,0,False,uncertain
"Young Plasma Rejuvenates Blood DNA Methylation Profile, Extends Mean Lifespan, and Improves Physical Appearance in Old Rats.",controversial,lifespan,6,1,True,uncertain
"Caloric restriction and time-restricted eating in older adults with overweight or obesity: The Health, Aging, and Later-Life Outcomes Pilot Study.",caloric_restriction,,2,0,False,uncertain
"MITOCHONDRIAL METABOLIC CHECKPOINT, STEM CELL AGING AND REJUVENATION",stem_cell,rejuvenation,3,1,True,uncertain
CALORIC RESTRICTION AND AGING: FROM CALORIES TO FASTING Times,caloric_restriction; fasting,,5,0,False,uncertain
DIETARY RESTRICTION OF ISOLEUCINE INCREASES THE HEALTHSPAN AND LIFESPAN OF GENETICALLY HETEROGENEOUS MICE,caloric_restriction,lifespan; healthspan,5,0,False,include
HARNESSING PROTEIN INTAKE AND MICROBIOME INTERACTIONS TO IMPROVE HEALTHSPAN,microbiome,healthspan,6,0,False,uncertain
MOLECULAR MECHANISM OF LIFESPAN EXTENSION BY CALORIC RESTRICTION,caloric_restriction,lifespan,5,0,False,uncertain
P–230 The NAD+ precursor nicotinamide riboside protects against postovulatary aging in vitro,nad_sirtuin,,4,0,False,uncertain
Hydroxyapatite-based nano-drug delivery system for nicotinamide mononucleotide (NMN): significantly enhancing NMN bioavailability and replenishing <i>in vivo</i> nicotinamide adenine dinucleotide (NAD+) levels,nad_sirtuin,,4,0,False,uncertain
"Keeping up with the nicotinamides: NADP(H), the forgotten circadian cofactor that keeps metabolic time.",sleep_circadian; nad_sirtuin,,0,0,False,uncertain
Caloric Restriction and Maximum Lifespan,caloric_restriction,lifespan,5,0,False,uncertain
Sirolimus and Mimetics: Modulator Sine Qua Non for Cardiac Xenotransplantation?,rapamycin_mtor,,0,0,False,uncertain
Dynamical Systems Models for Plasma Dilution,controversial,,0,0,False,uncertain
Dietary change without caloric restriction maintains a youthful profile in ageing yeast,caloric_restriction,,5,0,False,uncertain
"Exploring the effects of Dasatinib, Quercetin, and Fisetin on DNA methylation clocks: a longitudinal study on senolytic interventions",senolytics,,7,0,False,uncertain
Towards personalized nicotinamide mononucleotide (NMN) supplementation: nicotinamide adenine dinucleotide (NAD) concentration,nad_sirtuin; supplements,,4,0,False,uncertain
Senolytic therapy combining Dasatinib and Quercetin restores the chondrogenic phenotype of human osteoarthritic chondrocytes by promoting the release of pro-anabolic mediators,senolytics,,7,0,False,uncertain
In vitro heterochronic parabiosis identifies pigment epithelium-derived factor as a systemic mediator of rejuvenation by young blood,controversial,rejuvenation,0,1,True,uncertain
Dietary restriction promotes neuronal resilience via ADIOL,caloric_restriction,,5,0,False,uncertain
Metformin treatment of diverse Caenorhabditis species reveals the importance of genetic background in longevity and healthspan extension outcomes,metformin,healthspan,6,0,False,uncertain
"Corrigendum to: Anti‐aging pharmacology in cutaneous wound healing: Effects of metformin, resveratrol, and rapamycin by local application",metformin; rapamycin_mtor; supplements,,0,0,False,uncertain
Nicotinamide riboside and caffeine partially restore diminished NAD availability but not altered energy metabolism in Alzheimer's disease,nad_sirtuin,,4,0,False,uncertain
"Senolytic drugs, dasatinib and quercetin, attenuate adipose tissue inflammation, and ameliorate metabolic function in old age",senolytics,,7,0,False,uncertain
Senolytic therapy combining Dasatinib and Quercetin restores the chondrogenic phenotype of human osteoarthritic chondrocytes by the release of pro‐anabolic mediators,senolytics,,7,0,False,uncertain
Nicotinamide Riboside Supplementation Alleviates Testicular Aging Induced by Disruption of Qprt‐Dependent <scp>NAD</scp><sup>+</sup> De Novo Synthesis in Mice,nad_sirtuin; supplements,,4,0,False,uncertain
"Rapamycin, Not Metformin, Mirrors Dietary Restriction-Driven Lifespan Extension in Vertebrates: A Meta-Analysis.",caloric_restriction; metformin; rapamycin_mtor,lifespan,5,0,False,include
An Ad Libitum-Fed Diet That Matches the Beneficial Lifespan Effects of Caloric Restriction but Acts via Opposite Effects on the Energy-Splicing Axis.,caloric_restriction,lifespan,5,0,False,uncertain
"Senolytic Treatment With Dasatinib and Quercetin Reshapes Influenza‐Specific <scp>CD8</scp> T Cell Responses During Infection in Aged, Vaccinated Mice",senolytics,,7,0,False,uncertain
Rapamycin Exerts Its Geroprotective Effects in the Ageing Human Immune System by Enhancing Resilience Against DNA Damage.,rapamycin_mtor,,0,0,False,uncertain
Fasting as Medicine: Mitochondrial and Endothelial Rejuvenation in Vascular Aging.,fasting,rejuvenation,0,1,True,uncertain
A Multidomain Lifestyle Intervention Is Associated With Improved Functional Trajectories and Favorable Changes in Epigenetic Aging Markers in Frail Older Adults: A Randomized Controlled Trial.,lifestyle_bundle,,0,0,False,uncertain
DNA Methylation Signatures of Cellular Senescence Are Not Reversed by Senolytic Treatment.,senolytics,senescence,7,1,True,uncertain
"Review for ""Caloric restriction extends lifespan in a clonal plant""",caloric_restriction,lifespan,5,0,False,uncertain
"Review for ""Caloric restriction extends lifespan in a clonal plant""",caloric_restriction,lifespan,5,0,False,uncertain
"Review for ""Caloric restriction extends lifespan in a clonal plant""",caloric_restriction,lifespan,5,0,False,uncertain
"Review for ""Caloric restriction extends lifespan in a clonal plant""",caloric_restriction,lifespan,5,0,False,uncertain
"Review for ""Caloric restriction extends lifespan in a clonal plant""",caloric_restriction,lifespan,5,0,False,uncertain
"Review for ""Caloric restriction extends lifespan in a clonal plant""",caloric_restriction,lifespan,5,0,False,uncertain
A review of skin microbiome and new challenges to cosmetic microbiome-friendly formulations.,microbiome,,1,0,False,uncertain
Advances in Longevity: The Intersection of Regenerative Medicine and Cosmetic Dermatology.,stem_cell,,0,0,False,uncertain
"Impacts of exercise, renin-angiotensin system modulation or both on skeletal muscle circadian gene expression.",exercise; sleep_circadian,,0,0,False,uncertain
Erratum. Effects of Dancing Associated With Resistance Training on Functional Parameters and Quality of Life of Aging Women: A Randomized Controlled Trial,exercise,,0,0,False,uncertain
Effects of Prolonged Hypertrophic Resistance Training on Acute Endocrine Responses in Young and Older Men,exercise,,2,0,False,uncertain
Exercise Training for Older Adults with Limitations in Physical Function,exercise,,2,0,False,uncertain
J012 NAD-HD: a randomized clinical trial of nicotinamide riboside in Huntington’s disease,nad_sirtuin,,4,0,False,uncertain
Can Short-Term Dietary Restriction and Fasting Have a Long-Term Anticarcinogenic Effect?,caloric_restriction; fasting,,5,0,False,uncertain
Senolytic Combination of Dasatinib and Quercetin Promotes Tendon-to-Bone Healing by Mitigating Age-Related Senescence in Rats,senolytics,senescence,7,0,False,uncertain
A phase II randomized placebo-controlled study of fisetin to improve physical function in breast cancer survivors: the TROFFi study rationale and trial design.,senolytics,,0,0,False,uncertain
The senolytic effect of Dasatinib and Quercetin on cellular senescence in COPD in vitro and in vivo models,senolytics,senescence,7,0,False,uncertain
"Rejuvenation of airway basal stem cells by partial chemical reprogramming Mengyu Zou1, Qiaoyu Chen1, Ying Hua1, Wei Zuo1,2* 1Tongji Stem Cell Center, Tongji University, Shanghai, China 2Kiangnan Institute of Stem Cell, Hangzhou, China",stem_cell,rejuvenation,3,1,True,uncertain
Ageing and exercise: building body capital in old age,exercise,,6,0,False,uncertain
High-speed resistance training vs. low-speed resistance training on body composition and physical function in adults with sarcopenic obesity,exercise,,2,0,False,uncertain
Viability of an educational program for lifestyle changes and an algorithm for the derivation of exercise programs in older people at risk of dependency at primary care: PRICA-POWFRAIL study protocol.,exercise; lifestyle_bundle,,2,0,False,uncertain
Senogenic-senolytic treatment strategies enhance tumor control and can improve survival in murine cancer models: a systematic review.,senolytics,survival,7,0,False,uncertain
From dysbiosis to longevity: a narrative review into the gut microbiome's impact on aging.,microbiome,,1,0,False,uncertain
The impacts of different dietary restriction regimens on aging and longevity: from yeast to humans.,caloric_restriction,,5,0,False,uncertain
Targeting PURPL RNA enabled rejuvenation of senescence cells via epigenetic reprogramming.,reprogramming,senescence; rejuvenation,0,1,True,include
"""Immunopause"" no more: exercise to counter immunosenescence in aging.",exercise,senescence,2,0,False,uncertain
Targeting the microbiome: from probiotics to fecal microbiota transplantation,microbiome,,1,0,False,uncertain
Rejuvenation of mesenchymal stromal cells via partial reprogramming enables scalable generation of transcriptionally diverse MSC libraries.,reprogramming,rejuvenation,0,1,True,uncertain
Sex-dependent locus coeruleus vulnerability in Alzheimer's disease: gut dysbiosis as a driver and probiotic intervention as rescue.,microbiome,,1,0,False,uncertain
Fecal microbiota transplantation modulates jejunal host-microbiota interface in weanling piglets,microbiome,,1,0,False,uncertain
Dynamics of gut bacteriophage in diversity outbred mice studied over lifespan and during extreme caloric restriction.,caloric_restriction,lifespan,5,0,False,uncertain
The fecal microbiota of wild and captive raptors,microbiome,,1,0,False,uncertain
Fecal microbiota transplantation in pigs: current status and future perspective,microbiome,,1,0,False,uncertain
A Critical Assessment of Fasting to Promote Metabolic Health and Longevity.,fasting,,0,0,False,uncertain
Age reprogramming: cell rejuvenation by partial reprogramming,reprogramming,rejuvenation,0,1,True,uncertain
"Longitudinal Bidirectional Associations between Physical Activity and Cognitive Ability in Older Adults across the United Kingdom, United States, and China.",exercise,,2,0,False,uncertain
Dietary restriction with and without caloric restriction for healthy aging,caloric_restriction,,5,0,False,uncertain
Reducing frailty in frail people with multiple sclerosis: Feasibility of a 6-week multimodal exercise training program.,exercise,frailty,2,0,False,include
"ASSOCIATION BETWEEN BERG BALANCE, PHYSIOLOGICAL PROFILE ASSESSMENT AND PHYSICAL ACTIVITY, PHYSICAL FUNCTION AND BODY COMPOSITION: A CROSS-SECTIONAL STUDY",exercise,,2,0,False,uncertain
"CHANGES OF BODY COMPOSITION, MUSCULAR STRENGTH AND PHYSICAL PERFORMANCE DUE TO RESISTANCE TRAINING IN OLDER PERSONS WITH SARCOPENIC OBESITY",exercise,,2,0,False,uncertain
EXERCISE: AN IMPORTANT KEY TO PREVENT PHYSICAL AND COGNITIVE FRAILTY,exercise,frailty,2,0,False,uncertain
RESISTANCE TRAINING AND CO-SUPPLEMENTATION WITH CREATINE AND PROTEIN IN OLDER SUBJECTS WITH FRAILTY,exercise; supplements,frailty,2,0,False,include
EXERCISE INTERVENTIONS FOR PRESERVING PHYSICAL FUNCTION AMONG CANCER SURVIVORS IN MIDDLE TO LATE LIFE,exercise,,2,0,False,uncertain
Educating Medical Students in Counselling Older Adults about Exercise: The Impact of a Physical Activity Module,exercise,,2,0,False,uncertain
The Sustained Impact of a Medical School-Based Physical Activity Module on Interns' Perceived Competence in Advising Older Adults About Exercise,exercise,,2,0,False,uncertain
"Multi-Component Exercise with High-Intensity, Free-Weight, Functional Resistance Training in Pre-Frail Females: A Quasi-Experimental, Pilot Study",exercise,,2,0,False,uncertain
Young Plasma Attenuated Chronic Kidney Disease Progression after Acute Kidney Injury by Inhibiting Inflammation in Mice,controversial,,0,1,True,uncertain
"Targeting Cellular Senescence in Aging and Age-Related Diseases: Challenges, Considerations, and the Emerging Role of Senolytic and Senomorphic Therapies",senolytics,senescence,7,0,False,uncertain
Fecal Microbiota Transplantation Attenuates Frailty via Gut-Muscle Axis in Old Mice,microbiome,frailty,1,0,False,uncertain
Fecal Microbiota Transfer from Young Mice Reverts Vascular Aging Hallmarks and Metabolic Impairments in Aged Mice,microbiome,,0,0,False,uncertain
The Impact of Young and/or Exercised Plasma Transfusions in Neurodegenerative Conditions: A Scoping Review,exercise,,0,0,False,uncertain
Prolonged Mild Sleep Restriction Changes Epigenome-Wide DNA Methylation in Peripheral Blood Cells: A Randomized Crossover Trial.,sleep_circadian,,0,0,False,uncertain
RISING STARS: Targeting premature cellular senescence using senomorphic or senolytic agents to impact diabetes,senolytics,senescence,7,0,False,uncertain
"Effects of Physical Activity, Exercise Training and Physical Fitness on Telomere Length as Biomarker of Cell Aging",exercise,,2,0,False,uncertain
Once again on rapamycin-induced insulin resistance and longevity: despite of or owing to,rapamycin_mtor,,0,0,False,uncertain
Rapamycin as longevity enhancer and cancer preventative agent in the context of p53 deficiency,rapamycin_mtor,,0,0,False,uncertain
"Metformin and rapamycin are master-keys for understanding the relationship between cell senescent, aging and cancer",metformin; rapamycin_mtor,,0,0,False,uncertain
Rapamycin for longevity: opinion article,rapamycin_mtor,,0,0,False,uncertain
Fasting for stem cell rejuvenation,fasting; stem_cell,rejuvenation,3,1,True,include
Evaluation of the effect of age of the younger mice on the rejuvenation of the older mice by heterochronic parabiosis,controversial,rejuvenation,0,1,True,uncertain
Towards disease-oriented dosing of rapamycin for longevity: does aging exist or only age-related diseases?,rapamycin_mtor,,0,0,False,uncertain
"Exploring the effects of Dasatinib, Quercetin, and Fisetin on DNA methylation clocks: a longitudinal study on senolytic interventions",senolytics,,7,0,False,uncertain
What is the clinical evidence to support off-label rapamycin therapy in healthy adults?,rapamycin_mtor,,0,0,False,uncertain
Exploring Senolytic and Senomorphic Properties of Medicinal Plants for Anti-Aging Therapies,senolytics,,7,1,True,uncertain
"Heterogeneity of Cellular Senescence, Senotyping, and Targeting by Senolytics and Senomorphics in Lung Diseases",senolytics,senescence,0,0,False,uncertain
"Rescuing Healthspan in Obese, Aged Mice: A Comparison between Multi-Ingredient Nutraceuticals and Senolytic Interventions",senolytics,healthspan,7,0,False,uncertain
