title,authors,year,journal,doi,pmid,source,is_preprint,study_design,species_model,sample_size,age_sex,disease_status,intervention_name,intervention_class,dose_intensity,duration,comparator,outcome_exact,ageing_domain_category,effect_direction,effect_size,uncertainty_measure,follow_up_time,mechanism,mechanism_directness,extraction_confidence,missingness_flag,ambiguity_notes,claim_score,claim_category
"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,2025.0,,10.1002/vms3.70854/v2/review1,,crossref,False,unclear_or_metadata_only,unclear,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Diet and Circadian Rhythms: Implications for Aging and Longevity,Jagota Anita; Khan Zeeshan Akhtar; Khan M. Sultan,2021.0,Healthy Ageing and Longevity,10.1007/978-3-030-83017-5_19,,crossref,False,unclear_or_metadata_only,unclear,,,,sleep_circadian,sleep_circadian,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Fasting and Caloric Restriction for Healthy Aging and Longevity,Sharma Sandeep; Kaur Gurcharan,2021.0,Healthy Ageing and Longevity,10.1007/978-3-030-83017-5_24,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction; fasting,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Microbiome and Probiotics for Ischemic Stroke,Wei Loo Keat,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-14023-5_18,,crossref,False,unclear_or_metadata_only,unclear,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Ageing and Human Gut Microbiome: The Taxonomic and Functional Transition Towards an Elderly-Type Microbiome,Rampelli Simone; Turroni Silvia; Candela Marco,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-14023-5_2,,crossref,False,unclear_or_metadata_only,human,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,9.5,promising_but_incomplete
Ageing of the Gut Microbiome and Its Potential Contribution Towards Immunesenescence and Inflammaging,Conway Jessica; Rees Nia Paddison; Duggal Niharika A.,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-14023-5_3,,crossref,False,unclear_or_metadata_only,unclear,,,,microbiome,microbiome,,,,senescence; inflammaging,biological_ageing_biomarker,not_extracted_metadata_only,,,,cellular_senescence; inflammaging; microbiome_host,inferred_from_title_abstract,0.6,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,7.0,biomarker_or_preclinical_evidence
Gut Microbiome and Virome: Anti-Aging Interventions,Singh Birbal; Mal Gorakh; Sharma Dixit; Al Nakshabandi Ahmad; Marotta Francesco,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-14023-5_4,,crossref,False,unclear_or_metadata_only,unclear,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Sleep and Clocks in Aging and Longevity,,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-22468-3,,crossref,False,unclear_or_metadata_only,unclear,,,,sleep_circadian,sleep_circadian,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Circadian Rhythms and Time-Restricted Eating in Healthy Aging and Longevity,Bajaj Payal; Kaur Gurcharan,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-22468-3_20,,crossref,False,unclear_or_metadata_only,unclear,,,,sleep_circadian,sleep_circadian,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Optimum Sleep for Healthy Ageing,Mallick Birendra Nath; Mehta Rachna,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-22468-3_6,,crossref,False,unclear_or_metadata_only,unclear,,,,sleep_circadian,sleep_circadian,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
"Sleep, Ageing, and Cognitive Decline",Melnattur Krishna,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-22468-3_9,,crossref,False,unclear_or_metadata_only,unclear,,,,sleep_circadian,sleep_circadian,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Fecal Transplant: The Benefits and Harms of Fecal Microbiota Transplantation,Goldenberg David; Melmed Gil Y.,2023.0,Clinical Understanding of the Human Gut Microbiome,10.1007/978-3-031-46712-7_9,,crossref,False,unclear_or_metadata_only,unclear,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Caloric Restriction and Biomarkers of Aging,Racette Susan B.; Das Sai Krupa,2024.0,"Intermittent and Periodic Fasting, Aging and Disease",10.1007/978-3-031-49622-6_1,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Circadian Clocks and mTOR Signaling,Gupta Richa; Kondratov Roman V.,2017.0,Healthy Ageing and Longevity,10.1007/978-3-319-64543-8_9,,crossref,False,unclear_or_metadata_only,unclear,,,,sleep_circadian,sleep_circadian; rapamycin_mtor,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,nutrient_sensing,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,7.0,biomarker_or_preclinical_evidence
Stem Cell Aging: An Overview,Jasper Heinrich,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_1,,crossref,False,in_vitro_study,cellular,,,,stem_cell,stem_cell,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,stem_cell_effects,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.5,speculative_or_hype_heavy
Aging of Muscle Stem Cells,McKay Bryon R.; Parise Gianni,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_10,,crossref,False,in_vitro_study,cellular,,,,stem_cell,stem_cell,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,stem_cell_effects,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.5,speculative_or_hype_heavy
Aging of Human Mesenchymal Stem Cells,Lepperdinger Günter; Reitinger Stephan,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_11,,crossref,False,in_vitro_study,cellular,,,,stem_cell,stem_cell,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,stem_cell_effects,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.5,speculative_or_hype_heavy
Aging of the Hematopoietic Stem Cell Niches,Cancelas Jose A.; Chang Kyung-Hee,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_12,,crossref,False,in_vitro_study,cellular,,,,stem_cell,stem_cell,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,stem_cell_effects,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.5,speculative_or_hype_heavy
Hematopoietic Stem Cell Aging and Leukemogenesis,Henry Curtis J.; Rozhok Andrii I.; DeGregori James,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_13,,crossref,False,in_vitro_study,cellular,,,,stem_cell,stem_cell,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,stem_cell_effects,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.5,speculative_or_hype_heavy
Closing the Circle: Stem Cell Rejuvenation and Longevity,Florian Maria Carolina; Geiger Hartmut,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_16,,crossref,False,in_vitro_study,cellular,,,,stem_cell,stem_cell,,,,rejuvenation,surrogate_or_indirect,not_extracted_metadata_only,,,,stem_cell_effects,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.5,speculative_or_hype_heavy
Aging of Intestinal Stem Cells in Drosophila Melanogaster,Biteau Benoît,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_5,,crossref,False,animal_experiment,animal,,,,stem_cell,stem_cell,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,stem_cell_effects,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Aging of Murine Hematopoietic Stem Cells,Wόjtowicz Edyta; Verovskaya Evgenia; de Haan Gerald,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_6,,crossref,False,in_vitro_study,animal,,,,stem_cell,stem_cell,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,stem_cell_effects,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Aging of Human Haematopoietic Stem Cells,Garrick David; Djeghloul Dounia; Kuranda Klaudia; Goodhardt Michele,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_7,,crossref,False,in_vitro_study,cellular,,,,stem_cell,stem_cell,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,stem_cell_effects,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.5,speculative_or_hype_heavy
Aging of Mammalian Intestinal Stem Cells,Sperka Tobias; Rudolph Lenhard,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_9,,crossref,False,in_vitro_study,cellular,,,,stem_cell,stem_cell,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,stem_cell_effects,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.5,speculative_or_hype_heavy
"History of Caloric Restriction, Aging and Longevity",Masoro Edward J.,2010.0,"Calorie Restriction, Aging and Longevity",10.1007/978-90-481-8556-6_1,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
"Caloric Restriction, Fasting, and Antiaging Medicine: Fasting, the Biological Signals of Starvation, and Antiaging",Uno Masaharu; Nishida Eisuke,2024.0,Anti-Aging Medicine,10.1007/978-981-97-8514-8_63,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction; fasting,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Caloric Restriction and Starvation in Antiaging Medicine: Caloric Restriction Mimetics,Shinmura Ken,2024.0,Anti-Aging Medicine,10.1007/978-981-97-8514-8_64,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Physical Activity and Anti-Aging: Prevention of Sarcopenia and Frailty Through Exercise,Ogawa Sumito,2024.0,Anti-Aging Medicine,10.1007/978-981-97-8514-8_85,,crossref,False,unclear_or_metadata_only,unclear,,,,exercise,exercise,,,,frailty,healthspan_functional_ageing,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,9.0,promising_but_incomplete
Gut Microbiome and Brain Ageing,,2024.0,,10.1007/978-981-99-8803-7,,crossref,False,unclear_or_metadata_only,unclear,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Gut Microbiome and Brain Aging,Suresh Anjana; Prasad Pravi; Panicker Sreejith Parameswara,2024.0,Gut Microbiome and Brain Ageing,10.1007/978-981-99-8803-7_1,,crossref,False,unclear_or_metadata_only,unclear,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
What is the role played by physical activity and exercise in the frailty syndrome? Perspectives for future research,de Souto Barreto Philipe,2010.0,Aging Clinical and Experimental Research,10.1007/bf03337731,,crossref,False,unclear_or_metadata_only,unclear,,,,exercise,exercise,,,,frailty,healthspan_functional_ageing,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,9.0,promising_but_incomplete
Probiotic and microbial modulation of polyamine production: an emerging avenue for neuroprotection in neurodegenerative disorders.,"Adhikari T, Saha P.",2026.0,Amino Acids,10.1007/s00726-026-03505-5,41721117.0,europe_pmc,False,animal_experiment,unclear,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Rejuvenation of cerebromicrovascular function in aged mice through heterochronic parabiosis: insights into neurovascular coupling and the impact of young blood factors.,"Gulej R, Nyúl-Tóth Á, Csik B, Petersen B, Faakye J, Negri S, Chandragiri SS, Mukli P, Yabluchanskiy A, Conley S, Huffman DM, Csiszar A, Tarantini S, Ungvari Z.",2024.0,Geroscience,10.1007/s11357-023-01039-2,38123890.0,europe_pmc,False,animal_experiment,animal,,,,controversial,controversial,,,,rejuvenation,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,3.5,speculative_or_hype_heavy
Young blood-mediated cerebromicrovascular rejuvenation through heterochronic parabiosis: enhancing blood-brain barrier integrity and capillarization in the aged mouse brain.,"Gulej R, Nyúl-Tóth Á, Csik B, Patai R, Petersen B, Negri S, Chandragiri SS, Shanmugarama S, Mukli P, Yabluchanskiy A, Conley S, Huffman D, Tarantini S, Csiszar A, Ungvari Z.",2024.0,Geroscience,10.1007/s11357-024-01154-8,38727872.0,europe_pmc,False,animal_experiment,animal,,,,controversial,controversial,,,,rejuvenation,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,3.5,speculative_or_hype_heavy
"Impacts of systemic milieu on cerebrovascular and brain aging: insights from heterochronic parabiosis, blood exchange, and plasma transfer experiments.","Gulej R, Patai R, Ungvari A, Kallai A, Tarantini S, Yabluchanskiy A, Huffman DM, Conboy MJ, Conboy IM, Kivimäki M, Csiszar A, Ungvari Z.",2025.0,Geroscience,10.1007/s11357-025-01657-y,40407975.0,europe_pmc,False,unclear_or_metadata_only,human,,,,controversial,controversial,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.0,biomarker_or_preclinical_evidence
Glucagon receptor signaling is indispensable for the healthspan effects of caloric restriction in aging male mice.,"Bruner KR, Byington IR, Marx TJ, Vasileva A, Fletcher T, Ghimire S, Zappia IJ, Shaju Y, Zeng J, Wachsmuth HR, Carlyon TW, Besselsen DG, Drucker DJ, Duca FA, Stern JH.",2026.0,Geroscience,10.1007/s11357-025-01899-w,40993467.0,europe_pmc,False,animal_experiment,animal,,,,caloric_restriction,caloric_restriction,,,,healthspan,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,7.0,biomarker_or_preclinical_evidence
Safety of resistance training in the elderly,Sagiv Michael,2009.0,European Review of Aging and Physical Activity,10.1007/s11556-009-0047-8,,crossref,False,unclear_or_metadata_only,unclear,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.5,biomarker_or_preclinical_evidence
Effects of Resistance Exercise Training on Cognitive Function and Physical Performance in Cognitive Frailty: A Randomized Controlled Trial,Yoon D.H.; Lee Jun-Young; Song Wook,2018.0,"The Journal of nutrition, health and aging",10.1007/s12603-018-1090-9,,crossref,False,RCT_or_clinical_trial,human,,,,exercise,exercise,,,,frailty,healthspan_functional_ageing,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.6,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,13.0,supported_for_healthspan_related_benefit
NAD+ Precursors Nicotinamide Mononucleotide (NMN) and Nicotinamide Riboside (NR): Potential Dietary Contribution to Health,Alegre Gabriela Fabiana Soares; Pastore Glaucia Maria,2023.0,Current Nutrition Reports,10.1007/s13668-023-00475-y,,crossref,False,unclear_or_metadata_only,unclear,,,,nad_sirtuin,nad_sirtuin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Recommendations from the European interdisciplinary council on ageing on physical activity and diet for mental health conditions in older adults.,"Veronese N, Gianfredi V, Smith L, Al-Daghri N, Barratt J, Beaudart C, Bellelli G, Bruyère O, Diaz-Ponce AM, Demurtas J, Firth J, Frederiksen KS, Karpenko O, Limongi F, Petrovic M, Prokopidis K, Reginster JY, Rizzoli R, Ramalho R, Sabico S, Schuch FB, Schlögl M, Shenkin SD, Sieber C, Solmi M, Soysal P, Stubbs B, Yang L, Zanetti M, Maggi S.",2026.0,Aging Clin Exp Res,10.1007/s40520-025-03315-x,41636947.0,europe_pmc,False,unclear_or_metadata_only,human,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,10.5,promising_but_incomplete
Rapamycin (Sirolimus),,,SpringerReference,10.1007/springerreference_36540,,crossref,False,unclear_or_metadata_only,unclear,,,,rapamycin_mtor,rapamycin_mtor,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,nutrient_sensing,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Change of the hepatic cells in parabiosis between old and young rats,Tauchi Hisashi; Hasegawa Katsumi,1977.0,Mechanisms of Ageing and Development,10.1016/0047-6374(77)90034-3,,crossref,False,animal_experiment,cellular,,,,controversial,controversial,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,2.5,speculative_or_hype_heavy
Changes in hepatic cell mitochondria during parabiosis between old and young rats,Tauchi Hisashi; Sato Tsuneko,1980.0,Mechanisms of Ageing and Development,10.1016/0047-6374(80)90023-8,,crossref,False,animal_experiment,cellular,,,,controversial,controversial,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,mitochondrial_function,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.0,speculative_or_hype_heavy
"Changes with aging, sex and physical exercise in murine natural killer activity and antibody-dependent cellular cytotoxicity",FERRANDEZ M,1996.0,Mechanisms of Ageing and Development,10.1016/0047-6374(95)01679-1,,crossref,False,in_vitro_study,animal,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,8.0,promising_but_incomplete
Influence of physical exercise on aging rats: I. Life-long exercise preserves patterns of spontaneous activity,Skalicky Monika; Bubna-Littitz Hermann; Viidik Andrus,1996.0,Mechanisms of Ageing and Development,10.1016/0047-6374(96)01707-1,,crossref,False,animal_experiment,unclear,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.5,biomarker_or_preclinical_evidence
