title,rob_randomization,rob_blinding,rob_missing_data,rob_confounding,rob_outcome_measurement,rob_selective_reporting,rob_overall
A Multidomain Lifestyle Intervention Is Associated With Improved Functional Trajectories and Favorable Changes in Epigenetic Aging Markers in Frail Older Adults: A Randomized Controlled Trial.,low_concern,low_concern,some_concern,low_concern_rct_design,some_concern,unclear_without_protocol,low_to_some_concern_pending_full_text_review
A phase II randomized placebo-controlled study of fisetin to improve physical function in breast cancer survivors: the TROFFi study rationale and trial design.,low_concern,low_concern,some_concern,low_concern_rct_design,some_concern,unclear_without_protocol,low_to_some_concern_pending_full_text_review
Viability of an educational program for lifestyle changes and an algorithm for the derivation of exercise programs in older people at risk of dependency at primary care: PRICA-POWFRAIL study protocol.,low_concern,low_concern,some_concern,low_concern_rct_design,some_concern,unclear_without_protocol,low_to_some_concern_pending_full_text_review
Epigenetic and microbiome responses to greens supplementation in obese older adults: results from a randomized crossover-controlled trial.,low_concern,low_concern,unclear,low_concern_rct_design,some_concern,unclear_without_protocol,low_to_some_concern_pending_full_text_review
"Test of Rapamycin in Aging Dogs (TRIAD): study design and rationale for a prospective, parallel-group, double-masked, randomized, placebo-controlled, multicenter trial of rapamycin in healthy middle-aged dogs from the Dog Aging Project.",low_concern,low_concern,unclear,low_concern_rct_design,some_concern,unclear_without_protocol,low_to_some_concern_pending_full_text_review
J012 NAD-HD: a randomized clinical trial of nicotinamide riboside in Huntington’s disease,some_concern,some_concern,unclear,low_concern_rct_design,some_concern,unclear_without_protocol,some_concern
"Obesity and Metabolic Disease Impair the Anabolic Response to Protein Supplementation and Resistance Exercise: A Retrospective Analysis of a Randomized Clinical Trial with Implications for Aging, Sarcopenic Obesity, and Weight Management.",low_concern,some_concern,unclear,low_concern_rct_design,some_concern,unclear_without_protocol,some_concern
Erratum. Effects of Dancing Associated With Resistance Training on Functional Parameters and Quality of Life of Aging Women: A Randomized Controlled Trial,some_concern,some_concern,unclear,low_concern_rct_design,some_concern,unclear_without_protocol,some_concern
"The efficacy and safety of β-nicotinamide mononucleotide (NMN) supplementation in healthy middle-aged adults: a randomized, multicenter, double-blind, placebo-controlled, parallel-group, dose-dependent clinical trial.",low_concern,low_concern,unclear,low_concern_rct_design,some_concern,unclear_without_protocol,low_to_some_concern_pending_full_text_review
Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,low_concern,some_concern,unclear,low_concern_rct_design,some_concern,unclear_without_protocol,some_concern
DNA methylation-based biomarkers of aging were slowed down in a two-year diet and physical activity intervention trial: the DAMA study.,low_concern,some_concern,unclear,low_concern_rct_design,some_concern,unclear_without_protocol,some_concern
The Additive Effects of Creatine Supplementation and Exercise Training in an Aging Population: A Systematic Review of Randomized Controlled Trials.,low_concern,some_concern,unclear,low_concern_rct_design,some_concern,unclear_without_protocol,some_concern
Effect of a multicomponent exercise programme (VIVIFRAIL) on functional capacity in frail community elders with cognitive decline: study protocol for a randomized multicentre control trial.,low_concern,some_concern,unclear,low_concern_rct_design,some_concern,unclear_without_protocol,some_concern
Exercise interventions to improve physical frailty and physical frailty components in older adults with hypertension: A systematic review,unclear_or_not_applicable,unclear_or_not_applicable,unclear,serious_or_unclear,low_or_some_concern,unclear_without_protocol,serious_or_unclear
"Preserving Mobility in Older Adults with Physical Frailty and Sarcopenia: Opportunities, Challenges, and Recommendations for Physical Activity Interventions.",unclear_or_not_applicable,unclear_or_not_applicable,unclear,serious_or_unclear,low_or_some_concern,unclear_without_protocol,serious_or_unclear
Effects of Diactive-1-Supported Progressive Resistance Training on Body Composition in Youth With Type 1 Diabetes.,low_concern,some_concern,unclear,low_concern_rct_design,some_concern,unclear_without_protocol,some_concern
Diet quality and nutritional adequacy during a 2-year calorie restriction intervention: the Comprehensive Assessment of Long-Term Effects of Reducing Intake of Energy 2 trial.,low_concern,some_concern,unclear,low_concern_rct_design,some_concern,unclear_without_protocol,some_concern
Recommendations from the European interdisciplinary council on ageing on physical activity and diet for mental health conditions in older adults.,not_applicable,not_applicable_or_unclear,unclear,some_concern_observational_confounding,some_concern,unclear_without_protocol,some_concern
Circadian rhythm disruption impairs ovarian follicular development via NAD&lt;sup&gt;+&lt;/sup&gt; metabolic reprogramming.,unclear_or_not_applicable,unclear_or_not_applicable,unclear,serious_or_unclear,some_concern,unclear_without_protocol,serious_or_unclear
The NAD-brain pharmacokinetic study of NAD augmentation in blood and brain using oral precursor supplementation.,not_applicable,not_applicable_or_unclear,unclear,some_concern_observational_confounding,some_concern,unclear_without_protocol,some_concern
Rapamycin Exerts Its Geroprotective Effects in the Ageing Human Immune System by Enhancing Resilience Against DNA Damage.,unclear_or_not_applicable,unclear_or_not_applicable,unclear,serious_or_unclear,some_concern,unclear_without_protocol,serious_or_unclear
Biohacking the human gut microbiome for precision health and therapeutic innovation.,not_applicable,not_applicable_or_unclear,unclear,some_concern_observational_confounding,some_concern,unclear_without_protocol,some_concern
Research advances in exercise management for frail older adults.,unclear_or_not_applicable,unclear_or_not_applicable,unclear,serious_or_unclear,some_concern,unclear_without_protocol,serious_or_unclear
Editorial: Integrated strategies for lifelong health: multidimensional approaches to aging and lifestyle interventions.,not_applicable,not_applicable_or_unclear,unclear,some_concern_observational_confounding,some_concern,unclear_without_protocol,some_concern
Effects of exercise training on frail older adults with heart failure: a systematic-review.,unclear_or_not_applicable,unclear_or_not_applicable,unclear,serious_or_unclear,some_concern,unclear_without_protocol,serious_or_unclear
"Diet, the Gut Microbiome, and Estrogen Physiology: A Review in Menopausal Health and Interventions.",not_applicable,not_applicable_or_unclear,unclear,some_concern_observational_confounding,some_concern,unclear_without_protocol,some_concern
Physical activity attenuates the association between allostatic load and early Alzheimer's disease‐related biomarkers in older adults,not_applicable,not_applicable_or_unclear,some_concern,some_concern_observational_confounding,some_concern,unclear_without_protocol,some_concern
"Impacts of systemic milieu on cerebrovascular and brain aging: insights from heterochronic parabiosis, blood exchange, and plasma transfer experiments.",not_applicable,not_applicable_or_unclear,unclear,some_concern_observational_confounding,some_concern,unclear_without_protocol,some_concern
