source,source_stream,query,record_id,title,abstract,authors,year,journal,doi,pmid,pmcid,url,publication_type,is_preprint,retrieved_at,dedup_key,title_norm,screen_label,screen_confidence,exclusion_reason,intervention_classes,outcome_terms,evidence_model,retrieval_status,retrieval_note
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",6421f1fa108da400b948f9015b590d60,"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,,2025.0,,10.1002/vms3.70854/v2/review1,,,https://doi.org/10.1002/vms3.70854/v2/review1,peer-review,False,2026-04-23T01:41:51,doi:10.1002/vms3.70854/v2/review1,review for survey on fecal microbiota transplantation and probiotic use in equine practice in france and belgium,uncertain,0.45,ageing_outcome_unclear,microbiome,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),221bf6874d7d7856a84e5a362ee19ec2,Diet and Circadian Rhythms: Implications for Aging and Longevity,,Jagota Anita; Khan Zeeshan Akhtar; Khan M. Sultan,2021.0,Healthy Ageing and Longevity,10.1007/978-3-030-83017-5_19,,,https://doi.org/10.1007/978-3-030-83017-5_19,book-chapter,False,2026-04-23T01:41:23,doi:10.1007/978-3-030-83017-5_19,diet and circadian rhythms implications for aging and longevity,uncertain,0.45,ageing_outcome_unclear,sleep_circadian,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",06cf66f797d0a46ad590c4b5fc62798d,Fasting and Caloric Restriction for Healthy Aging and Longevity,,Sharma Sandeep; Kaur Gurcharan,2021.0,Healthy Ageing and Longevity,10.1007/978-3-030-83017-5_24,,,https://doi.org/10.1007/978-3-030-83017-5_24,book-chapter,False,2026-04-23T01:41:06,doi:10.1007/978-3-030-83017-5_24,fasting and caloric restriction for healthy aging and longevity,uncertain,0.45,ageing_outcome_unclear,caloric_restriction; fasting,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",bc5b0a3e20c73c43ca145ff1de0d691a,Microbiome and Probiotics for Ischemic Stroke,,Wei Loo Keat,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-14023-5_18,,,https://doi.org/10.1007/978-3-031-14023-5_18,book-chapter,False,2026-04-23T01:41:51,doi:10.1007/978-3-031-14023-5_18,microbiome and probiotics for ischemic stroke,uncertain,0.45,ageing_outcome_unclear,microbiome,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",323c04e44c8e94c8ffee147ff05c3476,Ageing and Human Gut Microbiome: The Taxonomic and Functional Transition Towards an Elderly-Type Microbiome,,Rampelli Simone; Turroni Silvia; Candela Marco,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-14023-5_2,,,https://doi.org/10.1007/978-3-031-14023-5_2,book-chapter,False,2026-04-23T01:41:51,doi:10.1007/978-3-031-14023-5_2,ageing and human gut microbiome the taxonomic and functional transition towards an elderly type microbiome,uncertain,0.45,ageing_outcome_unclear,microbiome,,human,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",c03ea0012cc5346296b4123ef594d216,Ageing of the Gut Microbiome and Its Potential Contribution Towards Immunesenescence and Inflammaging,,Conway Jessica; Rees Nia Paddison; Duggal Niharika A.,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-14023-5_3,,,https://doi.org/10.1007/978-3-031-14023-5_3,book-chapter,False,2026-04-23T01:41:51,doi:10.1007/978-3-031-14023-5_3,ageing of the gut microbiome and its potential contribution towards immunesenescence and inflammaging,include,0.75,,microbiome,senescence; inflammaging,unclear,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",ad48daeee09d8d3e6b1f807c880ecfeb,Gut Microbiome and Virome: Anti-Aging Interventions,,Singh Birbal; Mal Gorakh; Sharma Dixit; Al Nakshabandi Ahmad; Marotta Francesco,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-14023-5_4,,,https://doi.org/10.1007/978-3-031-14023-5_4,book-chapter,False,2026-04-23T01:41:51,doi:10.1007/978-3-031-14023-5_4,gut microbiome and virome anti aging interventions,uncertain,0.45,ageing_outcome_unclear,microbiome,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),2db4f89980b4791145e0b72d063a25e6,Sleep and Clocks in Aging and Longevity,,,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-22468-3,,,https://doi.org/10.1007/978-3-031-22468-3,book,False,2026-04-23T01:41:23,doi:10.1007/978-3-031-22468-3,sleep and clocks in aging and longevity,uncertain,0.45,ageing_outcome_unclear,sleep_circadian,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),90646dcc3bb5d526dc18521141226f7c,Circadian Rhythms and Time-Restricted Eating in Healthy Aging and Longevity,,Bajaj Payal; Kaur Gurcharan,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-22468-3_20,,,https://doi.org/10.1007/978-3-031-22468-3_20,book-chapter,False,2026-04-23T01:41:23,doi:10.1007/978-3-031-22468-3_20,circadian rhythms and time restricted eating in healthy aging and longevity,uncertain,0.45,ageing_outcome_unclear,sleep_circadian,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),c7510ed17f58aacba226c9d020dc291d,Optimum Sleep for Healthy Ageing,,Mallick Birendra Nath; Mehta Rachna,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-22468-3_6,,,https://doi.org/10.1007/978-3-031-22468-3_6,book-chapter,False,2026-04-23T01:41:23,doi:10.1007/978-3-031-22468-3_6,optimum sleep for healthy ageing,uncertain,0.45,ageing_outcome_unclear,sleep_circadian,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),28e3098f59aac7a309d8d06cabf62418,"Sleep, Ageing, and Cognitive Decline",,Melnattur Krishna,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-22468-3_9,,,https://doi.org/10.1007/978-3-031-22468-3_9,book-chapter,False,2026-04-23T01:41:23,doi:10.1007/978-3-031-22468-3_9,sleep ageing and cognitive decline,uncertain,0.45,ageing_outcome_unclear,sleep_circadian,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",7a29ba80b72f21361c0bff01e65a75ed,Fecal Transplant: The Benefits and Harms of Fecal Microbiota Transplantation,,Goldenberg David; Melmed Gil Y.,2023.0,Clinical Understanding of the Human Gut Microbiome,10.1007/978-3-031-46712-7_9,,,https://doi.org/10.1007/978-3-031-46712-7_9,book-chapter,False,2026-04-23T01:41:51,doi:10.1007/978-3-031-46712-7_9,fecal transplant the benefits and harms of fecal microbiota transplantation,uncertain,0.45,ageing_outcome_unclear,microbiome,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",3d8ef9c077f56dcf1d6db2c39955f918,Caloric Restriction and Biomarkers of Aging,,Racette Susan B.; Das Sai Krupa,2024.0,"Intermittent and Periodic Fasting, Aging and Disease",10.1007/978-3-031-49622-6_1,,,https://doi.org/10.1007/978-3-031-49622-6_1,book-chapter,False,2026-04-23T01:41:06,doi:10.1007/978-3-031-49622-6_1,caloric restriction and biomarkers of aging,uncertain,0.45,ageing_outcome_unclear,caloric_restriction,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),49a61d9f9549d89ed73a72bc4d25f66e,Circadian Clocks and mTOR Signaling,,Gupta Richa; Kondratov Roman V.,2017.0,Healthy Ageing and Longevity,10.1007/978-3-319-64543-8_9,,,https://doi.org/10.1007/978-3-319-64543-8_9,book-chapter,False,2026-04-23T01:41:23,doi:10.1007/978-3-319-64543-8_9,circadian clocks and mtor signaling,uncertain,0.45,ageing_outcome_unclear,sleep_circadian; rapamycin_mtor,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",6eba8354dd0424d2677ef105fa984e4c,Stem Cell Aging: An Overview,,Jasper Heinrich,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_1,,,https://doi.org/10.1007/978-3-7091-1232-8_1,book-chapter,False,2026-04-23T01:41:45,doi:10.1007/978-3-7091-1232-8_1,stem cell aging an overview,uncertain,0.45,ageing_outcome_unclear,stem_cell,,cellular,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",deea0479f0d10aab7dda3437e7cbaacd,Aging of Muscle Stem Cells,,McKay Bryon R.; Parise Gianni,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_10,,,https://doi.org/10.1007/978-3-7091-1232-8_10,book-chapter,False,2026-04-23T01:41:45,doi:10.1007/978-3-7091-1232-8_10,aging of muscle stem cells,uncertain,0.45,ageing_outcome_unclear,stem_cell,,cellular,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",52834de9bae803a9fb40d91a38d89c3d,Aging of Human Mesenchymal Stem Cells,,Lepperdinger Günter; Reitinger Stephan,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_11,,,https://doi.org/10.1007/978-3-7091-1232-8_11,book-chapter,False,2026-04-23T01:41:45,doi:10.1007/978-3-7091-1232-8_11,aging of human mesenchymal stem cells,uncertain,0.45,ageing_outcome_unclear,stem_cell,,cellular,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",21d18b8bdafdf8eb94f3540af5d7386c,Aging of the Hematopoietic Stem Cell Niches,,Cancelas Jose A.; Chang Kyung-Hee,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_12,,,https://doi.org/10.1007/978-3-7091-1232-8_12,book-chapter,False,2026-04-23T01:41:45,doi:10.1007/978-3-7091-1232-8_12,aging of the hematopoietic stem cell niches,uncertain,0.45,ageing_outcome_unclear,stem_cell,,cellular,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",b5f52d869ae1f6e93b7b70029925bbc4,Hematopoietic Stem Cell Aging and Leukemogenesis,,Henry Curtis J.; Rozhok Andrii I.; DeGregori James,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_13,,,https://doi.org/10.1007/978-3-7091-1232-8_13,book-chapter,False,2026-04-23T01:41:45,doi:10.1007/978-3-7091-1232-8_13,hematopoietic stem cell aging and leukemogenesis,uncertain,0.45,ageing_outcome_unclear,stem_cell,,cellular,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",3f6f2b5b7a0fab4883345d0e96aa6c39,Closing the Circle: Stem Cell Rejuvenation and Longevity,,Florian Maria Carolina; Geiger Hartmut,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_16,,,https://doi.org/10.1007/978-3-7091-1232-8_16,book-chapter,False,2026-04-23T01:41:45,doi:10.1007/978-3-7091-1232-8_16,closing the circle stem cell rejuvenation and longevity,uncertain,0.55,needs_full_text_or_abstract,stem_cell,rejuvenation,cellular,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",5d249a6af016a24bc1922bf7ab2fa9c8,Aging of Intestinal Stem Cells in Drosophila Melanogaster,,Biteau Benoît,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_5,,,https://doi.org/10.1007/978-3-7091-1232-8_5,book-chapter,False,2026-04-23T01:41:45,doi:10.1007/978-3-7091-1232-8_5,aging of intestinal stem cells in drosophila melanogaster,uncertain,0.45,ageing_outcome_unclear,stem_cell,,animal,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",2623ab93867c964436e2a735373d595f,Aging of Murine Hematopoietic Stem Cells,,Wόjtowicz Edyta; Verovskaya Evgenia; de Haan Gerald,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_6,,,https://doi.org/10.1007/978-3-7091-1232-8_6,book-chapter,False,2026-04-23T01:41:45,doi:10.1007/978-3-7091-1232-8_6,aging of murine hematopoietic stem cells,uncertain,0.45,ageing_outcome_unclear,stem_cell,,animal,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",c86d066b61eb90b62603968e148d35dd,Aging of Human Haematopoietic Stem Cells,,Garrick David; Djeghloul Dounia; Kuranda Klaudia; Goodhardt Michele,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_7,,,https://doi.org/10.1007/978-3-7091-1232-8_7,book-chapter,False,2026-04-23T01:41:45,doi:10.1007/978-3-7091-1232-8_7,aging of human haematopoietic stem cells,uncertain,0.45,ageing_outcome_unclear,stem_cell,,cellular,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",5e84ff4543629dce2739dcb1aba89e4e,Aging of Mammalian Intestinal Stem Cells,,Sperka Tobias; Rudolph Lenhard,2015.0,"Stem Cell Aging: Mechanisms, Consequences, Rejuvenation",10.1007/978-3-7091-1232-8_9,,,https://doi.org/10.1007/978-3-7091-1232-8_9,book-chapter,False,2026-04-23T01:41:45,doi:10.1007/978-3-7091-1232-8_9,aging of mammalian intestinal stem cells,uncertain,0.45,ageing_outcome_unclear,stem_cell,,cellular,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",bc0755a89b515ec002c1267154244d97,"History of Caloric Restriction, Aging and Longevity",,Masoro Edward J.,2010.0,"Calorie Restriction, Aging and Longevity",10.1007/978-90-481-8556-6_1,,,https://doi.org/10.1007/978-90-481-8556-6_1,book-chapter,False,2026-04-23T01:41:06,doi:10.1007/978-90-481-8556-6_1,history of caloric restriction aging and longevity,uncertain,0.45,ageing_outcome_unclear,caloric_restriction,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",2d9b3404d0b63f796148b38aa0b91bda,"Caloric Restriction, Fasting, and Antiaging Medicine: Fasting, the Biological Signals of Starvation, and Antiaging",,Uno Masaharu; Nishida Eisuke,2024.0,Anti-Aging Medicine,10.1007/978-981-97-8514-8_63,,,https://doi.org/10.1007/978-981-97-8514-8_63,book-chapter,False,2026-04-23T01:41:06,doi:10.1007/978-981-97-8514-8_63,caloric restriction fasting and antiaging medicine fasting the biological signals of starvation and antiaging,uncertain,0.45,ageing_outcome_unclear,caloric_restriction; fasting,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",46bfc8324e140d4d77d6c1d6662dc9ce,Caloric Restriction and Starvation in Antiaging Medicine: Caloric Restriction Mimetics,,Shinmura Ken,2024.0,Anti-Aging Medicine,10.1007/978-981-97-8514-8_64,,,https://doi.org/10.1007/978-981-97-8514-8_64,book-chapter,False,2026-04-23T01:41:06,doi:10.1007/978-981-97-8514-8_64,caloric restriction and starvation in antiaging medicine caloric restriction mimetics,uncertain,0.45,ageing_outcome_unclear,caloric_restriction,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR healthspan OR frailty) AND (exercise OR ""physical activity"" OR ""resistance training"")",7e1f796237b5f247306e16d1c3935971,Physical Activity and Anti-Aging: Prevention of Sarcopenia and Frailty Through Exercise,,Ogawa Sumito,2024.0,Anti-Aging Medicine,10.1007/978-981-97-8514-8_85,,,https://doi.org/10.1007/978-981-97-8514-8_85,book-chapter,False,2026-04-23T01:41:16,doi:10.1007/978-981-97-8514-8_85,physical activity and anti aging prevention of sarcopenia and frailty through exercise,uncertain,0.55,needs_full_text_or_abstract,exercise,frailty,unclear,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",200bf02aabf2d8cd8dd54234fb3bba86,Gut Microbiome and Brain Ageing,,,2024.0,,10.1007/978-981-99-8803-7,,,https://doi.org/10.1007/978-981-99-8803-7,book,False,2026-04-23T01:41:51,doi:10.1007/978-981-99-8803-7,gut microbiome and brain ageing,uncertain,0.45,ageing_outcome_unclear,microbiome,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",9cf5178977842c2ac17f68e43f6fe169,Gut Microbiome and Brain Aging,,Suresh Anjana; Prasad Pravi; Panicker Sreejith Parameswara,2024.0,Gut Microbiome and Brain Ageing,10.1007/978-981-99-8803-7_1,,,https://doi.org/10.1007/978-981-99-8803-7_1,book-chapter,False,2026-04-23T01:41:51,doi:10.1007/978-981-99-8803-7_1,gut microbiome and brain aging,uncertain,0.45,ageing_outcome_unclear,microbiome,,unclear,link_available,Full text link or landing page available
crossref,bibliographic,"(aging OR ageing OR healthspan OR frailty) AND (exercise OR ""physical activity"" OR ""resistance training"")",fa7fc82342315b5489af2b22cc496ff5,What is the role played by physical activity and exercise in the frailty syndrome? Perspectives for future research,,de Souto Barreto Philipe,2010.0,Aging Clinical and Experimental Research,10.1007/bf03337731,,,https://doi.org/10.1007/bf03337731,journal-article,False,2026-04-23T01:41:16,doi:10.1007/bf03337731,what is the role played by physical activity and exercise in the frailty syndrome perspectives for future research,uncertain,0.55,needs_full_text_or_abstract,exercise,frailty,unclear,link_available,Full text link or landing page available
europe_pmc,mixed,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",4a5b096b77cff866133320d1886f499a,Probiotic and microbial modulation of polyamine production: an emerging avenue for neuroprotection in neurodegenerative disorders.,,"Adhikari T, Saha P.",2026.0,Amino Acids,10.1007/s00726-026-03505-5,41721117.0,PMC12963084,,review-article; review; journal article,False,2026-04-23T01:41:50,doi:10.1007/s00726-026-03505-5,probiotic and microbial modulation of polyamine production an emerging avenue for neuroprotection in neurodegenerative disorders,uncertain,0.45,ageing_outcome_unclear,microbiome,,unclear,retrieved_open_metadata,PMC full text likely available
europe_pmc,mixed,"(aging OR ageing OR rejuvenation) AND (parabiosis OR ""young plasma"" OR ""plasma dilution"")",5b62d2b972b3eaad84d4bb1a2bb7ad03,Rejuvenation of cerebromicrovascular function in aged mice through heterochronic parabiosis: insights into neurovascular coupling and the impact of young blood factors.,,"Gulej R, Nyúl-Tóth Á, Csik B, Petersen B, Faakye J, Negri S, Chandragiri SS, Mukli P, Yabluchanskiy A, Conley S, Huffman DM, Csiszar A, Tarantini S, Ungvari Z.",2024.0,Geroscience,10.1007/s11357-023-01039-2,38123890.0,PMC10828280,,"research support, non-u.s. gov't; research-article; journal article; research support, n.i.h., extramural",False,2026-04-23T01:41:56,doi:10.1007/s11357-023-01039-2,rejuvenation of cerebromicrovascular function in aged mice through heterochronic parabiosis insights into neurovascular coupling and the impact of young blood factors,uncertain,0.55,needs_full_text_or_abstract,controversial,rejuvenation,animal,retrieved_open_metadata,PMC full text likely available
