source,source_stream,query,record_id,title,abstract,authors,year,journal,doi,pmid,pmcid,url,publication_type,is_preprint,retrieved_at,dedup_key,title_norm
crossref,bibliographic,"(rejuvenation OR ""age reversal"" OR ""reverse aging"" OR ""reverse ageing"")",f9246eabdc0cdf9c4b9f3d4215b484c9,"Author response for ""Reverse aging to treat lupus""",,Wenliang Pan; George C. Tsokos,2024.0,,10.1002/eji.202451274/v2/response1,,,https://doi.org/10.1002/eji.202451274/v2/response1,peer-review,False,2026-04-23T01:40:58,doi:10.1002/eji.202451274/v2/response1,author response for reverse aging to treat lupus
crossref,bibliographic,"(aging OR ageing OR ""epigenetic clock"") AND (NAD OR ""nicotinamide riboside"" OR NMN OR sirtuin)",bea464fd79c584beb509fef3d7b45f10,"An Updated Review on the Mechanisms, Pre‐Clinical and Clinical Comparisons of Nicotinamide Mononucleotide (NMN) and Nicotinamide Riboside (NR)",,Yang Xu; Lu Anni; Guan Xiao; Ying Tianlei; Pan Jingrong; Tan Mingqian; Lu Jun,2025.0,Food Frontiers,10.1002/fft2.511,,,https://doi.org/10.1002/fft2.511,journal-article,False,2026-04-23T01:41:30,doi:10.1002/fft2.511,an updated review on the mechanisms pre clinical and clinical comparisons of nicotinamide mononucleotide nmn and nicotinamide riboside nr
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",933980c142a9691d8c81534d36336e30,"Decision letter for ""Sequencing method matters: differential performance of DNA methylation data acquisition in epigenetic clock calibration""",,,2025.0,,10.1002/jav.03498/v1/decision1,,,https://doi.org/10.1002/jav.03498/v1/decision1,peer-review,False,2026-04-23T01:40:51,doi:10.1002/jav.03498/v1/decision1,decision letter for sequencing method matters differential performance of dna methylation data acquisition in epigenetic clock calibration
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",eb9cad904d2640e271b3d78be39a03db,"Review for ""Sequencing method matters: differential performance of DNA methylation data acquisition in epigenetic clock calibration""",,,2025.0,,10.1002/jav.03498/v1/review1,,,https://doi.org/10.1002/jav.03498/v1/review1,peer-review,False,2026-04-23T01:40:51,doi:10.1002/jav.03498/v1/review1,review for sequencing method matters differential performance of dna methylation data acquisition in epigenetic clock calibration
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",7632f6f8c3023910eca77e39fd41ae07,"Review for ""Sequencing method matters: differential performance of DNA methylation data acquisition in epigenetic clock calibration""",,,2025.0,,10.1002/jav.03498/v1/review2,,,https://doi.org/10.1002/jav.03498/v1/review2,peer-review,False,2026-04-23T01:40:51,doi:10.1002/jav.03498/v1/review2,review for sequencing method matters differential performance of dna methylation data acquisition in epigenetic clock calibration
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",358efe80ed393a4f431913d8d8737c9e,"Decision letter for ""Sequencing method matters: differential performance of DNA methylation data acquisition in epigenetic clock calibration""",,,2025.0,,10.1002/jav.03498/v2/decision1,,,https://doi.org/10.1002/jav.03498/v2/decision1,peer-review,False,2026-04-23T01:40:51,doi:10.1002/jav.03498/v2/decision1,decision letter for sequencing method matters differential performance of dna methylation data acquisition in epigenetic clock calibration
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",a2a8f7a8f94eaf9768ce58132f2f4469,"Decision letter for ""Sequencing method matters: differential performance of DNA methylation data acquisition in epigenetic clock calibration""",,,2025.0,,10.1002/jav.03498/v3/decision1,,,https://doi.org/10.1002/jav.03498/v3/decision1,peer-review,False,2026-04-23T01:40:51,doi:10.1002/jav.03498/v3/decision1,decision letter for sequencing method matters differential performance of dna methylation data acquisition in epigenetic clock calibration
europe_pmc,mixed,"(aging OR ageing OR healthspan OR frailty) AND (exercise OR ""physical activity"" OR ""resistance training"")",5c23f56c80135ada2d7b4738e4b9223f,Effects of Diactive-1-Supported Progressive Resistance Training on Body Composition in Youth With Type 1 Diabetes.,,"Muñoz-Pardeza J, López-Gil JF, Hormazábal-Aguayo I, Izquierdo M, Agostinis-Sobrinho C, Ezzatvar Y, García-Hermoso A.",2026.0,J Cachexia Sarcopenia Muscle,10.1002/jcsm.70257,41854192.0,,,randomized controlled trial; journal article,False,2026-04-23T01:41:13,doi:10.1002/jcsm.70257,effects of diactive 1 supported progressive resistance training on body composition in youth with type 1 diabetes
europe_pmc,mixed,"(aging OR ageing OR ""epigenetic clock"") AND (NAD OR ""nicotinamide riboside"" OR NMN OR sirtuin)",9026b48a9b4a140969163bfada24f1e0,Epigenetic Regulation of Aging and its Rejuvenation.,,"An Y, Wang Q, Gao K, Zhang C, Ouyang Y, Li R, Ma Z, Wu T, Zhou L, Xie Z, Zhang R, Wu G.",2025.0,MedComm (2020),10.1002/mco2.70369,40904701.0,PMC12402629,,review-article; review; journal article,False,2026-04-23T01:41:28,doi:10.1002/mco2.70369,epigenetic regulation of aging and its rejuvenation
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",e2fc17060265ad94919357760210b59a,Dietary Intervention Modifies DNA Methylation Age Assessed by the Epigenetic Clock,,Sae‐Lee Chanachai; Corsi Sarah; Barrow Timothy M.; Kuhnle Gunter G. C.; Bollati Valentina; Mathers John C.; Byun Hyang‐Min,2018.0,Molecular Nutrition &amp; Food Research,10.1002/mnfr.201800092,,,https://doi.org/10.1002/mnfr.201800092,journal-article,False,2026-04-23T01:40:51,doi:10.1002/mnfr.201800092,dietary intervention modifies dna methylation age assessed by the epigenetic clock
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",036ef1150611d5e7a2776ef82d1cae3c,"Decision letter for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,,2025.0,,10.1002/vms3.70854/v1/decision1,,,https://doi.org/10.1002/vms3.70854/v1/decision1,peer-review,False,2026-04-23T01:41:51,doi:10.1002/vms3.70854/v1/decision1,decision letter for survey on fecal microbiota transplantation and probiotic use in equine practice in france and belgium
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",1255161fbed048e4223123bb5f92daf3,"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,Agnieszka Zak-Bochenek,2025.0,,10.1002/vms3.70854/v1/review1,,,https://doi.org/10.1002/vms3.70854/v1/review1,peer-review,False,2026-04-23T01:41:51,doi:10.1002/vms3.70854/v1/review1,review for survey on fecal microbiota transplantation and probiotic use in equine practice in france and belgium
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",37113ddbbfcebfa5de80ea663f4b9be5,"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,,2025.0,,10.1002/vms3.70854/v1/review2,,,https://doi.org/10.1002/vms3.70854/v1/review2,peer-review,False,2026-04-23T01:41:51,doi:10.1002/vms3.70854/v1/review2,review for survey on fecal microbiota transplantation and probiotic use in equine practice in france and belgium
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",fc03bf8b78f2d4b313c9ea3a7433fe3a,"Decision letter for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,,2026.0,,10.1002/vms3.70854/v2/decision1,,,https://doi.org/10.1002/vms3.70854/v2/decision1,peer-review,False,2026-04-23T01:41:51,doi:10.1002/vms3.70854/v2/decision1,decision letter for survey on fecal microbiota transplantation and probiotic use in equine practice in france and belgium
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",6421f1fa108da400b948f9015b590d60,"Review for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,,2025.0,,10.1002/vms3.70854/v2/review1,,,https://doi.org/10.1002/vms3.70854/v2/review1,peer-review,False,2026-04-23T01:41:51,doi:10.1002/vms3.70854/v2/review1,review for survey on fecal microbiota transplantation and probiotic use in equine practice in france and belgium
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),82d1d5d2c72e1a4bba3b67cf5b76a771,"Aging, Frailty, and the Compression of Morbidity: Definite Progress",,Fries James F.,,Research and Perspectives in Longevity,10.1007/3-540-27388-3_10,,,https://doi.org/10.1007/3-540-27388-3_10,book-chapter,False,2026-04-23T01:41:23,doi:10.1007/3-540-27388-3_10,aging frailty and the compression of morbidity definite progress
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),91975a8d2530d3bae7e57be02ab66b93,Social Control of Aging and Frailty in Bees,,Amdam Gro V.,2005.0,Longevity and Frailty,10.1007/3-540-27388-3_2,,,https://doi.org/10.1007/3-540-27388-3_2,book-chapter,False,2026-04-23T01:41:23,doi:10.1007/3-540-27388-3_2,social control of aging and frailty in bees
crossref,bibliographic,"(rejuvenation OR ""age reversal"" OR ""reverse aging"" OR ""reverse ageing"")",3704a8ae4f76a7c0a4a26e660e279fc0,Reverse Transcriptase,,,2021.0,Encyclopedia of Gerontology and Population Aging,10.1007/978-3-030-22009-9_302076,,,https://doi.org/10.1007/978-3-030-22009-9_302076,book-chapter,False,2026-04-23T01:40:58,doi:10.1007/978-3-030-22009-9_302076,reverse transcriptase
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),366d8788ef4b2e1b94a85019fc385db8,Early-Life Adjustment of Epigenetic Aging Clock,,Vaiserman Alexander; Lushchak Oleh,2019.0,Healthy Ageing and Longevity,10.1007/978-3-030-24958-8_14,,,https://doi.org/10.1007/978-3-030-24958-8_14,book-chapter,False,2026-04-23T01:41:23,doi:10.1007/978-3-030-24958-8_14,early life adjustment of epigenetic aging clock
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),86bd4da69554a7fd7dd227936fe2418d,"Biological Age is a Universal Marker of Aging, Stress, and Frailty",,Pyrkov Timothy V.; Fedichev Peter O.,2019.0,Healthy Ageing and Longevity,10.1007/978-3-030-24970-0_3,,,https://doi.org/10.1007/978-3-030-24970-0_3,book-chapter,False,2026-04-23T01:41:23,doi:10.1007/978-3-030-24970-0_3,biological age is a universal marker of aging stress and frailty
crossref,bibliographic,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),3e14d5a2b3a415e7af59ae7898c26a03,Lifespan Versus Healthspan,,Le Bourg Eric,2020.0,Healthy Ageing and Longevity,10.1007/978-3-030-52663-4_25,,,https://doi.org/10.1007/978-3-030-52663-4_25,book-chapter,False,2026-04-23T01:40:44,doi:10.1007/978-3-030-52663-4_25,lifespan versus healthspan
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (parabiosis OR ""young plasma"" OR ""plasma dilution"")",7c7edc168872635ead995935828003b3,Platelet-Rich Plasma for Skin Rejuvenation,,Casabona Gabriela; Kaye Kai,2021.0,Platelet-Rich Plasma in Dermatologic Practice,10.1007/978-3-030-66230-1_3,,,https://doi.org/10.1007/978-3-030-66230-1_3,book-chapter,False,2026-04-23T01:41:58,doi:10.1007/978-3-030-66230-1_3,platelet rich plasma for skin rejuvenation
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),bf7c33a33c161d9efbaa56dfd69247c7,Nutraceuticals and Functional Foods in Aging and Aging-Associated Diseases,,Singh Jatinder Pal; Singh Balwinder; Kaur Amritpal,2021.0,Healthy Ageing and Longevity,10.1007/978-3-030-83017-5_12,,,https://doi.org/10.1007/978-3-030-83017-5_12,book-chapter,False,2026-04-23T01:41:23,doi:10.1007/978-3-030-83017-5_12,nutraceuticals and functional foods in aging and aging associated diseases
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),221bf6874d7d7856a84e5a362ee19ec2,Diet and Circadian Rhythms: Implications for Aging and Longevity,,Jagota Anita; Khan Zeeshan Akhtar; Khan M. Sultan,2021.0,Healthy Ageing and Longevity,10.1007/978-3-030-83017-5_19,,,https://doi.org/10.1007/978-3-030-83017-5_19,book-chapter,False,2026-04-23T01:41:23,doi:10.1007/978-3-030-83017-5_19,diet and circadian rhythms implications for aging and longevity
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),7d63b462852e60c1f13808f285b332ff,Nutritional Regulation of Aging and Longevity,,Moskalev Alexey,2021.0,Healthy Ageing and Longevity,10.1007/978-3-030-83017-5_21,,,https://doi.org/10.1007/978-3-030-83017-5_21,book-chapter,False,2026-04-23T01:41:23,doi:10.1007/978-3-030-83017-5_21,nutritional regulation of aging and longevity
crossref,bibliographic,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",06cf66f797d0a46ad590c4b5fc62798d,Fasting and Caloric Restriction for Healthy Aging and Longevity,,Sharma Sandeep; Kaur Gurcharan,2021.0,Healthy Ageing and Longevity,10.1007/978-3-030-83017-5_24,,,https://doi.org/10.1007/978-3-030-83017-5_24,book-chapter,False,2026-04-23T01:41:06,doi:10.1007/978-3-030-83017-5_24,fasting and caloric restriction for healthy aging and longevity
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),b53c00664558c039aa06e2e74fe2a892,Fermented Foods in Aging and Longevity,,Heeba S.; Nisha P.,2021.0,Healthy Ageing and Longevity,10.1007/978-3-030-83017-5_9,,,https://doi.org/10.1007/978-3-030-83017-5_9,book-chapter,False,2026-04-23T01:41:23,doi:10.1007/978-3-030-83017-5_9,fermented foods in aging and longevity
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",cc6e296acd3817b0f8b48b00b1b09382,Age-Related Variation in DNA Methylation,,Keith Kelsey; Issa Jean-Pierre J.; Panjarian Shoghag,2022.0,Epigenetic Epidemiology,10.1007/978-3-030-94475-9_10,,,https://doi.org/10.1007/978-3-030-94475-9_10,book-chapter,False,2026-04-23T01:40:51,doi:10.1007/978-3-030-94475-9_10,age related variation in dna methylation
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",bc5b0a3e20c73c43ca145ff1de0d691a,Microbiome and Probiotics for Ischemic Stroke,,Wei Loo Keat,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-14023-5_18,,,https://doi.org/10.1007/978-3-031-14023-5_18,book-chapter,False,2026-04-23T01:41:51,doi:10.1007/978-3-031-14023-5_18,microbiome and probiotics for ischemic stroke
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",323c04e44c8e94c8ffee147ff05c3476,Ageing and Human Gut Microbiome: The Taxonomic and Functional Transition Towards an Elderly-Type Microbiome,,Rampelli Simone; Turroni Silvia; Candela Marco,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-14023-5_2,,,https://doi.org/10.1007/978-3-031-14023-5_2,book-chapter,False,2026-04-23T01:41:51,doi:10.1007/978-3-031-14023-5_2,ageing and human gut microbiome the taxonomic and functional transition towards an elderly type microbiome
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",c03ea0012cc5346296b4123ef594d216,Ageing of the Gut Microbiome and Its Potential Contribution Towards Immunesenescence and Inflammaging,,Conway Jessica; Rees Nia Paddison; Duggal Niharika A.,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-14023-5_3,,,https://doi.org/10.1007/978-3-031-14023-5_3,book-chapter,False,2026-04-23T01:41:51,doi:10.1007/978-3-031-14023-5_3,ageing of the gut microbiome and its potential contribution towards immunesenescence and inflammaging
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",ad48daeee09d8d3e6b1f807c880ecfeb,Gut Microbiome and Virome: Anti-Aging Interventions,,Singh Birbal; Mal Gorakh; Sharma Dixit; Al Nakshabandi Ahmad; Marotta Francesco,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-14023-5_4,,,https://doi.org/10.1007/978-3-031-14023-5_4,book-chapter,False,2026-04-23T01:41:51,doi:10.1007/978-3-031-14023-5_4,gut microbiome and virome anti aging interventions
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),2db4f89980b4791145e0b72d063a25e6,Sleep and Clocks in Aging and Longevity,,,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-22468-3,,,https://doi.org/10.1007/978-3-031-22468-3,book,False,2026-04-23T01:41:23,doi:10.1007/978-3-031-22468-3,sleep and clocks in aging and longevity
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),90646dcc3bb5d526dc18521141226f7c,Circadian Rhythms and Time-Restricted Eating in Healthy Aging and Longevity,,Bajaj Payal; Kaur Gurcharan,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-22468-3_20,,,https://doi.org/10.1007/978-3-031-22468-3_20,book-chapter,False,2026-04-23T01:41:23,doi:10.1007/978-3-031-22468-3_20,circadian rhythms and time restricted eating in healthy aging and longevity
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),c7510ed17f58aacba226c9d020dc291d,Optimum Sleep for Healthy Ageing,,Mallick Birendra Nath; Mehta Rachna,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-22468-3_6,,,https://doi.org/10.1007/978-3-031-22468-3_6,book-chapter,False,2026-04-23T01:41:23,doi:10.1007/978-3-031-22468-3_6,optimum sleep for healthy ageing
crossref,bibliographic,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),28e3098f59aac7a309d8d06cabf62418,"Sleep, Ageing, and Cognitive Decline",,Melnattur Krishna,2023.0,Healthy Ageing and Longevity,10.1007/978-3-031-22468-3_9,,,https://doi.org/10.1007/978-3-031-22468-3_9,book-chapter,False,2026-04-23T01:41:23,doi:10.1007/978-3-031-22468-3_9,sleep ageing and cognitive decline
crossref,bibliographic,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),5749360aea07e975c3cd662ca5700be8,"Religion, Spirituality and Longevity",,Cook Jeni; Gudmundsen Caitlyn; Furr Ray,2023.0,International Perspectives on Aging,10.1007/978-3-031-30915-1_11,,,https://doi.org/10.1007/978-3-031-30915-1_11,book-chapter,False,2026-04-23T01:40:44,doi:10.1007/978-3-031-30915-1_11,religion spirituality and longevity
crossref,bibliographic,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),8baa6cc44d54812562179db7698f2346,"Whole Health, Wellness and Longevity",,Gallagher-Seaman Mary,2023.0,International Perspectives on Aging,10.1007/978-3-031-30915-1_12,,,https://doi.org/10.1007/978-3-031-30915-1_12,book-chapter,False,2026-04-23T01:40:44,doi:10.1007/978-3-031-30915-1_12,whole health wellness and longevity
crossref,bibliographic,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),13c254abb60fdfede5aa5921424ad4bd,"Oral Health and Longevity Geriatric Dentistry, Care Pathways, Oral Health Epidemiology",,Cartier Pierre M.,2023.0,International Perspectives on Aging,10.1007/978-3-031-30915-1_13,,,https://doi.org/10.1007/978-3-031-30915-1_13,book-chapter,False,2026-04-23T01:40:44,doi:10.1007/978-3-031-30915-1_13,oral health and longevity geriatric dentistry care pathways oral health epidemiology
crossref,bibliographic,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),e112d66309ebfb18ed81502a160752c8,Contributions to Longevity and Well-being from Nature,,Shappell Antoinette V.; Burnett Kelly A.; Gartland Sean H.,2023.0,International Perspectives on Aging,10.1007/978-3-031-30915-1_14,,,https://doi.org/10.1007/978-3-031-30915-1_14,book-chapter,False,2026-04-23T01:40:44,doi:10.1007/978-3-031-30915-1_14,contributions to longevity and well being from nature
crossref,bibliographic,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),792d77ab957108c1b7f24c1954c9515d,The Genetics of Exceptional Longevity in Humans and Relevance to Healthy Aging,,Mitchell Braxton D.,2023.0,International Perspectives on Aging,10.1007/978-3-031-30915-1_3,,,https://doi.org/10.1007/978-3-031-30915-1_3,book-chapter,False,2026-04-23T01:40:44,doi:10.1007/978-3-031-30915-1_3,the genetics of exceptional longevity in humans and relevance to healthy aging
