pmid,doi,title,year,journal,url,priority_reason
39754159,10.1186/s12906-024-04732-7,A randomized controlled trial to assess the efficacy of standardized tai chi in prefrail older adults with immunosenescence: design and protocol.,2025,BMC complementary medicine and therapies,https://pubmed.ncbi.nlm.nih.gov/39754159/,Community/primary-care frailty RCT candidate
39626407,10.1016/j.physio.2024.101449,Acceptability and utility of a broad test battery to evaluate physical functioning and frailty in community-based settings for people experiencing homelessness and addiction-Findings from the LEAP trials.,2025,Physiotherapy,https://pubmed.ncbi.nlm.nih.gov/39626407/,Community/primary-care frailty RCT candidate
39855890,10.1016/j.tjfa.2024.100005,"Age Self Care-Resilience, a medical group visit program targeting pre-frailty: A mixed methods pilot clinical trial.",2025,The Journal of frailty & aging,https://pubmed.ncbi.nlm.nih.gov/39855890/,Community/primary-care frailty RCT candidate
40445966,10.1371/journal.pone.0323501,Block strength training based on age-related functional consequences in older women.,2025,PloS one,https://pubmed.ncbi.nlm.nih.gov/40445966/,Community/primary-care frailty RCT candidate
40015296,10.1016/j.lanhl.2024.100670,"Clinical and cost-effectiveness of a home-based health promotion intervention for older people with mild frailty in England: a multicentre, parallel-group, randomised controlled trial.",2025,The lancet. Healthy longevity,https://pubmed.ncbi.nlm.nih.gov/40015296/,Implementation-relevant frailty RCT candidate
40977239,10.1071/PY24197,Effect of a combined exercise and nutrition program on sarcopenia in older adults: a randomised controlled trial in primary care.,2025,Australian journal of primary health,https://pubmed.ncbi.nlm.nih.gov/40977239/,Community/primary-care frailty RCT candidate
39561465,10.1016/j.maturitas.2024.108151,Effect of a home-based exercise program on subsequent falls among community-dwelling older adults with cognitive frailty: A sub-group analysis of a randomized controlled trial.,2025,Maturitas,https://pubmed.ncbi.nlm.nih.gov/39561465/,Community/primary-care frailty RCT candidate
40969786,10.3389/fmed.2025.1573384,Effect of a multicomponent intervention on institutionalization-free survival in older adults with sarcopenia: a,2025,Frontiers in medicine,https://pubmed.ncbi.nlm.nih.gov/40969786/,Community/primary-care frailty RCT candidate
40527119,10.1016/j.clnu.2025.05.016,"Effect of aerobic or resistance exercise, or both on insulin secretion, ciliary neurotrophic factor, and insulin-like growth factor-1 in dieting older adults with obesity.",2025,"Clinical nutrition (Edinburgh, Scotland)",https://pubmed.ncbi.nlm.nih.gov/40527119/,Implementation-relevant frailty RCT candidate
39580545,10.1038/s41430-024-01547-0,Effect of individually tailored nutritional counseling on frailty status in older adults with protein-energy malnutrition or risk of it: an intervention study among home care clients.,2025,European journal of clinical nutrition,https://pubmed.ncbi.nlm.nih.gov/39580545/,Community/primary-care frailty RCT candidate
40221873,10.1002/jpen.2749,Effect of protein and amino acids supplements on muscle strength and physical performance: A scoping review of randomized controlled trials.,2025,JPEN. Journal of parenteral and enteral nutrition,https://pubmed.ncbi.nlm.nih.gov/40221873/,Community/primary-care frailty RCT candidate
39500251,10.1016/j.ijnurstu.2024.104933,Effectiveness of a theory-underpinning exercise intervention among community-dwelling (pre)frail older adults: A stepped-wedge cluster-randomized trial.,2025,International journal of nursing studies,https://pubmed.ncbi.nlm.nih.gov/39500251/,Community/primary-care frailty RCT candidate
40716056,10.1111/psyg.70067,Effects of Pole-Assisted Multicomponent Exercise on Preventing Frailty Among Older Adults in Japan: A Quasi-Experimental Study.,2025,Psychogeriatrics : the official journal of the Japanese Psychogeriatric Society,https://pubmed.ncbi.nlm.nih.gov/40716056/,Implementation-relevant frailty RCT candidate
39871464,10.12659/MSM.947105,Effects of Remote Exercise on Physical Function in Pre-Frail Older Adults: A Randomized Controlled Trial.,2025,Medical science monitor : international medical journal of experimental and clinical research,https://pubmed.ncbi.nlm.nih.gov/39871464/,Community/primary-care frailty RCT candidate
39997521,10.3390/geriatrics10010022,Effects of Twelve Weeks of Square Stepping Exercises on Physical and Cognitive Function and Plasma Content of SMP30: A Randomised Control Trial.,2025,"Geriatrics (Basel, Switzerland)",https://pubmed.ncbi.nlm.nih.gov/39997521/,Community/primary-care frailty RCT candidate
40616927,10.1016/j.gerinurse.2025.103457,Effects of a nurse-led health coaching program to prevent frailty in prefrail older women: A randomized controlled trial.,2025,"Geriatric nursing (New York, N.Y.)",https://pubmed.ncbi.nlm.nih.gov/40616927/,Community/primary-care frailty RCT candidate
41035820,10.3389/fnagi.2025.1639245,Effects of exercise-cognitive dual-task training on cognitive frailty in older adults: a randomized controlled trial.,2025,Frontiers in aging neuroscience,https://pubmed.ncbi.nlm.nih.gov/41035820/,Community/primary-care frailty RCT candidate
39798411,10.1016/j.gerinurse.2024.12.010,Effects of interactive boxing-cycling on dual-task walking and prefrontal cortex activation in older adults with cognitive frailty: A randomized controlled trial.,2025,"Geriatric nursing (New York, N.Y.)",https://pubmed.ncbi.nlm.nih.gov/39798411/,Community/primary-care frailty RCT candidate
39736420,10.1016/j.exger.2024.112670,Effects of the Vivifrail-B multicomponent exercise program based on society ecosystems theory on physical function in community-dwelling frail older adults: A randomized controlled trial.,2025,Experimental gerontology,https://pubmed.ncbi.nlm.nih.gov/39736420/,Community/primary-care frailty RCT candidate
40024357,10.1016/j.physbeh.2025.114868,"Examining the impact of 28-week multicomponent and strength exercises on brain health, salivary stress, and mental well-being in frail older women: A controlled trial analysis.",2025,Physiology & behavior,https://pubmed.ncbi.nlm.nih.gov/40024357/,Community/primary-care frailty RCT candidate
41313689,10.1016/j.tjfa.2025.100106,"Exploratory functional and quality of life outcomes with daily consumption of the ketone ester bis-octanoyl (R)-1,3-butanediol in healthy older adults: a randomized, parallel arm, double-blind, placebo-controlled study.",2025,The Journal of frailty & aging,https://pubmed.ncbi.nlm.nih.gov/41313689/,Community/primary-care frailty RCT candidate
40616957,10.1016/j.ygyno.2025.06.020,Fit4Surgery: A pilot randomized controlled trial to assess the feasibility of prehabilitation prior to debulking surgery for ovarian cancer.,2025,Gynecologic oncology,https://pubmed.ncbi.nlm.nih.gov/40616957/,Community/primary-care frailty RCT candidate
40367490,10.2196/65636,"Frailty, Fitness, and Quality of Life Outcomes of a Healthy and Productive Aging Program (GrandMove) for Older Adults With Frailty or Prefrailty: Cluster Randomized Controlled Trial.",2025,JMIR aging,https://pubmed.ncbi.nlm.nih.gov/40367490/,Community/primary-care frailty RCT candidate
40042971,10.1016/j.tjfa.2025.100028,Getting fit for hip and knee replacement: The Fit-Joints multimodal intervention for frail patients with osteoarthritis - a pilot randomized controlled trial.,2025,The Journal of frailty & aging,https://pubmed.ncbi.nlm.nih.gov/40042971/,Community/primary-care frailty RCT candidate
39743381,10.1016/j.jnha.2024.100401,Global consensus on optimal exercise recommendations for enhancing healthy longevity in older adults (ICFSR).,2025,"The journal of nutrition, health & aging",https://pubmed.ncbi.nlm.nih.gov/39743381/,Implementation-relevant frailty RCT candidate
41299266,10.1186/s12877-025-06649-3,Hospital-community continuity of care in fragile patients before and after major surgery-an exploratory case control study.,2025,BMC geriatrics,https://pubmed.ncbi.nlm.nih.gov/41299266/,Community/primary-care frailty RCT candidate
41120990,10.1186/s12877-025-06471-x,Impact of a functional gait training program as a complementary strategy to improve physical function in older adults: a randomized clinical trial.,2025,BMC geriatrics,https://pubmed.ncbi.nlm.nih.gov/41120990/,Community/primary-care frailty RCT candidate
41946023,10.1016/j.physio.2025.101873,Impact of a physiotherapy-led low threshold exercise and protein supplementation intervention to optimise physical function and target frailty in people experiencing homelessness and addiction: The LEAP-II trial.,2025,Physiotherapy,https://pubmed.ncbi.nlm.nih.gov/41946023/,Community/primary-care frailty RCT candidate
40121126,10.1016/j.jagp.2025.02.014,"Improvements in Depressive Symptoms, Perceived Social Support, and Quality of Life Through an Educational Program in Community-Dwelling Older Adults With Frailty Phenotype: A Randomized Controlled Trial of the FRAGSALUD Project.",2025,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry,https://pubmed.ncbi.nlm.nih.gov/40121126/,Community/primary-care frailty RCT candidate
39954533,10.1016/j.jnha.2025.100512,Long-term frailty and physical performance transitions in older people with type-2 diabetes. The MIDFRAIL randomized clinical study.,2025,"The journal of nutrition, health & aging",https://pubmed.ncbi.nlm.nih.gov/39954533/,Community/primary-care frailty RCT candidate
40147475,10.1016/j.lanhl.2025.100695,"Metformin and physical performance in older people with probable sarcopenia and physical prefrailty or frailty in England (MET-PREVENT): a double-blind, randomised, placebo-controlled trial.",2025,The lancet. Healthy longevity,https://pubmed.ncbi.nlm.nih.gov/40147475/,Community/primary-care frailty RCT candidate
40749218,10.2196/76357,Mixed Reality-Based Physical Therapy in Older Adults With Sarcopenia: Preliminary Randomized Controlled Trial.,2025,JMIR serious games,https://pubmed.ncbi.nlm.nih.gov/40749218/,Community/primary-care frailty RCT candidate
41370708,10.1080/09638288.2025.2597357,Multicomponent physical exercise program among community-dwelling older adults who are users of home care services: a quasi-experimental pilot study.,2025,Disability and rehabilitation,https://pubmed.ncbi.nlm.nih.gov/41370708/,Community/primary-care frailty RCT candidate
40297922,10.1080/07853890.2025.2496409,Multidomain intervention for delaying aging in community-dwelling older adults (MIDA): study design and protocol.,2025,Annals of medicine,https://pubmed.ncbi.nlm.nih.gov/40297922/,Community/primary-care frailty RCT candidate
41103092,10.1080/21551197.2025.2572678,Nutritional Guidance Decreases the Prevalence of Frailty Among Older Caregivers.,2025,Journal of nutrition in gerontology and geriatrics,https://pubmed.ncbi.nlm.nih.gov/41103092/,Implementation-relevant frailty RCT candidate
40471669,10.2196/69259,"Outdoor Exercise Facility-Based Integrative Mobile Health Intervention to Support Physical Activity, Mental Well-Being, and Exercise Self-Efficacy Among Older Adults With Prefrailty and Frailty in Hong Kong: Pilot Feasibility Randomized Controlled Trial Study.",2025,JMIR mHealth and uHealth,https://pubmed.ncbi.nlm.nih.gov/40471669/,Community/primary-care frailty RCT candidate
40005003,10.3390/nu17040675,"Personalized Diet With or Without Physical Exercise Improves Nutritional Status, Muscle Strength, Physical Performance, and Quality of Life in Malnourished Older Adults: A Prospective Randomized Controlled Study.",2025,Nutrients,https://pubmed.ncbi.nlm.nih.gov/40005003/,Community/primary-care frailty RCT candidate
40121486,10.1186/s13102-025-01105-6,Psychophysiological effects of a supervised home-based resistance band exercise program in pre-frail older patients with type 2 diabetes mellitus: a randomized controlled trial.,2025,"BMC sports science, medicine & rehabilitation",https://pubmed.ncbi.nlm.nih.gov/40121486/,Community/primary-care frailty RCT candidate
40900147,10.1097/jnr.0000000000000698,Pulmonary Rehabilitation Exercise Package for Enhancing Health in Elderly COPD Patients With Frailty: An Experimental Study.,2025,The journal of nursing research : JNR,https://pubmed.ncbi.nlm.nih.gov/40900147/,Community/primary-care frailty RCT candidate
40213793,10.1253/circrep.CR-24-0091,Randomised Crossover Trial of Home-Based Neuromuscular Electrical Stimulation Therapy as an Adjunct to Cardiac Rehabilitation in Frail Older Adult Patients With Chronic Heart Failure.,2025,Circulation reports,https://pubmed.ncbi.nlm.nih.gov/40213793/,Implementation-relevant frailty RCT candidate
40514302,10.1016/j.tjpad.2025.100231,Tailoring multidomain intervention programs to reduce cognitive and physical decline in older adults: Examining rural-urban differences in a nationwide cluster-randomized controlled trial.,2025,The journal of prevention of Alzheimer's disease,https://pubmed.ncbi.nlm.nih.gov/40514302/,Community/primary-care frailty RCT candidate
41095572,10.3390/healthcare13192486,Targeted Physical Function Exercises for Frailty and Falls Management in Pre-Frail Community-Dwelling Older Adults: A Randomized Controlled Trial.,2025,"Healthcare (Basel, Switzerland)",https://pubmed.ncbi.nlm.nih.gov/41095572/,Community/primary-care frailty RCT candidate
40361174,10.1186/s13195-025-01722-w,"The cost effectiveness of a multidomain intervention on physical, cognitive, vascular, dietary and psychosocial outcomes among community dwelling older adults with cognitive frailty in Malaysia: The AGELESS Trial.",2025,Alzheimer's research & therapy,https://pubmed.ncbi.nlm.nih.gov/40361174/,Community/primary-care frailty RCT candidate
40938877,10.1371/journal.pone.0323923,The impact of outdoor walking interventions on frailty among older adults with mobility limitations: Findings from the Getting Older Adults Outdoors (GO-OUT) study.,2025,PloS one,https://pubmed.ncbi.nlm.nih.gov/40938877/,Community/primary-care frailty RCT candidate
41354090,10.1093/ageing/afaf345,Why didn't the senior citizen cross the road? Gait speed in community-dwelling older adults with mobility limitations relative to pedestrian crossing times.,2025,Age and ageing,https://pubmed.ncbi.nlm.nih.gov/41354090/,Community/primary-care frailty RCT candidate
39354527,10.1186/s13063-024-08490-2,"A single-center, double-blind, randomized, placebo-controlled, two-arm study to evaluate the safety and efficacy of once-weekly sirolimus (rapamycin) on muscle strength and endurance in older adults following a 13-week exercise program.",2024,Trials,https://pubmed.ncbi.nlm.nih.gov/39354527/,Community/primary-care frailty RCT candidate
38727090,10.1111/appy.12556,Changes in cognitive function after a 12-week POWER rehabilitation in older adults with schizophrenia and frailty.,2024,Asia-Pacific psychiatry : official journal of the Pacific Rim College of Psychiatrists,https://pubmed.ncbi.nlm.nih.gov/38727090/,Community/primary-care frailty RCT candidate
39583027,10.7224/1537-2073.2023-085,Cognitive Function in Frail Older Adults With Multiple Sclerosis: An Exploratory Study Using Secondary Data Analysis.,2024,International journal of MS care,https://pubmed.ncbi.nlm.nih.gov/39583027/,Implementation-relevant frailty RCT candidate
39478450,10.1186/s12877-024-05464-6,Combining motivational and exercise intervention components to reverse pre-frailty and promote self-efficacy among community-dwelling pre-frail older adults: a randomized controlled trial.,2024,BMC geriatrics,https://pubmed.ncbi.nlm.nih.gov/39478450/,Community/primary-care frailty RCT candidate
39166366,10.1111/ggi.14960,"Correction to ""Effect of cholecalciferol supplementation on hand grip strength, walking speed, and expression of vitamin D receptor, interleukin-6, and insulin-like growth factor-1 in monocyte in pre-frail older adults: A randomized double-blind placebo-controlled trial"".",2024,Geriatrics & gerontology international,https://pubmed.ncbi.nlm.nih.gov/39166366/,Community/primary-care frailty RCT candidate
38644647,10.1111/ggi.14881,"Effect of cholecalciferol supplementation on hand grip strength, walking speed, and expression of vitamin D receptor, interleukin-6, and insulin-like growth factor-1 in monocyte in pre-frail older adults: A randomized double-blind placebo-controlled trial.",2024,Geriatrics & gerontology international,https://pubmed.ncbi.nlm.nih.gov/38644647/,Community/primary-care frailty RCT candidate
38691121,10.3928/00989134-20240416-04,"Effectiveness of Resistance Band Use in Conjunction With Tai Chi Among Older Adults With Prefrailty to Improve Functional Fitness, Quality of Life, and Heart Rate Variability.",2024,Journal of gerontological nursing,https://pubmed.ncbi.nlm.nih.gov/38691121/,Community/primary-care frailty RCT candidate
39390362,10.1186/s11556-024-00363-6,Effectiveness of community-based Baduanjin exercise intervention for older adults with varying frailty status: a randomized controlled trial.,2024,European review of aging and physical activity : official journal of the European Group for Research into Elderly and Physical Activity,https://pubmed.ncbi.nlm.nih.gov/39390362/,Community/primary-care frailty RCT candidate
39259959,10.2196/57809,Effects of Virtual Reality Motor-Cognitive Training for Older People With Cognitive Frailty: Multicentered Randomized Controlled Trial.,2024,Journal of medical Internet research,https://pubmed.ncbi.nlm.nih.gov/39259959/,Community/primary-care frailty RCT candidate
39259383,10.1007/s41999-024-01052-4,"Effects of a multicomponent training and detraining on frailty status, physical activity level, sedentary behavior patterns and physical performance of pre-frail older adults: a randomized controlled trial.",2024,European geriatric medicine,https://pubmed.ncbi.nlm.nih.gov/39259383/,Community/primary-care frailty RCT candidate
39371165,10.1101/2024.09.17.24313811,"Exploratory functional and quality of life outcomes with daily consumption of the ketone ester bis-octanoyl (R)-1,3-butanediol in healthy older adults: a randomized, parallel arm, double-blind, placebo-controlled study.",2024,medRxiv : the preprint server for health sciences,https://pubmed.ncbi.nlm.nih.gov/39371165/,Community/primary-care frailty RCT candidate
38228054,10.1016/j.jgo.2024.101703,How representative are participants in geriatric oncology clinical trials? The case of the 5C RCT in geriatric oncology: A cross-sectional comparison to a geriatric oncology clinic.,2024,Journal of geriatric oncology,https://pubmed.ncbi.nlm.nih.gov/38228054/,Community/primary-care frailty RCT candidate
39182446,10.1016/j.jpsychires.2024.08.029,Impacts of subjective cognitive decline and mild cognitive impairment on the effectiveness of an exercise intervention among community-dwelling (Pre)frail older adults.,2024,Journal of psychiatric research,https://pubmed.ncbi.nlm.nih.gov/39182446/,Community/primary-care frailty RCT candidate
38479253,10.1016/j.rehab.2024.101819,Interactive boxing-cycling on frailty and activity limitations in frail and prefrail older adults: A randomized controlled trial.,2024,Annals of physical and rehabilitation medicine,https://pubmed.ncbi.nlm.nih.gov/38479253/,Community/primary-care frailty RCT candidate
38866571,10.1136/bmjopen-2023-082155,"Is home-based, virtually delivered, group exercise feasible and acceptable for older patients with hepatocellular carcinoma? A non-randomised feasibility study (TELEX-Liver Cancer).",2024,BMJ open,https://pubmed.ncbi.nlm.nih.gov/38866571/,Community/primary-care frailty RCT candidate
39350375,10.14283/jpad.2024.111,Multidomain Intervention for the Reversal of Cognitive Frailty Using a Personalized Approach (AGELESS Trial): Recruitment and Baseline Characteristics of Participants.,2024,The journal of prevention of Alzheimer's disease,https://pubmed.ncbi.nlm.nih.gov/39350375/,Implementation-relevant frailty RCT candidate
38783180,10.1186/s12877-024-05079-x,Older people's perception of being frail - a qualitative exploration.,2024,BMC geriatrics,https://pubmed.ncbi.nlm.nih.gov/38783180/,Implementation-relevant frailty RCT candidate
39286985,10.1172/JCI176507,"Prebiotics improve frailty status in community-dwelling older individuals in a double-blind, randomized, controlled trial.",2024,The Journal of clinical investigation,https://pubmed.ncbi.nlm.nih.gov/39286985/,Community/primary-care frailty RCT candidate
38780837,10.1007/s40520-024-02775-x,Prevention at home in older persons with (pre-)frailty: analysis of participants' recruitment and characteristics of the randomized controlled PromeTheus trial.,2024,Aging clinical and experimental research,https://pubmed.ncbi.nlm.nih.gov/38780837/,Community/primary-care frailty RCT candidate
38052302,10.1016/j.cjca.2023.11.037,Protein and Exercise to Reverse Frailty in Older Men and Women Undergoing Transcatheter Aortic Valve Replacement: Design of the PERFORM-TAVR Trial.,2024,The Canadian journal of cardiology,https://pubmed.ncbi.nlm.nih.gov/38052302/,Implementation-relevant frailty RCT candidate
38576769,10.1177/20543581241234724,Randomized Controlled Trial of the Effect of an Exercise Rehabilitation Program on Symptom Burden in Maintenance Hemodialysis: A Clinical Research Protocol.,2024,Canadian journal of kidney health and disease,https://pubmed.ncbi.nlm.nih.gov/38576769/,Implementation-relevant frailty RCT candidate
38251739,10.1093/ageing/afad253,Response rates and associated factors after a multicomponent intervention in frail older adults with diabetes.,2024,Age and ageing,https://pubmed.ncbi.nlm.nih.gov/38251739/,Community/primary-care frailty RCT candidate
39064319,10.3390/jcm13144279,Telerehabilitation: Vestibular Physiotherapy vs. Multicomponent Exercise for Functional Improvement in Older Adults: Randomized Clinical Trial.,2024,Journal of clinical medicine,https://pubmed.ncbi.nlm.nih.gov/39064319/,Community/primary-care frailty RCT candidate
39671585,10.2196/60155,The Effect of the Mediterranean Diet-Integrated Gamified Home-Based Cognitive-Nutritional (GAHOCON) Training Programme for Older People With Cognitive Frailty: Pilot Randomized Controlled Trial.,2024,JMIR rehabilitation and assistive technologies,https://pubmed.ncbi.nlm.nih.gov/39671585/,Implementation-relevant frailty RCT candidate
39574284,10.14283/jfa.2024.32,The Efficacy of 12-Week Progressive Home-Based Strength and Tai-Chi Exercise Snacking in Older Adults: A Mixed-Method Exploratory Randomised Control Trial.,2024,The Journal of frailty & aging,https://pubmed.ncbi.nlm.nih.gov/39574284/,Community/primary-care frailty RCT candidate
39482612,10.1186/s12877-024-05457-5,The WE-RISE™ multi-domain intervention: a feasibility study for the potential reversal of cognitive frailty in Malaysian older persons of lower socioeconomic status.,2024,BMC geriatrics,https://pubmed.ncbi.nlm.nih.gov/39482612/,Implementation-relevant frailty RCT candidate
39211745,10.3389/fragi.2024.1376825,"Underweight, overweight, and weight change in older family caregivers and their care recipients: longitudinal evidence from a randomized controlled trial.",2024,Frontiers in aging,https://pubmed.ncbi.nlm.nih.gov/39211745/,Implementation-relevant frailty RCT candidate
38430497,,Verification of the Effects of a YouTube-Based Home-Based (Self-Managed Intervention) Training System Developed for Frailty Prevention: A Pilot Study.,2024,Journal of allied health,https://pubmed.ncbi.nlm.nih.gov/38430497/,Community/primary-care frailty RCT candidate
39647881,10.3143/geriatrics.61.447,[The difference in effect between individual exercise and collective exercise in older adults with frailty-A randomized controlled trial].,2024,Nihon Ronen Igakkai zasshi. Japanese journal of geriatrics,https://pubmed.ncbi.nlm.nih.gov/39647881/,Community/primary-care frailty RCT candidate
