study_id,pmid,title,intervention_node_prelim,delivery_setting_score_0_2,workforce_fit_score_0_2,equipment_burden_score_0_2,dose_clarity_score_0_2,safety_monitoring_score_0_2,adherence_feasibility_score_0_2,procurement_burden_score_0_2,india_primary_care_readiness_total_0_14,implementation_readiness_category,readiness_notes
FRAIL-013,40695991,A randomized controlled trial of mobile intervention using health support bubbles to prevent social frailty.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-014,40514302,Tailoring multidomain intervention programs to reduce cognitive and physical decline in older adults: Examining rural-urban differences in a nationwide cluster-randomized controlled trial.,multidomain_exercise_nutrition,,,,,,,,,,
FRAIL-015,40471669,"Outdoor Exercise Facility-Based Integrative Mobile Health Intervention to Support Physical Activity, Mental Well-Being, and Exercise Self-Efficacy Among Older Adults With Prefrailty and Frailty in Hong Kong: Pilot Feasibility Randomized Controlled Trial Study.",digital_home_unclear_intervention,,,,,,,,,,
FRAIL-016,40367490,"Frailty, Fitness, and Quality of Life Outcomes of a Healthy and Productive Aging Program (GrandMove) for Older Adults With Frailty or Prefrailty: Cluster Randomized Controlled Trial.",multidomain,,,,,,,,,,
FRAIL-017,40121486,Psychophysiological effects of a supervised home-based resistance band exercise program in pre-frail older patients with type 2 diabetes mellitus: a randomized controlled trial.,exercise_only,,,,,,,,,,
FRAIL-018,40005003,"Personalized Diet With or Without Physical Exercise Improves Nutritional Status, Muscle Strength, Physical Performance, and Quality of Life in Malnourished Older Adults: A Prospective Randomized Controlled Study.",exercise_plus_nutrition,,,,,,,,,,
FRAIL-019,39997521,Effects of Twelve Weeks of Square Stepping Exercises on Physical and Cognitive Function and Plasma Content of SMP30: A Randomised Control Trial.,multidomain,,,,,,,,,,
FRAIL-020,39954533,Long-term frailty and physical performance transitions in older people with type-2 diabetes. The MIDFRAIL randomized clinical study.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-021,39871464,Effects of Remote Exercise on Physical Function in Pre-Frail Older Adults: A Randomized Controlled Trial.,exercise_only,,,,,,,,,,
FRAIL-022,39652737,A 24-Week Combined Resistance and Balance Training Program Improves Physical Function in Older Adults: A Randomized Controlled Trial.,exercise_only,,,,,,,,,,
FRAIL-023,39580545,Effect of individually tailored nutritional counseling on frailty status in older adults with protein-energy malnutrition or risk of it: an intervention study among home care clients.,multidomain,,,,,,,,,,
FRAIL-024,39478450,Combining motivational and exercise intervention components to reverse pre-frailty and promote self-efficacy among community-dwelling pre-frail older adults: a randomized controlled trial.,multicomponent_exercise,,,,,,,,,,
FRAIL-025,39390362,Effectiveness of community-based Baduanjin exercise intervention for older adults with varying frailty status: a randomized controlled trial.,exercise_only,,,,,,,,,,
FRAIL-026,39354527,"A single-center, double-blind, randomized, placebo-controlled, two-arm study to evaluate the safety and efficacy of once-weekly sirolimus (rapamycin) on muscle strength and endurance in older adults following a 13-week exercise program.",exercise_only,,,,,,,,,,
FRAIL-027,39211745,"Underweight, overweight, and weight change in older family caregivers and their care recipients: longitudinal evidence from a randomized controlled trial.",nutrition_only,,,,,,,,,,
FRAIL-028,38111605,Medium-chain triglycerides (8:0 and 10:0) increase muscle mass and function in frail older adults: a combined data analysis of clinical trials.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-029,37960913,Hybrid Exercise Program Enhances Physical Fitness and Reverses Frailty in Older Adults: Insights and Predictions from Machine Learning.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-030,37875291,Dose-response effects of resistance training on physical function in frail older Chinese adults: A randomized controlled trial.,exercise_only,,,,,,,,,,
FRAIL-031,37357328,"Impact of Exercise and Cognitive Stimulation Therapy on Physical Function, Cognition and Muscle Mass in Pre-Frail Older Adults in the Primary Care Setting: A Cluster Randomized Controlled Trial.",exercise_plus_nutrition,,,,,,,,,,
FRAIL-032,37328797,Effects of an individualised exercise programme plus Behavioural Change Enhancement (BCE) strategies for managing fatigue in frail older adults: a cluster randomised controlled trial.,unclear,,,,,,,,,,
FRAIL-033,37049448,The Impact of Nutrition and Oral Function Exercise on among Community-Dwelling Older People.,nutrition_only,,,,,,,,,,
FRAIL-034,36673644,Effect of the Active Aging-in-Place-Rehabilitation Nursing Program: A Randomized Controlled Trial.,multidomain,,,,,,,,,,
FRAIL-035,36636457,Protein-Added Healthy Lunch-Boxes Combined with Exercise for Improving Physical Fitness and Vascular Function in Pre-Frail Older Women: A Community-Based Randomized Controlled Trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-036,36528997,Efficacy of a multicomponent exercise training program intervention in community-dwelling older adults during the COVID-19 pandemic: A cluster randomized controlled trial.,multidomain,,,,,,,,,,
FRAIL-037,36426763,"Adherence, safety and potential effectiveness of a home-based Radio-Taiso exercise program in older adults with frailty: A pilot randomized controlled trial.",digital_home_unclear_intervention,,,,,,,,,,
FRAIL-038,36341237,Intrinsic capacity rather than intervention exposure influences reversal to robustness among prefrail community-dwelling older adults: A non-randomized controlled study of a multidomain exercise and nutrition intervention.,multidomain_exercise_nutrition,,,,,,,,,,
FRAIL-039,35887850,Frailty Status Improvement after 5-Month Multicomponent Program PROMUFRA in Community-Dwelling Older People: A Randomized Controlled Trial.,multicomponent_exercise,,,,,,,,,,
FRAIL-040,35766913,"Encouraging older adults with pre-frailty and frailty to ""MoveStrong"": an analysis of secondary outcomes for a pilot randomized controlled trial.",exercise_plus_nutrition,,,,,,,,,,
FRAIL-041,35399053,The effects of vitamin D supplementation on frailty in older adults at risk for falls.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-042,34725661,"Association of Pain and Impact of Dual-Task Exercise on Function, Cognition and Quality of Life.",exercise_plus_nutrition,,,,,,,,,,
FRAIL-043,34620081,Effectiveness of a community-delivered pneumatic machine resistance training programme (Gym Tonic) for older adults at neighbourhood senior centres - a randomized controlled trial.,exercise_only,,,,,,,,,,
FRAIL-044,34449605,Enhancement of Anticipatory Postural Adjustments by Virtual Reality in Older Adults with Cognitive and Motor Deficits: A Randomised Trial.,exercise_only,,,,,,,,,,
FRAIL-045,34351363,Long-term effect of a 24-week multicomponent intervention on physical performance and frailty in community-dwelling older adults.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-046,33968874,Effectiveness of a Community-Based Muscle Strengthening Exercise Program to Increase Muscle Strength Among Pre-frail Older Persons in Malaysia: A Pilot Study.,exercise_only,,,,,,,,,,
FRAIL-047,33937294,"Possible Sarcopenia and Impact of Dual-Task Exercise on Gait Speed, Handgrip Strength, Falls, and Perceived Health.",exercise_plus_nutrition,,,,,,,,,,
FRAIL-048,33742266,Effectiveness of Community-Delivered Functional Power Training Program for Frail and Pre-frail Community-Dwelling Older Adults: a Randomized Controlled Study.,exercise_only,,,,,,,,,,
FRAIL-049,33583000,The sarcopenia and physical frailty in older people: multi-component treatment strategies (SPRINTT) project: description and feasibility of a nutrition intervention in community-dwelling older Europeans.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-050,33546255,Randomized Controlled Trial on the Effects of a Combined Intervention of Computerized Cognitive Training Preceded by Physical Exercise for Improving Frailty Status and Cognitive Function in Older Adults.,multidomain,,,,,,,,,,
FRAIL-051,33513714,Limited Benefit of Marine Protein Hydrolysate on Physical Function and Strength in Older Adults: A Randomized Controlled Trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-052,32114877,"The Otago Exercise Program With or Without Motivational Interviewing for Community-Dwelling Older Adults: A 12-Month Follow-Up of a Randomized, Controlled Trial.",exercise_only,,,,,,,,,,
FRAIL-053,33032532,A physical activity program versus usual care in the management of quality of life for pre-frail older adults with chronic pain: randomized controlled trial.,multicomponent_exercise,,,,,,,,,,
FRAIL-054,32762725,Nutrition assessment and geriatric associated conditions among community dwelling Iranian elderly people.,nutrition_only,,,,,,,,,,
FRAIL-055,32702879,Effects of concurrent aerobic and resistance exercise in frail and pre-frail older adults: A randomized trial of supervised versus home-based programs.,exercise_only,,,,,,,,,,
FRAIL-056,32545408,Nutrition and Sarcopenia-What Do We Know?,exercise_plus_nutrition,,,,,,,,,,
FRAIL-057,32466446,Multicomponent Exercise Program Reduces Frailty and Inflammatory Biomarkers and Improves Physical Performance in Community-Dwelling Older Adults: A Randomized Controlled Trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-058,32375700,Sensor-based characterization of daily walking: a new paradigm in pre-frailty/frailty assessment.,exercise_only,,,,,,,,,,
FRAIL-059,32375239,"A Novel Exercise for Enhancing Visuospatial Ability in Older Adults with Frailty: Development, Feasibility, and Effectiveness.",exercise_only,,,,,,,,,,
FRAIL-060,32259186,"Multi-Component Exercise with High-Intensity, Free-Weight, Functional Resistance Training in Pre-Frail Females: A Quasi-Experimental, Pilot Study.",multicomponent_exercise,,,,,,,,,,
FRAIL-061,32134208,"Efficacy of multidomain interventions to improve physical frailty, depression and cognition: data from cluster-randomized controlled trials.",multidomain_exercise_nutrition,,,,,,,,,,
FRAIL-062,31997543,Comprehensive geriatric intervention in community-dwelling older adults: a cluster-randomized controlled trial.,multidomain_exercise_nutrition,,,,,,,,,,
FRAIL-063,31791364,Individualized home-based exercise and nutrition interventions improve frailty in older adults: a randomized controlled trial.,nutrition_only,,,,,,,,,,
FRAIL-064,31466229,Effectiveness of a Combined Intervention on Psychological and Physical Capacities of Frail Older Adults: A Cluster Randomized Controlled Trial.,exercise_only,,,,,,,,,,
FRAIL-065,31367733,"Positive Effects of ""Textured Lunches"" Gatherings and Oral Exercises Combined with Physical Exercises on Oral and Physical Function in Older Individuals: A Cluster Randomized Controlled Trial.",nutrition_only,,,,,,,,,,
FRAIL-066,31360662,"An Interregional, Transdisciplinary and Good Practice-Based Approach for Frailty: the Mind&Gait Project.",digital_home_unclear_intervention,,,,,,,,,,
FRAIL-067,31249332,Effects of Kinect-based exergaming on frailty status and physical performance in prefrail and frail elderly: A randomized controlled trial.,multicomponent_exercise,,,,,,,,,,
FRAIL-068,31133863,Exercise and Dietary-Protein as a Countermeasure to Skeletal Muscle Weakness: Liverpool Hope University - Sarcopenia Aging Trial (LHU-SAT).,exercise_plus_nutrition,,,,,,,,,,
FRAIL-069,31016897,Effectiveness of a multimodal intervention in functionally impaired older people with type 2 diabetes mellitus.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-070,32300691,Breaking sedentary behaviour has the potential to increase/ maintain function in frail older adults.,exercise_only,,,,,,,,,,
FRAIL-071,30498835,Quality of Life and Mental Health in Older Adults with Obesity and Frailty: Associations with a Weight Loss Intervention.,nutrition_only,,,,,,,,,,
FRAIL-072,30138718,Rationale and design of the Study To Understand Fall Reduction and Vitamin D in You (STURDY): A randomized clinical trial of Vitamin D supplement doses for the prevention of falls in older adults.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-073,29988285,"Effects of Strength Training on Muscle Properties, Physical Function, and Physical Activity among Frail Older People: A Pilot Study.",exercise_only,,,,,,,,,,
FRAIL-074,29783928,Physical activity intervention for elderly patients with reduced physical performance after acute coronary syndrome (HULK study): rationale and design of a randomized clinical trial.,digital_home_unclear_intervention,,,,,,,,,,
FRAIL-075,29346524,"Effects of a Primary Care-Based Multifactorial Intervention on Physical and Cognitive Function in Frail, Elderly Individuals: A Randomized Controlled Trial.",exercise_plus_nutrition,,,,,,,,,,
FRAIL-076,29310138,Effect of Physical Activity on Frailty: Secondary Analysis of a Randomized Controlled Trial.,exercise_only,,,,,,,,,,
FRAIL-077,28972245,Multi-Domains Lifestyle Interventions Reduces Depressive Symptoms among Frail and Pre-Frail Older Persons: Randomized Controlled Trial.,multidomain,,,,,,,,,,
FRAIL-078,28951766,"Effect of Weight Loss, Exercise, or Both on Undercarboxylated Osteocalcin and Insulin Secretion in Frail, Obese Older Adults.",multidomain,,,,,,,,,,
FRAIL-079,28514618,"Aerobic or Resistance Exercise, or Both, in Dieting Obese Older Adults.",exercise_only,,,,,,,,,,
FRAIL-080,28085913,Impact of a Home-Based Physical and Nutritional Intervention Program Conducted by Lay-Volunteers on Handgrip Strength in Prefrail and Frail Older Adults: A Randomized Control Trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-081,27897406,Integrated care for geriatric frailty and sarcopenia: a randomized control trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-082,27695646,The Impact of Strong for Life on the Physical Functioning and Health of Older Adults Receiving Home and Community-Based Services.,exercise_only,,,,,,,,,,
FRAIL-083,27178766,Identifying effective and feasible interventions to accelerate functional recovery from hospitalization in older adults: A randomized controlled pilot trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-084,27175793,The effects of a life goal-setting technique in a preventive care program for frail community-dwelling older people: a cluster nonrandomized controlled trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-085,26786203,"Improved Function With Enhanced Protein Intake per Meal: A Pilot Study of Weight Reduction in Frail, Obese Older Adults.",nutrition_only,,,,,,,,,,
FRAIL-086,26201510,Effectiveness of two year balance training programme on prevention of fall induced injuries in at risk women aged 75-85 living in community: Ossébo randomised controlled trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-087,25887235,MultiComponent Exercise and theRApeutic lifeStyle (CERgAS) intervention to improve physical performance and maintain independent living among urban poor older people--a cluster randomised controlled trial.,multidomain_exercise_nutrition,,,,,,,,,,
FRAIL-088,25659147,"Effects of exercise and milk fat globule membrane (MFGM) supplementation on body composition, physical function, and hematological parameters in community-dwelling frail Japanese women: a randomized double blind, placebo-controlled, follow-up trial.",multidomain_exercise_nutrition,,,,,,,,,,
FRAIL-089,25387728,A physical activity intervention to treat the frailty syndrome in older persons-results from the LIFE-P study.,multidomain,,,,,,,,,,
FRAIL-090,24951180,An individually-tailored multifactorial intervention program for older fallers in a middle-income developing country: Malaysian Falls Assessment and Intervention Trial (MyFAIT).,multidomain,,,,,,,,,,
FRAIL-091,24742587,The Home-based Older People's Exercise (HOPE) trial: a pilot randomised controlled trial of a home-based exercise intervention for older people with frailty.,digital_home_unclear_intervention,,,,,,,,,,
FRAIL-092,23009149,A pilot randomized controlled trial to improve geriatric frailty.,nutrition_only,,,,,,,,,,
FRAIL-093,22499461,Efficacy of a home-based intervention programme on the physical activity level and functional ability of older people using domestic services: a randomised study.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-094,21449785,"Weight loss, exercise, or both and physical function in obese older adults.",exercise_only,,,,,,,,,,
FRAIL-095,18364384,Effect of weight loss and exercise therapy on bone metabolism and mass in obese older adults: a one-year randomized controlled trial.,multidomain,,,,,,,,,,
FRAIL-096,42066553,"Effects of pickleball on pre-frailty, physical fitness, 24-hour movement behaviors, and quality of life in older adults: A randomized controlled trial.",multidomain,,,,,,,,,,
FRAIL-097,41805014,Fermented Whey Protein Supplement Slows the Progression of Frailty and Sarcopenia Among Older Korean Adults: A Randomized Blinded Trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-098,41397660,Strength but not power training increases soluble alpha klotho levels in pre-frail older adults.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-099,41386386,The effect of exercise and soy protein intake on physical frailty score improvement in community-dwelling elderly: a randomized controlled trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-100,41190491,Impacts of (Pre-)Social Frailty on the Effectiveness of a Theory-Driven Exercise Intervention Among Community-Dwelling (Pre-)Physically Frail Older Adults.,exercise_only,,,,,,,,,,
FRAIL-101,39731555,Impacts of Depressive Symptoms on the Effectiveness of a Theory-Driven Exercise Intervention Among Community-Dwelling (Pre)frail Older Adults.,exercise_only,,,,,,,,,,
FRAIL-102,41103092,Nutritional Guidance Decreases the Prevalence of Frailty Among Older Caregivers.,multidomain,,,,,,,,,,
FRAIL-103,40977239,Effect of a combined exercise and nutrition program on sarcopenia in older adults: a randomised controlled trial in primary care.,multidomain_exercise_nutrition,,,,,,,,,,
FRAIL-104,40616927,Effects of a nurse-led health coaching program to prevent frailty in prefrail older women: A randomized controlled trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-105,40147475,"Metformin and physical performance in older people with probable sarcopenia and physical prefrailty or frailty in England (MET-PREVENT): a double-blind, randomised, placebo-controlled trial.",exercise_only,,,,,,,,,,
FRAIL-106,40121126,"Improvements in Depressive Symptoms, Perceived Social Support, and Quality of Life Through an Educational Program in Community-Dwelling Older Adults With Frailty Phenotype: A Randomized Controlled Trial of the FRAGSALUD Project.",nutrition_only,,,,,,,,,,
FRAIL-107,40024357,"Examining the impact of 28-week multicomponent and strength exercises on brain health, salivary stress, and mental well-being in frail older women: A controlled trial analysis.",multicomponent_exercise,,,,,,,,,,
FRAIL-108,39798411,Effects of interactive boxing-cycling on dual-task walking and prefrontal cortex activation in older adults with cognitive frailty: A randomized controlled trial.,exercise_only,,,,,,,,,,
FRAIL-109,39736420,Effects of the Vivifrail-B multicomponent exercise program based on society ecosystems theory on physical function in community-dwelling frail older adults: A randomized controlled trial.,multicomponent_exercise,,,,,,,,,,
FRAIL-110,39626407,Acceptability and utility of a broad test battery to evaluate physical functioning and frailty in community-based settings for people experiencing homelessness and addiction-Findings from the LEAP trials.,exercise_only,,,,,,,,,,
FRAIL-111,39561465,Effect of a home-based exercise program on subsequent falls among community-dwelling older adults with cognitive frailty: A sub-group analysis of a randomized controlled trial.,exercise_only,,,,,,,,,,
FRAIL-112,39500251,Effectiveness of a theory-underpinning exercise intervention among community-dwelling (pre)frail older adults: A stepped-wedge cluster-randomized trial.,exercise_only,,,,,,,,,,
FRAIL-113,39647881,[The difference in effect between individual exercise and collective exercise in older adults with frailty-A randomized controlled trial].,multicomponent_exercise,,,,,,,,,,
FRAIL-114,39182446,Impacts of subjective cognitive decline and mild cognitive impairment on the effectiveness of an exercise intervention among community-dwelling (Pre)frail older adults.,exercise_only,,,,,,,,,,
FRAIL-115,39166366,"Correction to ""Effect of cholecalciferol supplementation on hand grip strength, walking speed, and expression of vitamin D receptor, interleukin-6, and insulin-like growth factor-1 in monocyte in pre-frail older adults: A randomized double-blind placebo-controlled trial"".",exercise_plus_nutrition,,,,,,,,,,
FRAIL-116,38727090,Changes in cognitive function after a 12-week POWER rehabilitation in older adults with schizophrenia and frailty.,exercise_only,,,,,,,,,,
FRAIL-117,38691121,"Effectiveness of Resistance Band Use in Conjunction With Tai Chi Among Older Adults With Prefrailty to Improve Functional Fitness, Quality of Life, and Heart Rate Variability.",exercise_only,,,,,,,,,,
FRAIL-118,38479253,Interactive boxing-cycling on frailty and activity limitations in frail and prefrail older adults: A randomized controlled trial.,exercise_only,,,,,,,,,,
FRAIL-119,38430497,Verification of the Effects of a YouTube-Based Home-Based (Self-Managed Intervention) Training System Developed for Frailty Prevention: A Pilot Study.,exercise_only,,,,,,,,,,
FRAIL-120,38251739,Response rates and associated factors after a multicomponent intervention in frail older adults with diabetes.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-121,37997084,Enabling health and maintaining independence for older people at home (HomeHealth trial): a multicentre randomised controlled trial.,nutrition_only,,,,,,,,,,
FRAIL-122,37026833,Effects of Exercise Interventions on Physical Performance and Activities of Daily Living in Oldest-Old and Frail Older Adults: A Review of the Literature.,multicomponent_exercise,,,,,,,,,,
FRAIL-123,36849160,Building resilience and reversing frailty: a randomised controlled trial of a primary care intervention for older adults.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-124,36629088,"Effects of Vitamin D, Omega-3 Fatty Acids and a Home Exercise Program on Prevention of Pre-Frailty in Older Adults: The DO-HEALTH Randomized Clinical Trial.",nutrition_only,,,,,,,,,,
FRAIL-125,34417416,Effectiveness of a Supervised Group-Based Otago Exercise Program on Functional Performance in Frail Institutionalized Older Adults: A Multicenter Randomized Controlled Trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-126,36037722,Resistance training-induced improvement in physical function is not associated to changes in endocrine somatotropic activity in prefrail older adults.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-127,34283997,"Effect of 12-Month Supervised, Home-Based Physical Exercise on Functioning Among Persons With Signs of Frailty: A Randomized Controlled Trial.",exercise_only,,,,,,,,,,
FRAIL-128,33975304,Reinforcement Effects of Social Network Intervention during Nutritional Supplementation in Frail Older Adults.,nutrition_only,,,,,,,,,,
FRAIL-129,33691612,A Randomized Controlled Pilot Exercise and Protein Effectiveness Supplementation Study (EXPRESS) on Reducing Frailty Risk in Community-Dwelling Older People.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-130,33128790,Improvement of oral hypofunction by a comprehensive oral and physical exercise programme including textured lunch gatherings.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-131,32858228,DO-HEALTH: Vitamin D3 - Omega-3 - Home exercise - Healthy aging and longevity trial - Design of a multinational clinical trial on healthy aging among European seniors.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-132,32443963,Perceptive-Cognitive and Physical Function in Prefrail Older Adults: Exergaming Versus Traditional Multicomponent Training.,multicomponent_exercise,,,,,,,,,,
FRAIL-133,31706917,Effects of a Multicomponent Frailty Prevention Program in Prefrail Community-Dwelling Older Persons: A Randomized Controlled Trial.,multicomponent_exercise,,,,,,,,,,
FRAIL-134,30528641,Effect of a short multicomponent exercise intervention focused on muscle power in frail and pre frail elderly: A pilot trial.,multicomponent_exercise,,,,,,,,,,
FRAIL-135,29395372,"A high whey protein, vitamin D and E supplement preserves muscle mass, strength, and quality of life in sarcopenic older adults: A double-blind randomized controlled trial.",exercise_plus_nutrition,,,,,,,,,,
FRAIL-136,29381526,The Modified Otago Exercises Prevent Grip Strength Deterioration Among Older Fallers in the Malaysian Falls Assessment and Intervention Trial (MyFAIT).,exercise_only,,,,,,,,,,
FRAIL-137,30328470,Effect of respiratory rehabilitation for frail older patients with musculoskeletal disorders: a randomized controlled trial.,exercise_only,,,,,,,,,,
FRAIL-138,30053278,Cholecalciferol or 25-Hydroxycholecalciferol Supplementation Does Not Affect Muscle Strength and Physical Performance in Prefrail and Frail Older Adults.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-139,29455058,Physical activity combined with resistance training reduces symptoms of frailty in older adults: A randomized controlled trial.,exercise_only,,,,,,,,,,
FRAIL-140,29183035,User-Oriented Evaluation of a Robotic Rollator That Provides Navigation Assistance in Frail Older Adults with and without Cognitive Impairment.,exercise_only,,,,,,,,,,
FRAIL-141,28064172,Effectiveness of an intervention to prevent frailty in pre-frail community-dwelling older people consulting in primary care: a randomised controlled trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-142,27993489,A multifactorial intervention for frail older people is more than twice as effective among those who are compliant: complier average causal effect analysis of a randomised trial.,unclear,,,,,,,,,,
FRAIL-143,27588891,Fear of falling reduced by a lay led home-based program in frail community-dwelling older adults: A randomised controlled trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-144,27138245,Effects of an integrated health education and elastic band resistance training program on physical function and muscle strength in community-dwelling elderly women: Healthy Aging and Happy Aging II study.,exercise_only,,,,,,,,,,
FRAIL-145,26947059,"A Multicomponent Exercise Intervention that Reverses Frailty and Improves Cognition, Emotion, and Social Networking in the Community-Dwelling Frail Elderly: A Randomized Clinical Trial.",exercise_plus_nutrition,,,,,,,,,,
FRAIL-146,27032052,Nutrition and Frailty: A Review of Clinical Intervention Studies.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-147,26663424,Cost-Effectiveness of a Chronic Care Model for Frail Older Adults in Primary Care: Economic Evaluation Alongside a Stepped-Wedge Cluster-Randomized Trial.,multidomain,,,,,,,,,,
FRAIL-148,26159634,"Nutritional, Physical, Cognitive, and Combination Interventions and Frailty Reversal Among Older Adults: A Randomized Controlled Trial.",exercise_plus_nutrition,,,,,,,,,,
FRAIL-149,25659620,Effects of a combined physical training and nutrition intervention on physical performance and health-related quality of life in prefrail older women living in the community: a randomized controlled trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-150,27049906,Predicting the Efficacy of Protein-Energy Supplementation in Frail Older Adults Living in Community.,nutrition_only,,,,,,,,,,
FRAIL-151,24381025,"Effect of a multifactorial, interdisciplinary intervention on risk factors for falls and fall rate in frail older people: a randomised controlled trial.",exercise_only,,,,,,,,,,
FRAIL-152,23906550,Physical function and fear of falling 2 years after the health-promoting randomized controlled trial: elderly persons in the risk zone.,exercise_only,,,,,,,,,,
FRAIL-153,23740589,The effect of functional circuit training on self-reported fear of falling and health status in a group of physically frail older individuals: a randomized controlled trial.,exercise_only,,,,,,,,,,
FRAIL-154,23429407,Intentional weight loss in older adults: useful or wasting disease generating strategy?,exercise_plus_nutrition,,,,,,,,,,
FRAIL-155,22879453,Preventive effect of protein-energy supplementation on the functional decline of frail older adults with low socioeconomic status: a community-based randomized controlled study.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-156,22744992,Wii-hab for pre-frail older adults.,exercise_only,,,,,,,,,,
FRAIL-157,20956842,The effect of functional circuit training on physical frailty in frail older adults: a randomized controlled trial.,exercise_only,,,,,,,,,,
FRAIL-158,20171455,"The effectiveness of a comprehensive geriatric assessment intervention program for frailty in community-dwelling older people: a randomized, controlled trial.",multidomain,,,,,,,,,,
FRAIL-159,20044155,Effects of a physical training and nutritional intervention program in frail elderly people regarding habitual physical activity level and activities of daily living--a randomized controlled pilot study.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-160,19394017,Comparison of three established measures of fear of falling in community-dwelling older adults: psychometric testing.,exercise_only,,,,,,,,,,
FRAIL-161,18804874,Comparison of 2-year effects of once and twice weekly water exercise on activities of daily living ability of community dwelling frail elderly.,exercise_only,,,,,,,,,,
FRAIL-162,18608400,Comparison two-year effects of once-weekly and twice-weekly water exercise on health-related quality of life of community-dwelling frail elderly people at a day-service facility.,exercise_only,,,,,,,,,,
