pmid,pmcid,title,fetch_status,local_path
40514302,PMC12413722,Tailoring multidomain intervention programs to reduce cognitive and physical decline in older adults: Examining rural-urban differences in a nationwide cluster-randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC12413722.xml
41095572,PMC12524544,Targeted Physical Function Exercises for Frailty and Falls Management in Pre-Frail Community-Dwelling Older Adults: A Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC12524544.xml
40938877,PMC12431197,The impact of outdoor walking interventions on frailty among older adults with mobility limitations: Findings from the Getting Older Adults Outdoors (GO-OUT) study.,fetched,data\raw\pmc_fulltext\PMC12431197.xml
41354090,PMC12682371,Why didn't the senior citizen cross the road? Gait speed in community-dwelling older adults with mobility limitations relative to pedestrian crossing times.,fetched,data\raw\pmc_fulltext\PMC12682371.xml
39354527,PMC11443903,"A single-center, double-blind, randomized, placebo-controlled, two-arm study to evaluate the safety and efficacy of once-weekly sirolimus (rapamycin) on muscle strength and endurance in older adults following a 13-week exercise program.",fetched,data\raw\pmc_fulltext\PMC11443903.xml
38727090,,Changes in cognitive function after a 12-week POWER rehabilitation in older adults with schizophrenia and frailty.,no_pmcid,
39478450,PMC11523852,Combining motivational and exercise intervention components to reverse pre-frailty and promote self-efficacy among community-dwelling pre-frail older adults: a randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC11523852.xml
39166366,,"Correction to ""Effect of cholecalciferol supplementation on hand grip strength, walking speed, and expression of vitamin D receptor, interleukin-6, and insulin-like growth factor-1 in monocyte in pre-frail older adults: A randomized double-blind placebo-controlled trial"".",no_pmcid,
38691121,,"Effectiveness of Resistance Band Use in Conjunction With Tai Chi Among Older Adults With Prefrailty to Improve Functional Fitness, Quality of Life, and Heart Rate Variability.",no_pmcid,
39390362,PMC11465814,Effectiveness of community-based Baduanjin exercise intervention for older adults with varying frailty status: a randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC11465814.xml
39182446,,Impacts of subjective cognitive decline and mild cognitive impairment on the effectiveness of an exercise intervention among community-dwelling (Pre)frail older adults.,no_pmcid,
38479253,,Interactive boxing-cycling on frailty and activity limitations in frail and prefrail older adults: A randomized controlled trial.,no_pmcid,
38251739,,Response rates and associated factors after a multicomponent intervention in frail older adults with diabetes.,no_pmcid,
39211745,PMC11358125,"Underweight, overweight, and weight change in older family caregivers and their care recipients: longitudinal evidence from a randomized controlled trial.",fetched,data\raw\pmc_fulltext\PMC11358125.xml
38430497,,Verification of the Effects of a YouTube-Based Home-Based (Self-Managed Intervention) Training System Developed for Frailty Prevention: A Pilot Study.,no_pmcid,
39647881,,[The difference in effect between individual exercise and collective exercise in older adults with frailty-A randomized controlled trial].,no_pmcid,
36426763,PMC10100027,"Adherence, safety and potential effectiveness of a home-based Radio-Taiso exercise program in older adults with frailty: A pilot randomized controlled trial.",fetched,data\raw\pmc_fulltext\PMC10100027.xml
36849160,,Building resilience and reversing frailty: a randomised controlled trial of a primary care intervention for older adults.,no_pmcid,
37875291,PMC10751415,Dose-response effects of resistance training on physical function in frail older Chinese adults: A randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC10751415.xml
36673644,PMC9859571,Effect of the Active Aging-in-Place-Rehabilitation Nursing Program: A Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC9859571.xml
34417416,,Effectiveness of a Supervised Group-Based Otago Exercise Program on Functional Performance in Frail Institutionalized Older Adults: A Multicenter Randomized Controlled Trial.,no_pmcid,
37026833,,Effects of Exercise Interventions on Physical Performance and Activities of Daily Living in Oldest-Old and Frail Older Adults: A Review of the Literature.,no_pmcid,
36629088,,"Effects of Vitamin D, Omega-3 Fatty Acids and a Home Exercise Program on Prevention of Pre-Frailty in Older Adults: The DO-HEALTH Randomized Clinical Trial.",no_pmcid,
37328797,PMC10273765,Effects of an individualised exercise programme plus Behavioural Change Enhancement (BCE) strategies for managing fatigue in frail older adults: a cluster randomised controlled trial.,fetched,data\raw\pmc_fulltext\PMC10273765.xml
36528997,PMC9757806,Efficacy of a multicomponent exercise training program intervention in community-dwelling older adults during the COVID-19 pandemic: A cluster randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC9757806.xml
37997084,,Enabling health and maintaining independence for older people at home (HomeHealth trial): a multicentre randomised controlled trial.,no_pmcid,
37960913,PMC12880481,Hybrid Exercise Program Enhances Physical Fitness and Reverses Frailty in Older Adults: Insights and Predictions from Machine Learning.,fetched,data\raw\pmc_fulltext\PMC12880481.xml
37357328,PMC10230140,"Impact of Exercise and Cognitive Stimulation Therapy on Physical Function, Cognition and Muscle Mass in Pre-Frail Older Adults in the Primary Care Setting: A Cluster Randomized Controlled Trial.",fetched,data\raw\pmc_fulltext\PMC10230140.xml
38111605,PMC10725933,Medium-chain triglycerides (8:0 and 10:0) increase muscle mass and function in frail older adults: a combined data analysis of clinical trials.,fetched,data\raw\pmc_fulltext\PMC10725933.xml
36636457,PMC9830714,Protein-Added Healthy Lunch-Boxes Combined with Exercise for Improving Physical Fitness and Vascular Function in Pre-Frail Older Women: A Community-Based Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC9830714.xml
37049448,PMC10097015,The Impact of Nutrition and Oral Function Exercise on among Community-Dwelling Older People.,fetched,data\raw\pmc_fulltext\PMC10097015.xml
35766913,PMC9388057,"Encouraging older adults with pre-frailty and frailty to ""MoveStrong"": an analysis of secondary outcomes for a pilot randomized controlled trial.",fetched,data\raw\pmc_fulltext\PMC9388057.xml
35887850,PMC9320394,Frailty Status Improvement after 5-Month Multicomponent Program PROMUFRA in Community-Dwelling Older People: A Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC9320394.xml
36341237,PMC9634412,Intrinsic capacity rather than intervention exposure influences reversal to robustness among prefrail community-dwelling older adults: A non-randomized controlled study of a multidomain exercise and nutrition intervention.,fetched,data\raw\pmc_fulltext\PMC9634412.xml
36037722,,Resistance training-induced improvement in physical function is not associated to changes in endocrine somatotropic activity in prefrail older adults.,no_pmcid,
35399053,PMC8994906,The effects of vitamin D supplementation on frailty in older adults at risk for falls.,fetched,data\raw\pmc_fulltext\PMC8994906.xml
33691612,,A Randomized Controlled Pilot Exercise and Protein Effectiveness Supplementation Study (EXPRESS) on Reducing Frailty Risk in Community-Dwelling Older People.,no_pmcid,
34725661,PMC12929997,"Association of Pain and Impact of Dual-Task Exercise on Function, Cognition and Quality of Life.",fetched,data\raw\pmc_fulltext\PMC12929997.xml
32858228,,DO-HEALTH: Vitamin D3 - Omega-3 - Home exercise - Healthy aging and longevity trial - Design of a multinational clinical trial on healthy aging among European seniors.,no_pmcid,
34283997,,"Effect of 12-Month Supervised, Home-Based Physical Exercise on Functioning Among Persons With Signs of Frailty: A Randomized Controlled Trial.",no_pmcid,
33742266,PMC7978459,Effectiveness of Community-Delivered Functional Power Training Program for Frail and Pre-frail Community-Dwelling Older Adults: a Randomized Controlled Study.,fetched,data\raw\pmc_fulltext\PMC7978459.xml
33968874,PMC8097036,Effectiveness of a Community-Based Muscle Strengthening Exercise Program to Increase Muscle Strength Among Pre-frail Older Persons in Malaysia: A Pilot Study.,fetched,data\raw\pmc_fulltext\PMC8097036.xml
34620081,PMC8499414,Effectiveness of a community-delivered pneumatic machine resistance training programme (Gym Tonic) for older adults at neighbourhood senior centres - a randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC8499414.xml
34449605,PMC8395892,Enhancement of Anticipatory Postural Adjustments by Virtual Reality in Older Adults with Cognitive and Motor Deficits: A Randomised Trial.,fetched,data\raw\pmc_fulltext\PMC8395892.xml
33128790,,Improvement of oral hypofunction by a comprehensive oral and physical exercise programme including textured lunch gatherings.,no_pmcid,
33513714,PMC7912527,Limited Benefit of Marine Protein Hydrolysate on Physical Function and Strength in Older Adults: A Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC7912527.xml
34351363,PMC8581390,Long-term effect of a 24-week multicomponent intervention on physical performance and frailty in community-dwelling older adults.,fetched,data\raw\pmc_fulltext\PMC8581390.xml
32443963,,Perceptive-Cognitive and Physical Function in Prefrail Older Adults: Exergaming Versus Traditional Multicomponent Training.,no_pmcid,
33937294,PMC8086796,"Possible Sarcopenia and Impact of Dual-Task Exercise on Gait Speed, Handgrip Strength, Falls, and Perceived Health.",fetched,data\raw\pmc_fulltext\PMC8086796.xml
33546255,PMC7913348,Randomized Controlled Trial on the Effects of a Combined Intervention of Computerized Cognitive Training Preceded by Physical Exercise for Improving Frailty Status and Cognitive Function in Older Adults.,fetched,data\raw\pmc_fulltext\PMC7913348.xml
33975304,,Reinforcement Effects of Social Network Intervention during Nutritional Supplementation in Frail Older Adults.,no_pmcid,
32114877,PMC7874375,"The Otago Exercise Program With or Without Motivational Interviewing for Community-Dwelling Older Adults: A 12-Month Follow-Up of a Randomized, Controlled Trial.",fetched,data\raw\pmc_fulltext\PMC7874375.xml
33583000,PMC7990826,The sarcopenia and physical frailty in older people: multi-component treatment strategies (SPRINTT) project: description and feasibility of a nutrition intervention in community-dwelling older Europeans.,fetched,data\raw\pmc_fulltext\PMC7990826.xml
32375239,PMC7345634,"A Novel Exercise for Enhancing Visuospatial Ability in Older Adults with Frailty: Development, Feasibility, and Effectiveness.",fetched,data\raw\pmc_fulltext\PMC7345634.xml
33032532,PMC7545899,A physical activity program versus usual care in the management of quality of life for pre-frail older adults with chronic pain: randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC7545899.xml
31997543,PMC7015250,Comprehensive geriatric intervention in community-dwelling older adults: a cluster-randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC7015250.xml
31706917,,Effects of a Multicomponent Frailty Prevention Program in Prefrail Community-Dwelling Older Persons: A Randomized Controlled Trial.,no_pmcid,
32702879,PMC7373606,Effects of concurrent aerobic and resistance exercise in frail and pre-frail older adults: A randomized trial of supervised versus home-based programs.,fetched,data\raw\pmc_fulltext\PMC7373606.xml
32134208,PMC7296266,"Efficacy of multidomain interventions to improve physical frailty, depression and cognition: data from cluster-randomized controlled trials.",fetched,data\raw\pmc_fulltext\PMC7296266.xml
32259186,PMC12275761,"Multi-Component Exercise with High-Intensity, Free-Weight, Functional Resistance Training in Pre-Frail Females: A Quasi-Experimental, Pilot Study.",fetched,data\raw\pmc_fulltext\PMC12275761.xml
32466446,PMC7312630,Multicomponent Exercise Program Reduces Frailty and Inflammatory Biomarkers and Improves Physical Performance in Community-Dwelling Older Adults: A Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC7312630.xml
32545408,PMC7353446,Nutrition and Sarcopenia-What Do We Know?,fetched,data\raw\pmc_fulltext\PMC7353446.xml
32762725,PMC7409695,Nutrition assessment and geriatric associated conditions among community dwelling Iranian elderly people.,fetched,data\raw\pmc_fulltext\PMC7409695.xml
32375700,PMC7203790,Sensor-based characterization of daily walking: a new paradigm in pre-frailty/frailty assessment.,fetched,data\raw\pmc_fulltext\PMC7203790.xml
29395372,,"A high whey protein, vitamin D and E supplement preserves muscle mass, strength, and quality of life in sarcopenic older adults: A double-blind randomized controlled trial.",no_pmcid,
31360662,PMC6581490,"An Interregional, Transdisciplinary and Good Practice-Based Approach for Frailty: the Mind&Gait Project.",fetched,data\raw\pmc_fulltext\PMC6581490.xml
30528641,,Effect of a short multicomponent exercise intervention focused on muscle power in frail and pre frail elderly: A pilot trial.,no_pmcid,
31466229,PMC6747215,Effectiveness of a Combined Intervention on Psychological and Physical Capacities of Frail Older Adults: A Cluster Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC6747215.xml
31016897,PMC6711410,Effectiveness of a multimodal intervention in functionally impaired older people with type 2 diabetes mellitus.,fetched,data\raw\pmc_fulltext\PMC6711410.xml
31249332,PMC6597702,Effects of Kinect-based exergaming on frailty status and physical performance in prefrail and frail elderly: A randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC6597702.xml
31133863,PMC6524700,Exercise and Dietary-Protein as a Countermeasure to Skeletal Muscle Weakness: Liverpool Hope University - Sarcopenia Aging Trial (LHU-SAT).,fetched,data\raw\pmc_fulltext\PMC6524700.xml
31791364,PMC6889427,Individualized home-based exercise and nutrition interventions improve frailty in older adults: a randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC6889427.xml
31367733,PMC12280510,"Positive Effects of ""Textured Lunches"" Gatherings and Oral Exercises Combined with Physical Exercises on Oral and Physical Function in Older Individuals: A Cluster Randomized Controlled Trial.",fetched,data\raw\pmc_fulltext\PMC12280510.xml
29381526,,The Modified Otago Exercises Prevent Grip Strength Deterioration Among Older Fallers in the Malaysian Falls Assessment and Intervention Trial (MyFAIT).,no_pmcid,
32300691,PMC7155349,Breaking sedentary behaviour has the potential to increase/ maintain function in frail older adults.,fetched,data\raw\pmc_fulltext\PMC7155349.xml
30053278,,Cholecalciferol or 25-Hydroxycholecalciferol Supplementation Does Not Affect Muscle Strength and Physical Performance in Prefrail and Frail Older Adults.,no_pmcid,
29310138,PMC5898617,Effect of Physical Activity on Frailty: Secondary Analysis of a Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC5898617.xml
30328470,,Effect of respiratory rehabilitation for frail older patients with musculoskeletal disorders: a randomized controlled trial.,no_pmcid,
29988285,PMC6008824,"Effects of Strength Training on Muscle Properties, Physical Function, and Physical Activity among Frail Older People: A Pilot Study.",fetched,data\raw\pmc_fulltext\PMC6008824.xml
29346524,PMC6248206,"Effects of a Primary Care-Based Multifactorial Intervention on Physical and Cognitive Function in Frail, Elderly Individuals: A Randomized Controlled Trial.",fetched,data\raw\pmc_fulltext\PMC6248206.xml
29455058,,Physical activity combined with resistance training reduces symptoms of frailty in older adults: A randomized controlled trial.,no_pmcid,
29783928,PMC5963011,Physical activity intervention for elderly patients with reduced physical performance after acute coronary syndrome (HULK study): rationale and design of a randomized clinical trial.,fetched,data\raw\pmc_fulltext\PMC5963011.xml
30498835,PMC6444357,Quality of Life and Mental Health in Older Adults with Obesity and Frailty: Associations with a Weight Loss Intervention.,fetched,data\raw\pmc_fulltext\PMC6444357.xml
30138718,PMC6251709,Rationale and design of the Study To Understand Fall Reduction and Vitamin D in You (STURDY): A randomized clinical trial of Vitamin D supplement doses for the prevention of falls in older adults.,fetched,data\raw\pmc_fulltext\PMC6251709.xml
29183035,,User-Oriented Evaluation of a Robotic Rollator That Provides Navigation Assistance in Frail Older Adults with and without Cognitive Impairment.,no_pmcid,
27993489,,A multifactorial intervention for frail older people is more than twice as effective among those who are compliant: complier average causal effect analysis of a randomised trial.,no_pmcid,
28514618,PMC5552187,"Aerobic or Resistance Exercise, or Both, in Dieting Obese Older Adults.",fetched,data\raw\pmc_fulltext\PMC5552187.xml
28951766,PMC5603129,"Effect of Weight Loss, Exercise, or Both on Undercarboxylated Osteocalcin and Insulin Secretion in Frail, Obese Older Adults.",fetched,data\raw\pmc_fulltext\PMC5603129.xml
28064172,,Effectiveness of an intervention to prevent frailty in pre-frail community-dwelling older people consulting in primary care: a randomised controlled trial.,no_pmcid,
27138245,,Effects of an integrated health education and elastic band resistance training program on physical function and muscle strength in community-dwelling elderly women: Healthy Aging and Happy Aging II study.,no_pmcid,
27588891,,Fear of falling reduced by a lay led home-based program in frail community-dwelling older adults: A randomised controlled trial.,no_pmcid,
28085913,PMC5234793,Impact of a Home-Based Physical and Nutritional Intervention Program Conducted by Lay-Volunteers on Handgrip Strength in Prefrail and Frail Older Adults: A Randomized Control Trial.,fetched,data\raw\pmc_fulltext\PMC5234793.xml
27897406,PMC5326822,Integrated care for geriatric frailty and sarcopenia: a randomized control trial.,fetched,data\raw\pmc_fulltext\PMC5326822.xml
28972245,PMC12877681,Multi-Domains Lifestyle Interventions Reduces Depressive Symptoms among Frail and Pre-Frail Older Persons: Randomized Controlled Trial.,fetched,data\raw\pmc_fulltext\PMC12877681.xml
27695646,PMC5042153,The Impact of Strong for Life on the Physical Functioning and Health of Older Adults Receiving Home and Community-Based Services.,fetched,data\raw\pmc_fulltext\PMC5042153.xml
26947059,,"A Multicomponent Exercise Intervention that Reverses Frailty and Improves Cognition, Emotion, and Social Networking in the Community-Dwelling Frail Elderly: A Randomized Clinical Trial.",no_pmcid,
27178766,PMC5351552,Identifying effective and feasible interventions to accelerate functional recovery from hospitalization in older adults: A randomized controlled pilot trial.,fetched,data\raw\pmc_fulltext\PMC5351552.xml
26786203,PMC5018561,"Improved Function With Enhanced Protein Intake per Meal: A Pilot Study of Weight Reduction in Frail, Obese Older Adults.",fetched,data\raw\pmc_fulltext\PMC5018561.xml
27175793,PMC4866031,The effects of a life goal-setting technique in a preventive care program for frail community-dwelling older people: a cluster nonrandomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC4866031.xml
25387728,PMC4311184,A physical activity intervention to treat the frailty syndrome in older persons-results from the LIFE-P study.,fetched,data\raw\pmc_fulltext\PMC4311184.xml
26663424,,Cost-Effectiveness of a Chronic Care Model for Frail Older Adults in Primary Care: Economic Evaluation Alongside a Stepped-Wedge Cluster-Randomized Trial.,no_pmcid,
26201510,PMC4511529,Effectiveness of two year balance training programme on prevention of fall induced injuries in at risk women aged 75-85 living in community: Ossébo randomised controlled trial.,fetched,data\raw\pmc_fulltext\PMC4511529.xml
25659620,,Effects of a combined physical training and nutrition intervention on physical performance and health-related quality of life in prefrail older women living in the community: a randomized controlled trial.,no_pmcid,
25659147,PMC4319727,"Effects of exercise and milk fat globule membrane (MFGM) supplementation on body composition, physical function, and hematological parameters in community-dwelling frail Japanese women: a randomized double blind, placebo-controlled, follow-up trial.",fetched,data\raw\pmc_fulltext\PMC4319727.xml
25887235,PMC4334409,MultiComponent Exercise and theRApeutic lifeStyle (CERgAS) intervention to improve physical performance and maintain independent living among urban poor older people--a cluster randomised controlled trial.,fetched,data\raw\pmc_fulltext\PMC4334409.xml
27032052,,Nutrition and Frailty: A Review of Clinical Intervention Studies.,no_pmcid,
26159634,,"Nutritional, Physical, Cognitive, and Combination Interventions and Frailty Reversal Among Older Adults: A Randomized Controlled Trial.",no_pmcid,
24951180,PMC4080753,An individually-tailored multifactorial intervention program for older fallers in a middle-income developing country: Malaysian Falls Assessment and Intervention Trial (MyFAIT).,fetched,data\raw\pmc_fulltext\PMC4080753.xml
24381025,,"Effect of a multifactorial, interdisciplinary intervention on risk factors for falls and fall rate in frail older people: a randomised controlled trial.",no_pmcid,
23906550,,Physical function and fear of falling 2 years after the health-promoting randomized controlled trial: elderly persons in the risk zone.,no_pmcid,
27049906,,Predicting the Efficacy of Protein-Energy Supplementation in Frail Older Adults Living in Community.,no_pmcid,
24742587,PMC4146519,The Home-based Older People's Exercise (HOPE) trial: a pilot randomised controlled trial of a home-based exercise intervention for older people with frailty.,fetched,data\raw\pmc_fulltext\PMC4146519.xml
23429407,,Intentional weight loss in older adults: useful or wasting disease generating strategy?,no_pmcid,
22879453,,Preventive effect of protein-energy supplementation on the functional decline of frail older adults with low socioeconomic status: a community-based randomized controlled study.,no_pmcid,
23740589,,The effect of functional circuit training on self-reported fear of falling and health status in a group of physically frail older individuals: a randomized controlled trial.,no_pmcid,
23009149,PMC3490887,A pilot randomized controlled trial to improve geriatric frailty.,fetched,data\raw\pmc_fulltext\PMC3490887.xml
22499461,PMC12878082,Efficacy of a home-based intervention programme on the physical activity level and functional ability of older people using domestic services: a randomised study.,fetched,data\raw\pmc_fulltext\PMC12878082.xml
22744992,,Wii-hab for pre-frail older adults.,no_pmcid,
21449785,PMC3114602,"Weight loss, exercise, or both and physical function in obese older adults.",fetched,data\raw\pmc_fulltext\PMC3114602.xml
20044155,,Effects of a physical training and nutritional intervention program in frail elderly people regarding habitual physical activity level and activities of daily living--a randomized controlled pilot study.,no_pmcid,
20956842,,The effect of functional circuit training on physical frailty in frail older adults: a randomized controlled trial.,no_pmcid,
20171455,,"The effectiveness of a comprehensive geriatric assessment intervention program for frailty in community-dwelling older people: a randomized, controlled trial.",no_pmcid,
18804874,,Comparison of 2-year effects of once and twice weekly water exercise on activities of daily living ability of community dwelling frail elderly.,no_pmcid,
19394017,,Comparison of three established measures of fear of falling in community-dwelling older adults: psychometric testing.,no_pmcid,
18608400,,Comparison two-year effects of once-weekly and twice-weekly water exercise on health-related quality of life of community-dwelling frail elderly people at a day-service facility.,no_pmcid,
18364384,PMC2435639,Effect of weight loss and exercise therapy on bone metabolism and mass in obese older adults: a one-year randomized controlled trial.,fetched,data\raw\pmc_fulltext\PMC2435639.xml
18431084,,Effects of a physical and nutritional intervention program for frail elderly people over age 75. A randomized controlled pilot treatment trial.,no_pmcid,
17624483,,Feasibility and effectiveness of a nurse-led community exercise programme for prevention of falls among frail elderly people: a multi-centre controlled trial.,no_pmcid,
16636211,,Effect of weight loss and exercise on frailty in obese older adults.,no_pmcid,
16813773,,Effects of exercise programs on falls and mobility in frail and pre-frail older adults: A multicenter randomized controlled trial.,no_pmcid,
16510864,,"The influence of intense Tai Chi training on physical performance and hemodynamic outcomes in transitionally frail, older adults.",no_pmcid,
15241748,,A prehabilitation program for the prevention of functional decline: effect on higher-level physical function.,no_pmcid,
12588571,,"A randomized, controlled trial of quadriceps resistance exercise and vitamin D in frail older people: the Frailty Interventions Trial in Elderly Subjects (FITNESS).",no_pmcid,
14687360,,Selected as the best paper in the 1990s: Reducing frailty and falls in older persons: an investigation of tai chi and computerized balance training.,no_pmcid,
12171453,,"Benefits of nutritional supplementation in free-living, frail, undernourished elderly people: a prospective randomized community trial.",no_pmcid,
12448161,,[Physical training as treatment of reduced functional ability in frail 75+ year-olds living at home. A randomized intervention study in general practice with technological assessment elements].,no_pmcid,
11427784,,Exercise dose-response effects on quality of life and independent living in older adults.,no_pmcid,
11387588,,"Physical exercise and/or enriched foods for functional improvement in frail, independently living elderly: a randomized controlled trial.",no_pmcid,
10968301,,Attrition in an exercise intervention: a comparison of early and later dropouts.,no_pmcid,
